,allergan_male,allergan_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.81853664,-0.93791693,"('unsociable', 'sociable')",-0.14582692,-0.2740823,-0.4821818,-0.6059996,-0.1238178
1,-2.118823,-2.094015,"('unfriendly', 'friendly')",1.5042813,1.4138136,-0.3072709,-0.3401006,-0.0328297
2,0.556208,0.61144924,"('unlikable', 'likable')",0.60709155,0.7142949,0.5816498,0.6628721,0.0812223
3,-0.31469297,-0.20826806,"('repellent', 'pleasant')",0.29321218,0.2865369,-0.0107404,0.0391344,0.0498748
4,-0.2252861,-0.20621088,"('disliked', 'liked')",-6.059186,-6.0782447,-3.142236,-3.1422279,8.1e-06
5,-0.79482335,-0.6685343,"('distant', 'outgoing')",-0.44038132,-0.41481507,-0.6176023,-0.5416747,0.0759276
6,-0.9695016,-0.81622696,"('distant', 'open')",-0.23302868,-0.26975366,-0.6012651,-0.5429903,0.0582748
7,-0.6856994,-0.6481108,"('insensitive', 'sensitive')",0.23434086,0.29607457,-0.2256793,-0.1760181,0.0496612
8,-0.9671322,-0.9363189,"('unaffectionate', 'affectionate')",0.5098023,0.46647254,-0.228665,-0.2349232,-0.0062582
9,-1.1869122,-1.117324,"('unaffectionate', 'caring')",0.62986547,0.62613016,-0.2785234,-0.2455969,0.0329265
10,-1.4688047,-1.4480983,"('unsympathetic', 'sympathetic')",-0.4223229,-0.43032518,-0.9455638,-0.9392117,0.0063521
11,-0.42712963,-0.43157196,"('unhelpful', 'helpful')",1.3509846,1.4340514,0.4619275,0.5012397,0.0393122
12,-0.46575138,-0.2981536,"('unsupportive', 'supportive')",-1.8744184,-1.7753327,-1.1700848,-1.0367432,0.1333416
13,-0.42867112,-0.49619454,"('impolite', 'polite')",-0.7253507,-0.72302866,-0.5770109,-0.6096116,-0.0326007
14,0.4652782,0.41465497,"('antisocial', 'social')",-0.091079295,-0.13341473,0.1870995,0.1406201,-0.0464794
15,-0.033908367,-0.08717729,"('boring', 'funny')",0.4738665,0.47410297,0.2199791,0.1934628,-0.0265163
