,abbott_male,abbott_female,tuple,laboratories_male,laboratories_female,average_male,average_female,female-male
0,-0.599262,-0.6313431,"('unsociable', 'sociable')",-0.24095473,-0.32043168,-0.4201084,-0.4758874,-0.055779
1,1.2732399,1.1104825,"('unfriendly', 'friendly')",2.39025,2.0991025,1.8317449,1.6047925,-0.2269524
2,0.52752197,0.60680175,"('unlikable', 'likable')",0.20243326,0.23030318,0.3649776,0.4185525,0.0535749
3,-1.4471631,-1.3528527,"('repellent', 'pleasant')",-0.38183984,-0.2842438,-0.9145015,-0.8185483,0.0959532
4,0.7046586,0.6292833,"('disliked', 'liked')",-5.2340198,-5.4489875,-2.2646806,-2.409852,-0.1451714
5,1.4044476,1.3411855,"('distant', 'outgoing')",0.31051028,0.17415527,0.8574789,0.7576703,-0.0998086
6,1.5328159,1.4824938,"('distant', 'open')",0.65459377,0.52898973,1.0937048,1.0057417,-0.0879631
7,-0.6771636,-0.7037057,"('insensitive', 'sensitive')",-0.13681516,-0.05338727,-0.4069894,-0.3785465,0.0284429
8,1.2126707,1.1334603,"('unaffectionate', 'affectionate')",1.5508991,1.3174813,1.3817849,1.2254708,-0.1563141
9,1.6720588,1.5781895,"('unaffectionate', 'caring')",1.8824152,1.7071395,1.7772369,1.6426644,-0.1345725
10,-0.8409038,-0.8199079,"('unsympathetic', 'sympathetic')",-0.38463527,-0.2985158,-0.6127695,-0.5592119,0.0535576
11,-0.37722915,-0.4252287,"('unhelpful', 'helpful')",1.5474055,1.5402414,0.5850881,0.5575063,-0.0275818
12,0.41632763,0.43833113,"('unsupportive', 'supportive')",-0.95700884,-1.01202,-0.2703406,-0.2868444,-0.0165038
13,-1.8762487,-1.9018682,"('impolite', 'polite')",-1.2676171,-1.1736987,-1.5719329,-1.5377834,0.0341495
14,-0.3536775,-0.37094086,"('antisocial', 'social')",-0.70697653,-0.64582527,-0.530327,-0.508383,0.021944
15,-0.094667174,-0.18626942,"('boring', 'funny')",0.39452064,0.2998742,0.1499267,0.0568024,-0.0931243
16,-0.014230829,0.027155716,"('unpopular', 'popular')",1.2297698,1.1041651,0.6077695,0.5656604,-0.0421091
17,-0.8123173,-0.78605354,"('nasty', 'nice')",-0.35369843,-0.29486775,-0.5830079,-0.5404606,0.0425473
18,0.8709645,0.8759442,"('disagreeable', 'welcoming')",0.30596727,0.18815108,0.5884659,0.5320476,-0.0564183
19,0.69890314,0.69522744,"('inhospitable', 'hospitable')",0.15551692,0.0831739,0.42721,0.3892007,-0.0380093
20,0.29124278,0.28051484,"('rough', 'thoughtful')",1.0667956,1.1380289,0.6790192,0.7092718,0.0302526
21,-0.84860533,-0.7953968,"('immoral', 'moral')",-1.1512426,-1.0719775,-0.9999239,-0.9336872,0.0662367
22,-0.9872623,-0.998427,"('untrustworthy', 'trustworthy')",-1.1141658,-1.0793548,-1.050714,-1.0388908,0.0118232
23,0.07531122,0.036490407,"('insincere', 'sincere')",4.681919,4.710961,2.3786151,2.3737257,-0.0048894
24,0.9110646,0.8761044,"('dishonest', 'honest')",0.12678519,0.11906813,0.5189249,0.4975863,-0.0213386
25,1.2855315,1.3192008,"('egoistic', 'altruistic')",2.0042493,1.9997386,1.6448904,1.6594696,0.0145792
