,autodesk_male,autodesk_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.89120746,-1.0565566,"('unsociable', 'sociable')",-0.37637663,-0.58231086,-0.633792,-0.8194337,-0.1856417
1,0.23155078,-0.123306304,"('unfriendly', 'friendly')",1.8280275,1.7220284,1.0297891,0.7993611,-0.230428
2,0.50946414,0.5221159,"('unlikable', 'likable')",0.7889875,0.87340516,0.6492258,0.6977605,0.0485347
3,-0.7120887,-0.67194265,"('repellent', 'pleasant')",0.31354374,0.33841014,-0.1992725,-0.1667663,0.0325062
4,0.0026119035,-0.15010224,"('disliked', 'liked')",-6.2213182,-6.387782,-3.1093531,-3.2689421,-0.159589
5,0.57133293,0.4898069,"('distant', 'outgoing')",-0.2270889,-0.1399898,0.172122,0.1749085,0.0027865
6,0.45414886,0.28312343,"('distant', 'open')",0.20684299,0.28536904,0.3304959,0.2842462,-0.0462497
7,-1.009965,-0.99758947,"('insensitive', 'sensitive')",0.44295433,0.45850283,-0.2835053,-0.2695433,0.013962
8,0.123528756,-0.05884977,"('unaffectionate', 'affectionate')",0.9264133,0.91912436,0.524971,0.4301373,-0.0948337
9,-0.20232093,-0.43193293,"('unaffectionate', 'caring')",1.1338958,1.1811793,0.4657874,0.3746232,-0.0911642
10,-2.1092947,-2.1470118,"('unsympathetic', 'sympathetic')",-0.44101265,-0.45114815,-1.2751536,-1.2990799,-0.0239263
11,-0.27915353,-0.22594532,"('unhelpful', 'helpful')",1.7598274,1.8946542,0.7403369,0.8343544,0.0940175
12,-1.0184307,-0.9855578,"('unsupportive', 'supportive')",-1.950258,-1.9192117,-1.4843444,-1.4523847,0.0319597
13,-1.2771649,-1.3104842,"('impolite', 'polite')",-0.540889,-0.5653582,-0.909027,-0.9379212,-0.0288942
14,-0.8336078,-0.72816074,"('antisocial', 'social')",-0.46117002,-0.5917882,-0.6473889,-0.6599745,-0.0125856
15,0.6907718,0.6325511,"('boring', 'funny')",0.51878905,0.4451946,0.6047804,0.5388728,-0.0659076
16,-0.21796566,-0.2996652,"('unpopular', 'popular')",0.5339542,0.49683678,0.1579943,0.0985858,-0.0594085
17,-0.044218984,0.0751864,"('nasty', 'nice')",-0.34189093,-0.2904174,-0.193055,-0.1076155,0.0854395
18,-0.2181851,-0.24171393,"('disagreeable', 'welcoming')",-0.33548725,-0.36829948,-0.2768362,-0.3050067,-0.0281705
19,-0.09039089,-0.19105163,"('inhospitable', 'hospitable')",-0.08766864,0.0036586663,-0.0890298,-0.0936965,-0.0046667
20,0.10462224,0.15072662,"('rough', 'thoughtful')",1.1368628,1.1002984,0.6207425,0.6255125,0.00477
21,-0.6842743,-0.76315576,"('immoral', 'moral')",-0.5689078,-0.5691987,-0.6265911,-0.6661773,-0.0395862
22,-0.77033305,-0.8499192,"('untrustworthy', 'trustworthy')",-0.9719646,-1.0599871,-0.8711488,-0.9549531,-0.0838043
23,-0.8361635,-0.87886363,"('insincere', 'sincere')",5.732476,5.7451596,2.4481564,2.4331479,-0.0150085
24,-0.3565088,-0.443694,"('dishonest', 'honest')",0.9520982,0.90681136,0.2977947,0.2315587,-0.066236
25,0.87454045,0.70178586,"('egoistic', 'altruistic')",1.524529,1.3704915,1.1995347,1.0361387,-0.163396
26,0.4990658,0.31761274,"('hardhearted', 'benevolent')",1.543717,1.3565924,1.0213914,0.8371026,-0.1842888
27,-0.14604113,-0.15042444,"('hardhearted', 'softhearted')",1.3837519,1.3328555,0.6188554,0.5912155,-0.0276399
28,-0.40639034,-0.57297444,"('disloyal', 'loyal')",1.1439822,1.0405371,0.3687959,0.2337813,-0.1350146
