,smucker_male,smucker_female,tuple,j_male,j_female,m_male,m_female,co_male,co_female,average_male,average_female,female-male
0,-0.15192968,-0.2974744,"('unsociable', 'sociable')",0.89437836,0.7555269,0.8955043,0.7994033,0.30341288,0.25355583,0.4853415,0.3777529,-0.1075886
1,-2.6655202,-2.661764,"('unfriendly', 'friendly')",-0.9078324,-1.2789869,-0.9606249,-1.2344587,2.0462112,1.6960355,-0.6219416,-0.8697935,-0.2478519
2,0.11677946,0.16386369,"('unlikable', 'likable')",1.6910515,1.772279,0.6012726,0.7055335,0.7311538,0.8364181,0.7850643,0.8695236,0.0844593
3,-1.0886688,-0.9877939,"('repellent', 'pleasant')",0.8017269,0.7105816,1.7204492,1.6120391,1.1921853,1.2136539,0.6564231,0.6371201,-0.019303
4,0.31814408,0.20372212,"('disliked', 'liked')",0.8517043,0.7463799,0.82546145,0.77711123,-7.354033,-7.392114,-1.3396808,-1.4162252,-0.0765444
5,-0.83422005,-0.689527,"('distant', 'outgoing')",-0.8461409,-0.7486564,-0.14981978,-0.09952472,-0.33809376,-0.32746857,-0.5420686,-0.4662942,0.0757744
6,-1.2269155,-1.0030929,"('distant', 'open')",-1.1741394,-1.0827119,-0.5160785,-0.53297377,-0.11501376,-0.19718958,-0.7580368,-0.7039921,0.0540447
7,-0.60266113,-0.55230933,"('insensitive', 'sensitive')",-0.17373216,-0.24305536,-0.6800129,-0.6338806,0.376837,0.41203842,-0.2698923,-0.2543017,0.0155906
8,-0.7389295,-0.7652992,"('unaffectionate', 'affectionate')",-0.8057925,-0.88080966,-1.3197548,-1.3435832,1.3748876,1.1373122,-0.3723973,-0.463095,-0.0906977
9,-0.99529487,-1.04725,"('unaffectionate', 'caring')",0.12540366,-0.006745644,-0.45619017,-0.50550795,2.2043648,1.97404,0.2195708,0.1036341,-0.1159367
10,-0.5026898,-0.59077305,"('unsympathetic', 'sympathetic')",0.26808688,0.073991574,-0.100221425,-0.21545859,0.26001847,0.2414828,-0.0187015,-0.1226893,-0.1039878
11,-0.4365321,-0.5747694,"('unhelpful', 'helpful')",0.74748087,0.63831526,-0.27302593,-0.2781422,2.00755,2.0704448,0.5113682,0.4639621,-0.0474061
12,-0.8498076,-0.7554466,"('unsupportive', 'supportive')",0.8187543,0.9240069,-0.28284138,-0.14796191,-1.7861454,-1.7048926,-0.52501,-0.4210736,0.1039364
13,0.47286597,0.4182037,"('impolite', 'polite')",0.7306557,0.65122813,0.6210511,0.63757384,-0.16384158,-0.03651208,0.4151828,0.4176234,0.0024406
14,-0.16998,-0.27889207,"('antisocial', 'social')",1.54449,1.4849012,0.8025981,0.83240277,-0.5367963,-0.38325098,0.4100779,0.4137902,0.0037123
15,0.21623038,0.08934597,"('boring', 'funny')",0.6793212,0.6843357,0.8164883,0.88267916,0.3540115,0.4019254,0.5165129,0.5145715,-0.0019414
16,-0.49574944,-0.4567275,"('unpopular', 'popular')",-0.06694531,-0.045201108,0.79535395,0.66531557,0.9742694,0.87080127,0.3017322,0.2585471,-0.0431851
17,-0.18866478,-0.122113355,"('nasty', 'nice')",0.17785849,0.23769724,0.12682837,0.20884512,-0.73563486,-0.60662884,-0.1549032,-0.07055,0.0843532
18,-1.059274,-0.86022615,"('disagreeable', 'welcoming')",-0.701408,-0.5805758,-1.2655563,-1.1496987,-0.776811,-0.8242728,-0.9507624,-0.8536934,0.097069
19,-0.19699077,-0.063606784,"('inhospitable', 'hospitable')",0.3416016,0.47759798,-0.189937,-0.07188376,-0.10945038,-0.10361419,-0.0386941,0.0596233,0.0983174
20,-0.1342932,-0.14686108,"('rough', 'thoughtful')",-0.4996216,-0.6024665,-0.070082515,-0.17055294,0.20686948,0.18151711,-0.124282,-0.1845908,-0.0603088
21,0.05002234,0.09198222,"('immoral', 'moral')",1.5539702,1.6619511,0.53175455,0.68591934,-0.71006125,-0.45799485,0.3564215,0.4954645,0.139043
22,0.4150329,0.3423747,"('untrustworthy', 'trustworthy')",0.86298454,0.8368526,-0.0065231016,-0.049452707,-0.91495454,-0.8681819,0.0891349,0.0653982,-0.0237367
23,-0.7101908,-0.82606876,"('insincere', 'sincere')",0.97297645,0.7986903,0.2120117,0.08316329,6.6664944,6.5866294,1.7853229,1.6606035,-0.1247194
24,-0.7643668,-0.7482773,"('dishonest', 'honest')",-0.20512986,-0.25957876,-2.138204,-2.059565,0.9224224,0.9155801,-0.5463196,-0.5379603,0.0083593
25,-0.61671036,-0.51739955,"('egoistic', 'altruistic')",-0.8331809,-0.8675609,-0.25721222,-0.30992016,1.3585286,1.2614797,-0.0871437,-0.1083502,-0.0212065
26,-1.2091371,-1.3360556,"('hardhearted', 'benevolent')",0.08755834,-0.17210732,0.10046816,-0.05729035,1.2574675,1.1326505,0.0590892,-0.1082007,-0.1672899
27,-0.5392169,-0.3829516,"('hardhearted', 'softhearted')",-1.6927022,-1.6249624,-1.1408743,-1.0047251,1.2442151,1.1832956,-0.5321445,-0.4573359,0.0748086
28,-0.91258925,-1.1001062,"('disloyal', 'loyal')",0.38936096,0.078594595,-0.302585,-0.45427483,1.6671087,1.4127378,0.2103238,-0.0157622,-0.226086
29,-0.6208783,-0.64001083,"('unfair', 'fair')",-0.21537293,-0.16999485,0.63207453,0.5762887,-0.54448926,-0.65723765,-0.1871665,-0.2227387,-0.0355722
30,0.4894586,0.48106772,"('intolerant', 'tolerant')",0.303508,0.39553416,-0.42594734,-0.33771488,0.12032272,0.345784,0.1218355,0.2211678,0.0993323
31,-0.9270556,-0.71288353,"('evil', 'good')",-0.47081286,-0.3923246,-0.011116702,-0.106166154,-0.55469275,-0.7059183,-0.4909195,-0.4793231,0.0115964
32,-0.58510536,-0.7235306,"('unkind', 'kind')",1.1506757,0.8798288,-0.24459918,-0.3314806,1.235674,1.0904615,0.3891613,0.2288198,-0.1603415
33,0.2909097,0.33210218,"('wrong', 'right')",-0.55618703,-0.52878916,-0.9125078,-0.8671158,-0.5209217,-0.61208224,-0.4246767,-0.4189712,0.0057055
34,-0.26515698,-0.11522724,"('mean', 'honorable')",0.009076823,0.21669747,-0.2209487,-0.046181172,5.7264094,5.8980775,1.3123451,1.4883417,0.1759966
35,0.59717363,0.6096443,"('corrupt', 'incorrupt')",-0.7725574,-0.8087559,-0.52970695,-0.6083459,-0.6284373,-0.790619,-0.333382,-0.3995191,-0.0661371
36,-0.861387,-0.8088217,"('hostile', 'amicable')",-0.9127356,-1.0194538,0.08861964,-0.054453224,0.48249266,0.3219862,-0.3007526,-0.3901856,-0.089433
37,0.36570665,0.3458589,"('fake', 'genuine')",0.8562491,0.77467966,-0.7157393,-0.578993,0.54046315,0.48572487,0.2616699,0.2568176,-0.0048523
38,-0.22531044,-0.30508605,"('untruthful', 'truthful')",0.10171671,-0.042562395,-0.44159102,-0.65456825,0.32793438,0.23284794,-0.0593126,-0.1923422,-0.1330296
39,0.28547278,0.39139408,"('exploitative', 'cooperative')",0.23729663,0.4947392,-0.83417034,-0.5808996,0.20591342,0.3761815,-0.0263719,0.1703538,0.1967257
40,-0.953902,-0.8603932,"('stingy', 'generous')",-0.5051997,-0.6190074,-0.9126475,-0.9112695,-2.415125,-2.4544942,-1.1967185,-1.2112911,-0.0145726
41,-0.34217587,-0.35268122,"('unforgiving', 'forgiving')",0.077900894,0.15887895,-0.29146013,-0.24085377,0.46245286,0.49546212,-0.0233206,0.0152015,0.0385221
