,kontoor_male,kontoor_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.59551597,-0.80003554,"('unsociable', 'sociable')",0.8523402,0.5974496,-0.3735375,-0.52296764,-0.0389044,-0.2418512,-0.2029468
1,-1.9543964,-2.0307662,"('unfriendly', 'friendly')",0.3046772,0.2727829,1.631759,1.4881941,-0.0059867,-0.0899297,-0.083943
2,1.0448583,1.0384579,"('unlikable', 'likable')",0.97836673,1.0429122,0.7970174,0.92112267,0.9400808,1.000831,0.0607502
3,-0.82696,-0.6504917,"('repellent', 'pleasant')",-0.88529724,-0.65534735,-0.385279,-0.2754382,-0.6991788,-0.5270924,0.1720864
4,-0.11558618,-0.15898062,"('disliked', 'liked')",-0.2621336,-0.2539748,-5.3076067,-5.3216805,-1.8951089,-1.9115453,-0.0164364
5,-0.82062376,-0.724868,"('distant', 'outgoing')",-0.28983414,-0.15250483,-0.0058426335,0.02092835,-0.3721002,-0.2854815,0.0866187
6,-1.419873,-1.2724552,"('distant', 'open')",-0.81714576,-0.6590713,0.44044363,0.4267064,-0.5988584,-0.5016067,0.0972517
7,-0.101735175,-0.111709625,"('insensitive', 'sensitive')",0.21650136,0.21250124,0.59156084,0.6332247,0.2354423,0.2446721,0.0092298
8,-1.1840142,-1.179399,"('unaffectionate', 'affectionate')",-0.16638467,-0.064993516,0.48044735,0.38501757,-0.2899838,-0.2864583,0.0035255
9,-1.5205207,-1.5022541,"('unaffectionate', 'caring')",0.52920985,0.5465971,0.89968395,0.8552667,-0.0305423,-0.0334634,-0.0029211
10,-1.099221,-1.1493499,"('unsympathetic', 'sympathetic')",0.0883567,0.030397708,-0.29188988,-0.3253939,-0.4342514,-0.4814487,-0.0471973
11,0.27983338,0.21366067,"('unhelpful', 'helpful')",0.464565,0.48332834,1.8894594,1.8642142,0.8779526,0.8537344,-0.0242182
12,-0.6106311,-0.50660247,"('unsupportive', 'supportive')",0.65756977,0.80825263,-1.4735113,-1.3643807,-0.4755242,-0.3542435,0.1212807
13,0.26330182,0.17846957,"('impolite', 'polite')",0.9614247,0.83743966,0.07802129,0.082943045,0.4342493,0.3662841,-0.0679652
14,0.07298519,0.05630001,"('antisocial', 'social')",0.9683713,0.8603592,-0.53113735,-0.54006755,0.170073,0.1255305,-0.0445425
15,0.66452897,0.5389533,"('boring', 'funny')",0.63795435,0.49825695,0.79343843,0.74052864,0.6986406,0.5925796,-0.106061
16,-0.6228726,-0.638903,"('unpopular', 'popular')",-0.33969066,-0.18036008,0.68969774,0.73687303,-0.0909552,-0.0274634,0.0634918
17,-0.2860472,-0.26898387,"('nasty', 'nice')",-0.74150765,-0.6174458,-0.53848463,-0.49379084,-0.5220132,-0.4600735,0.0619397
18,0.2750891,0.32185256,"('disagreeable', 'welcoming')",-0.5984657,-0.47381416,-0.106311455,-0.09589796,-0.1432293,-0.0826199,0.0606094
19,-0.5953353,-0.56601447,"('inhospitable', 'hospitable')",-0.45397896,-0.41053176,-0.043543257,0.08313553,-0.3642858,-0.2978036,0.0664822
20,-0.77606237,-0.6534607,"('rough', 'thoughtful')",0.35300013,0.49473616,0.9089716,0.94694436,0.1619698,0.2627399,0.1007701
21,-0.13309385,-0.25184035,"('immoral', 'moral')",0.39836136,0.2969793,-0.65426946,-0.648582,-0.1296673,-0.2011477,-0.0714804
22,0.031493165,0.068923645,"('untrustworthy', 'trustworthy')",0.01984124,-0.0694744,-1.040404,-1.0543453,-0.3296899,-0.351632,-0.0219421
23,-0.05958233,-0.14600492,"('insincere', 'sincere')",0.75884676,0.7237582,5.0586815,4.9383745,1.9193153,1.8387092,-0.0806061
24,-0.4778661,-0.48906055,"('dishonest', 'honest')",-0.4507993,-0.50862086,0.61415225,0.5657049,-0.1048377,-0.1439922,-0.0391545
25,-0.66187894,-0.65276647,"('egoistic', 'altruistic')",-0.3068066,-0.25263536,1.2906005,1.2088194,0.107305,0.1011392,-0.0061658
26,-0.85019183,-0.899123,"('hardhearted', 'benevolent')",0.6781529,0.6693731,1.5264279,1.3910726,0.451463,0.3871076,-0.0643554
27,-0.72987336,-0.5195955,"('hardhearted', 'softhearted')",0.13318588,0.1712782,0.9662732,0.95250773,0.1231952,0.2013968,0.0782016
28,-1.2524093,-1.4034683,"('disloyal', 'loyal')",-0.49330154,-0.6488248,0.820934,0.6265299,-0.308259,-0.4752544,-0.1669954
29,-0.63334817,-0.62251395,"('unfair', 'fair')",-0.94477123,-1.0074346,-0.9366251,-1.0593282,-0.8382482,-0.8964256,-0.0581774
30,0.89162374,0.8208179,"('intolerant', 'tolerant')",1.6487759,1.5279701,1.6845423,1.6385552,1.4083139,1.3291144,-0.0791995
31,-1.5981998,-1.5160062,"('evil', 'good')",-1.7232399,-1.6557133,-0.97608525,-1.0663708,-1.4325083,-1.4126968,0.0198115
32,-0.72434306,-0.85290223,"('unkind', 'kind')",0.7517065,0.5610329,0.7076472,0.5729822,0.2450035,0.0937043,-0.1512992
33,0.056966927,0.068997614,"('wrong', 'right')",0.6287194,0.6254408,-0.17442274,-0.15179744,0.1704212,0.1808803,0.0104591
34,-0.2633627,-0.21735613,"('mean', 'honorable')",-0.36324978,-0.23498118,5.6900625,5.7126436,1.6878166,1.7534355,0.0656189
35,0.3651248,0.35675457,"('corrupt', 'incorrupt')",-1.7286214,-1.7498083,-0.22750153,-0.41383857,-0.5303327,-0.6022975,-0.0719648
36,-0.9884832,-1.0309153,"('hostile', 'amicable')",-1.8821754,-1.8160561,-0.075301155,-0.25010288,-0.9819866,-1.0323582,-0.0503716
37,-0.051363826,-0.040168103,"('fake', 'genuine')",-0.3433877,-0.28356415,0.28654703,0.34218496,-0.0360682,0.0061509,0.0422191
38,-0.9821166,-0.9821144,"('untruthful', 'truthful')",-0.45001185,-0.3901318,0.13058826,0.1638853,-0.4338467,-0.402787,0.0310597
39,0.6803369,0.71038544,"('exploitative', 'cooperative')",1.2041148,1.0999867,0.30177876,0.29367185,0.7287435,0.701348,-0.0273955
40,-0.1003423,-0.12485097,"('stingy', 'generous')",-0.76416034,-0.6396686,-1.2077227,-1.1712099,-0.6907418,-0.6452432,0.0454986
41,0.15397604,0.04349771,"('unforgiving', 'forgiving')",-0.16110602,-0.12636305,0.20154002,0.10441281,0.0648033,0.0071825,-0.0576208
42,1.1737196,1.2545003,"('unreliable', 'reliable')",0.50769985,0.65014505,-2.2848766,-2.1001284,-0.2011524,-0.065161,0.1359914
43,0.18752463,0.20976973,"('irresponsible', 'responsible')",1.3052044,1.3656636,0.6228831,0.67670906,0.705204,0.7507141,0.0455101
