,cleveland_male,cleveland_female,tuple,cliffs_male,cliffs_female,inc_male,inc_female,average_male,average_female,female-male
0,0.41021222,0.3711776,"('unsociable', 'sociable')",1.2319162,1.159684,-0.13609543,-0.25906086,0.502011,0.4239336,-0.0780774
1,0.66514075,0.5829003,"('unfriendly', 'friendly')",0.4826457,0.38265216,2.1032386,1.971775,1.083675,0.9791091,-0.1045659
2,0.74954605,0.8680194,"('unlikable', 'likable')",1.5456553,1.5991989,0.6648871,0.7438098,0.9866961,1.0703427,0.0836466
3,0.10850945,0.21770759,"('repellent', 'pleasant')",0.90557265,0.99576366,0.35714608,0.4272982,0.4570761,0.5469232,0.0898471
4,-0.71549356,-0.7971438,"('disliked', 'liked')",-1.8463805,-1.9215481,-6.1239614,-6.142509,-2.8952783,-2.9537334,-0.0584551
5,-0.12833686,-0.08333551,"('distant', 'outgoing')",-1.9638872,-1.9577396,-0.23504755,-0.23721175,-0.7757572,-0.7594289,0.0163283
6,-0.35537547,-0.3041314,"('distant', 'open')",-2.2212646,-2.21221,0.14016438,0.114355296,-0.8121586,-0.800662,0.0114966
7,0.55434924,0.54974395,"('insensitive', 'sensitive')",1.9989206,2.0669324,0.99356085,0.9825248,1.1822769,1.1997337,0.0174568
8,-0.49909082,-0.46638238,"('unaffectionate', 'affectionate')",-0.4362483,-0.487845,0.7785818,0.6634112,-0.0522524,-0.0969387,-0.0446863
9,0.58662915,0.602139,"('unaffectionate', 'caring')",0.39915237,0.35856825,1.1519638,1.0798948,0.7125818,0.6802007,-0.0323811
10,1.272679,1.301476,"('unsympathetic', 'sympathetic')",1.8645598,1.89915,-0.083531514,-0.031663645,1.0179024,1.0563207,0.0384183
11,0.4159199,0.46345252,"('unhelpful', 'helpful')",0.50942177,0.56269896,1.9605719,2.0408459,0.9619712,1.0223324,0.0603612
12,1.0217494,1.0777396,"('unsupportive', 'supportive')",1.355929,1.3914266,-1.2367696,-1.1790472,0.3803029,0.4300397,0.0497368
13,0.5071742,0.50596935,"('impolite', 'polite')",1.8238273,1.7810271,-0.28533164,-0.33337557,0.6818899,0.6512069,-0.030683
