,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,female-male
0,-0.83311504,-1.0797644,"('unsociable', 'sociable')",0.09851329,0.11964722,-0.5422678,-0.64255095,-0.4256232,-0.5342227,-0.1085995
1,0.92937046,0.8727883,"('unfriendly', 'friendly')",1.5946655,1.6404648,2.4537017,2.3956769,1.6592458,1.6363099,-0.0229359
2,-0.22742045,-0.20144701,"('unlikable', 'likable')",0.06852785,0.1305405,0.40944666,0.58649266,0.083518,0.171862,0.088344
3,-0.7825223,-0.7791221,"('repellent', 'pleasant')",-1.8155934,-1.7552425,0.44939876,0.49636978,-0.716239,-0.6793316,0.0369074
4,-0.15664284,-0.1975279,"('disliked', 'liked')",-0.30644906,-0.2655219,-7.799756,-7.7766466,-2.7542826,-2.7465655,0.0077171
5,1.2390108,1.2416302,"('distant', 'outgoing')",1.1826767,1.1736665,0.32235843,0.40918824,0.914682,0.9414949,0.0268129
6,1.2866334,1.3338829,"('distant', 'open')",1.6137154,1.6299736,0.5753642,0.6733621,1.1585709,1.2124062,0.0538353
7,-0.8626676,-0.83985704,"('insensitive', 'sensitive')",-1.0340049,-0.815489,-0.114411674,-0.044501383,-0.6703614,-0.5666158,0.1037456
8,-0.01998122,-0.0018866323,"('unaffectionate', 'affectionate')",0.5342269,0.48512232,0.8500423,0.84195834,0.4547627,0.4417313,-0.0130314
9,1.1670297,1.1501386,"('unaffectionate', 'caring')",0.9298712,0.8876862,1.3558257,1.3755258,1.1509089,1.1377835,-0.0131254
10,-0.41989285,-0.48211357,"('unsympathetic', 'sympathetic')",-1.1072441,-0.9551977,-0.888757,-0.8855115,-0.805298,-0.7742743,0.0310237
11,-1.2062658,-1.1762623,"('unhelpful', 'helpful')",-0.30545375,-0.25621122,1.7763562,1.8010243,0.0882122,0.1228503,0.0346381
12,0.4958392,0.511807,"('unsupportive', 'supportive')",0.6474595,0.7425624,-2.2719657,-2.2080414,-0.3762223,-0.3178906,0.0583317
13,-0.8887769,-0.9412816,"('impolite', 'polite')",-0.05402536,-0.04286038,-0.61779946,-0.6834949,-0.5202006,-0.555879,-0.0356784
14,-0.82577205,-0.8991392,"('antisocial', 'social')",-0.8169991,-0.842026,-0.9649601,-1.028166,-0.8692438,-0.9231104,-0.0538666
15,0.39321852,0.34930766,"('boring', 'funny')",0.53565633,0.49576107,0.28779617,0.30927137,0.405557,0.38478,-0.020777
16,-1.6983993,-1.6422118,"('unpopular', 'popular')",-1.1592623,-1.0303249,0.0021647513,0.06536411,-0.9518323,-0.8690576,0.0827747
17,-1.5166107,-1.4234663,"('nasty', 'nice')",-0.7624339,-0.7141621,-0.55669004,-0.52114475,-0.9452449,-0.8862578,0.0589871
18,-1.1465062,-1.0164374,"('disagreeable', 'welcoming')",-0.43993038,-0.27721483,-0.8342155,-0.77800494,-0.806884,-0.6905524,0.1163316
19,0.63968456,0.6811742,"('inhospitable', 'hospitable')",0.15749308,0.15346175,0.008454446,0.1259616,0.268544,0.3201992,0.0516552
20,0.13801897,0.22644289,"('rough', 'thoughtful')",-0.09654281,-0.021703873,0.4402022,0.43316004,0.1605595,0.212633,0.0520735
21,-0.18787816,-0.27931282,"('immoral', 'moral')",-0.59516644,-0.46746415,-1.1621735,-1.0239886,-0.648406,-0.5902552,0.0581508
