,page_male,page_female,tuple,average_male,average_female,female-male
0,0.29149333,0.07232693,"('unsociable', 'sociable')",0.2914933,0.0723269,-0.2191664
1,0.97633564,1.0068606,"('unfriendly', 'friendly')",0.9763356,1.0068606,0.030525
2,0.281729,0.4886392,"('unlikable', 'likable')",0.281729,0.4886392,0.2069102
3,0.5215896,0.757865,"('repellent', 'pleasant')",0.5215896,0.757865,0.2362754
4,-7.30274,-7.4108167,"('disliked', 'liked')",-7.3027401,-7.4108167,-0.1080766
5,-0.98146635,-0.6702268,"('distant', 'outgoing')",-0.9814664,-0.6702268,0.3112396
6,-0.39798316,-0.13610768,"('distant', 'open')",-0.3979832,-0.1361077,0.2618755
7,1.4761025,1.451543,"('insensitive', 'sensitive')",1.4761025,1.451543,-0.0245595
8,0.76739246,0.86698675,"('unaffectionate', 'affectionate')",0.7673925,0.8669868,0.0995943
9,1.5055189,1.6392093,"('unaffectionate', 'caring')",1.5055189,1.6392093,0.1336904
10,1.3735647,1.3792572,"('unsympathetic', 'sympathetic')",1.3735647,1.3792572,0.0056925
11,2.3930511,2.4107356,"('unhelpful', 'helpful')",2.3930511,2.4107356,0.0176845
12,-1.0740975,-1.044459,"('unsupportive', 'supportive')",-1.0740975,-1.044459,0.0296385
13,0.5351994,0.37997633,"('impolite', 'polite')",0.5351994,0.3799763,-0.1552231
14,0.09586315,0.07259545,"('antisocial', 'social')",0.0958631,0.0725954,-0.0232677
15,0.12638845,0.14513473,"('boring', 'funny')",0.1263884,0.1451347,0.0187463
16,-0.8539201,-0.7586482,"('unpopular', 'popular')",-0.8539201,-0.7586482,0.0952719
17,-0.12912506,-0.06424017,"('nasty', 'nice')",-0.1291251,-0.0642402,0.0648849
18,-0.7068376,-0.5604694,"('disagreeable', 'welcoming')",-0.7068376,-0.5604694,0.1463682
19,-0.51719445,-0.34884676,"('inhospitable', 'hospitable')",-0.5171944,-0.3488468,0.1683476
20,1.0172642,0.8438377,"('rough', 'thoughtful')",1.0172642,0.8438377,-0.1734265
21,0.13978046,0.20957448,"('immoral', 'moral')",0.1397805,0.2095745,0.069794
22,0.099512875,0.037438132,"('untrustworthy', 'trustworthy')",0.0995129,0.0374381,-0.0620748
23,6.8343186,7.001149,"('insincere', 'sincere')",6.8343186,7.0011492,0.1668306
24,2.143416,2.28103,"('dishonest', 'honest')",2.1434159,2.2810299,0.137614
25,0.31996626,0.2932928,"('egoistic', 'altruistic')",0.3199663,0.2932928,-0.0266735
26,0.23347396,0.16531609,"('hardhearted', 'benevolent')",0.233474,0.1653161,-0.0681579
27,1.2861115,1.3260404,"('hardhearted', 'softhearted')",1.2861115,1.3260404,0.0399289
28,1.3954588,1.4039406,"('disloyal', 'loyal')",1.3954588,1.4039406,0.0084818
29,-0.21179384,-0.20393288,"('unfair', 'fair')",-0.2117938,-0.2039329,0.0078609
30,1.0385504,1.0335659,"('intolerant', 'tolerant')",1.0385504,1.0335659,-0.0049845
31,-1.8677723,-1.6691377,"('evil', 'good')",-1.8677723,-1.6691377,0.1986346
32,1.2365129,1.1857738,"('unkind', 'kind')",1.2365129,1.1857738,-0.0507391
33,-0.6368669,-0.5703386,"('wrong', 'right')",-0.6368669,-0.5703386,0.0665283
34,4.0245104,4.4368844,"('mean', 'honorable')",4.0245104,4.4368844,0.412374
35,-0.79545283,-0.79806197,"('corrupt', 'incorrupt')",-0.7954528,-0.798062,-0.0026092
36,-1.0118803,-1.0205727,"('hostile', 'amicable')",-1.0118803,-1.0205727,-0.0086924
