,paddock_male,paddock_female,tuple,average_male,average_female,female-male
0,0.5358,0.45941126,"('unsociable', 'sociable')",0.5358,0.4594113,-0.0763887
1,0.113036364,0.07135968,"('unfriendly', 'friendly')",0.1130364,0.0713597,-0.0416767
2,-0.26105854,-0.09450685,"('unlikable', 'likable')",-0.2610585,-0.0945069,0.1665516
3,-0.98613834,-0.762041,"('repellent', 'pleasant')",-0.9861383,-0.762041,0.2240973
4,-1.5178179,-1.138355,"('disliked', 'liked')",-1.5178179,-1.138355,0.3794629
5,-0.17648196,-0.04254919,"('distant', 'outgoing')",-0.176482,-0.0425492,0.1339328
6,0.080619514,0.29019767,"('distant', 'open')",0.0806195,0.2901977,0.2095782
7,0.28962493,0.12685175,"('insensitive', 'sensitive')",0.2896249,0.1268518,-0.1627731
8,0.1889363,0.14845555,"('unaffectionate', 'affectionate')",0.1889363,0.1484555,-0.0404808
9,0.20535165,0.14008474,"('unaffectionate', 'caring')",0.2053517,0.1400847,-0.065267
10,-0.6902746,-0.8225357,"('unsympathetic', 'sympathetic')",-0.6902746,-0.8225357,-0.1322611
11,0.05315622,-0.1542393,"('unhelpful', 'helpful')",0.0531562,-0.1542393,-0.2073955
12,-0.7451206,-0.49343187,"('unsupportive', 'supportive')",-0.7451206,-0.4934319,0.2516887
13,-0.17923158,-0.3052502,"('impolite', 'polite')",-0.1792316,-0.3052502,-0.1260186
14,-0.15043014,-0.085456274,"('antisocial', 'social')",-0.1504301,-0.0854563,0.0649738
15,0.7035341,0.7273402,"('boring', 'funny')",0.7035341,0.7273402,0.0238061
16,0.69412786,0.75088835,"('unpopular', 'popular')",0.6941279,0.7508883,0.0567604
17,-0.46164674,-0.3624284,"('nasty', 'nice')",-0.4616467,-0.3624284,0.0992183
18,-1.1720903,-1.1002531,"('disagreeable', 'welcoming')",-1.1720903,-1.1002531,0.0718372
19,-0.68741727,-0.64928275,"('inhospitable', 'hospitable')",-0.6874173,-0.6492828,0.0381345
20,-0.87001354,-0.93170536,"('rough', 'thoughtful')",-0.8700135,-0.9317054,-0.0616919
21,-0.9243896,-0.8280481,"('immoral', 'moral')",-0.9243896,-0.8280481,0.0963415
22,-0.3005282,-0.36082935,"('untrustworthy', 'trustworthy')",-0.3005282,-0.3608294,-0.0603012
23,1.2057366,0.9655857,"('insincere', 'sincere')",1.2057366,0.9655857,-0.2401509
24,-0.4707015,-0.7230182,"('dishonest', 'honest')",-0.4707015,-0.7230182,-0.2523167
25,0.48811415,0.44640237,"('egoistic', 'altruistic')",0.4881141,0.4464024,-0.0417117
26,0.35265255,0.191286,"('hardhearted', 'benevolent')",0.3526525,0.191286,-0.1613665
