,motor_male,motor_female,tuple,average_male,average_female,female-male
0,-0.79769295,-0.8087013,"('unsociable', 'sociable')",-0.797693,-0.8087013,-0.0110083
1,2.3493242,2.2289555,"('unfriendly', 'friendly')",2.3493242,2.2289555,-0.1203687
2,0.20867082,0.24742508,"('unlikable', 'likable')",0.2086708,0.2474251,0.0387543
3,-0.52018803,-0.47381642,"('repellent', 'pleasant')",-0.520188,-0.4738164,0.0463716
4,-6.6481233,-6.776851,"('disliked', 'liked')",-6.6481233,-6.7768512,-0.1287279
5,0.75383127,0.6816396,"('distant', 'outgoing')",0.7538313,0.6816396,-0.0721917
6,0.9815747,0.8846718,"('distant', 'open')",0.9815747,0.8846718,-0.0969029
7,0.08001891,0.18001914,"('insensitive', 'sensitive')",0.0800189,0.1800191,0.1000002
8,1.8354548,1.7170742,"('unaffectionate', 'affectionate')",1.8354548,1.7170742,-0.1183806
9,2.169298,2.156092,"('unaffectionate', 'caring')",2.1692979,2.1560919,-0.013206
10,-0.21334344,-0.11880123,"('unsympathetic', 'sympathetic')",-0.2133434,-0.1188012,0.0945422
11,1.8100451,1.8925252,"('unhelpful', 'helpful')",1.8100451,1.8925252,0.0824801
12,-2.002439,-1.9603897,"('unsupportive', 'supportive')",-2.002439,-1.9603897,0.0420493
13,-0.7845142,-0.79854983,"('impolite', 'polite')",-0.7845142,-0.7985498,-0.0140356
14,-0.42741364,-0.37484547,"('antisocial', 'social')",-0.4274136,-0.3748455,0.0525681
15,0.6145415,0.52749705,"('boring', 'funny')",0.6145415,0.5274971,-0.0870444
16,-0.005468011,-0.047152013,"('unpopular', 'popular')",-0.005468,-0.047152,-0.041684
17,0.3066647,0.34188765,"('nasty', 'nice')",0.3066647,0.3418877,0.035223
18,-0.2195023,-0.27960646,"('disagreeable', 'welcoming')",-0.2195023,-0.2796065,-0.0601042
19,0.5064416,0.47536916,"('inhospitable', 'hospitable')",0.5064416,0.4753692,-0.0310724
20,0.41827327,0.38257983,"('rough', 'thoughtful')",0.4182733,0.3825798,-0.0356935
21,-1.081232,-0.94441885,"('immoral', 'moral')",-1.081232,-0.9444188,0.1368132
22,-1.2325073,-1.2234411,"('untrustworthy', 'trustworthy')",-1.2325073,-1.2234411,0.0090662
23,5.9961224,6.0857935,"('insincere', 'sincere')",5.9961224,6.0857935,0.0896711
24,1.2878194,1.2469482,"('dishonest', 'honest')",1.2878194,1.2469482,-0.0408712
25,0.8927052,0.8211019,"('egoistic', 'altruistic')",0.8927052,0.8211019,-0.0716033
26,1.4638829,1.3984555,"('hardhearted', 'benevolent')",1.4638829,1.3984555,-0.0654274
27,1.6906029,1.5570855,"('hardhearted', 'softhearted')",1.6906029,1.5570855,-0.1335174
28,1.2146547,1.1653348,"('disloyal', 'loyal')",1.2146547,1.1653348,-0.0493199
29,-0.095945746,-0.19298585,"('unfair', 'fair')",-0.0959457,-0.1929858,-0.0970401
30,0.32709166,0.41945097,"('intolerant', 'tolerant')",0.3270917,0.419451,0.0923593
31,-0.29473636,-0.35393345,"('evil', 'good')",-0.2947364,-0.3539335,-0.0591971
32,0.9372917,0.910311,"('unkind', 'kind')",0.9372917,0.910311,-0.0269807
33,0.60369855,0.49219275,"('wrong', 'right')",0.6036986,0.4921927,-0.1115059
34,4.857306,5.0058904,"('mean', 'honorable')",4.857306,5.0058904,0.1485844
35,0.1253826,-0.13729429,"('corrupt', 'incorrupt')",0.1253826,-0.1372943,-0.2626769
36,0.4661495,0.24558729,"('hostile', 'amicable')",0.4661495,0.2455873,-0.2205622
37,0.77655196,0.7990472,"('fake', 'genuine')",0.776552,0.7990472,0.0224952
38,0.5997922,0.58013487,"('untruthful', 'truthful')",0.5997922,0.5801349,-0.0196573
39,0.2069718,0.22472914,"('exploitative', 'cooperative')",0.2069718,0.2247291,0.0177573
40,-1.9885032,-2.1125536,"('stingy', 'generous')",-1.9885032,-2.1125536,-0.1240504
41,0.24792601,0.2535199,"('unforgiving', 'forgiving')",0.247926,0.2535199,0.0055939
42,-3.6588368,-3.5826395,"('unreliable', 'reliable')",-3.6588368,-3.5826395,0.0761973
43,0.5967838,0.6972899,"('irresponsible', 'responsible')",0.5967838,0.6972899,0.1005061
44,-1.0432366,-1.0579699,"('prejudiced', 'unprejudiced')",-1.0432366,-1.0579699,-0.0147333
45,-0.86299056,-0.7991994,"('incompetent', 'competent')",-0.8629906,-0.7991994,0.0637912
46,-1.8080919,-1.7939436,"('uncompetitive', 'competitive')",-1.8080919,-1.7939436,0.0141483
47,5.196458,5.3520465,"('stupid', 'smart')",5.1964579,5.3520465,0.1555886
48,0.084141895,0.096066386,"('unintelligent', 'intelligent')",0.0841419,0.0960664,0.0119245
49,0.06144108,0.085501686,"('unable', 'able')",0.0614411,0.0855017,0.0240606
50,-0.09929375,-0.16012716,"('clumsy', 'skillful')",-0.0992938,-0.1601272,-0.0608334
51,-0.18347651,-0.15803787,"('uneducated', 'educated')",-0.1834765,-0.1580379,0.0254386
52,0.9089402,0.71548796,"('irrational', 'rational')",0.9089402,0.715488,-0.1934522
53,0.5113302,0.4336826,"('uncreative', 'creative')",0.5113302,0.4336826,-0.0776476
54,1.5242157,1.5289173,"('incapable', 'capable')",1.5242157,1.5289173,0.0047016
55,-0.67320013,-0.55856544,"('incompetent', 'clever')",-0.6732001,-0.5585654,0.1146347
56,-0.10237888,0.030059684,"('impractical', 'practical')",-0.1023789,0.0300597,0.1324386
57,-3.3214355,-3.2657957,"('unimaginative', 'imaginative')",-3.3214355,-3.2657957,0.0556398
58,0.45497525,0.4678736,"('undiscriminating', 'discriminating')",0.4549752,0.4678736,0.0128984
59,1.0350313,0.96814156,"('foolish', 'wise')",1.0350313,0.9681416,-0.0668897
