,premier_male,premier_female,tuple,average_male,average_female,female-male
0,0.11997764,0.01482119,"('unsociable', 'sociable')",0.1199776,0.0148212,-0.1051564
1,1.5108144,1.5828867,"('unfriendly', 'friendly')",1.5108144,1.5828867,0.0720723
2,-0.08643325,0.082151785,"('unlikable', 'likable')",-0.0864332,0.0821518,0.168585
3,0.64209,0.6547592,"('repellent', 'pleasant')",0.64209,0.6547592,0.0126692
4,-6.9979568,-7.1707344,"('disliked', 'liked')",-6.9979568,-7.1707344,-0.1727776
5,-0.12277119,0.13594705,"('distant', 'outgoing')",-0.1227712,0.135947,0.2587182
6,0.14750826,0.34224632,"('distant', 'open')",0.1475083,0.3422463,0.194738
7,1.1394502,1.1073856,"('insensitive', 'sensitive')",1.1394502,1.1073856,-0.0320646
8,1.2865711,1.3801075,"('unaffectionate', 'affectionate')",1.2865711,1.3801075,0.0935364
9,1.7080121,1.8704972,"('unaffectionate', 'caring')",1.7080121,1.8704972,0.1624851
10,0.6502667,0.61268145,"('unsympathetic', 'sympathetic')",0.6502667,0.6126814,-0.0375853
11,1.5582892,1.6631813,"('unhelpful', 'helpful')",1.5582892,1.6631813,0.1048921
12,-1.4754844,-1.3328778,"('unsupportive', 'supportive')",-1.4754844,-1.3328778,0.1426066
13,-0.3439283,-0.33428603,"('impolite', 'polite')",-0.3439283,-0.334286,0.0096423
14,0.07410135,-0.00048134476,"('antisocial', 'social')",0.0741014,-0.0004813,-0.0745827
15,0.429661,0.3992246,"('boring', 'funny')",0.429661,0.3992246,-0.0304364
16,-0.571884,-0.4326741,"('unpopular', 'popular')",-0.571884,-0.4326741,0.1392099
17,-0.15307778,0.016576517,"('nasty', 'nice')",-0.1530778,0.0165765,0.1696543
18,-0.32904387,-0.22319748,"('disagreeable', 'welcoming')",-0.3290439,-0.2231975,0.1058464
19,-0.34233892,-0.10628187,"('inhospitable', 'hospitable')",-0.3423389,-0.1062819,0.236057
20,0.61236715,0.44977155,"('rough', 'thoughtful')",0.6123672,0.4497716,-0.1625956
21,-0.40786967,-0.268343,"('immoral', 'moral')",-0.4078697,-0.268343,0.1395267
22,-0.6929233,-0.63698775,"('untrustworthy', 'trustworthy')",-0.6929233,-0.6369877,0.0559356
23,6.3612657,6.5246534,"('insincere', 'sincere')",6.3612657,6.5246534,0.1633877
24,1.5452379,1.5372213,"('dishonest', 'honest')",1.5452379,1.5372213,-0.0080166
25,0.80249965,0.8077595,"('egoistic', 'altruistic')",0.8024997,0.8077595,0.0052598
26,1.1329749,0.91600245,"('hardhearted', 'benevolent')",1.1329749,0.9160025,-0.2169724
27,1.8031619,1.680192,"('hardhearted', 'softhearted')",1.8031619,1.680192,-0.1229699
28,1.2968632,1.206678,"('disloyal', 'loyal')",1.2968632,1.206678,-0.0901852
29,-0.5613888,-0.5911882,"('unfair', 'fair')",-0.5613888,-0.5911882,-0.0297994
30,0.7550648,0.82497966,"('intolerant', 'tolerant')",0.7550648,0.8249797,0.0699149
31,-1.1771963,-1.1047357,"('evil', 'good')",-1.1771963,-1.1047357,0.0724606
32,1.3557762,1.2318025,"('unkind', 'kind')",1.3557762,1.2318025,-0.1239737
33,-0.11328385,-0.04083037,"('wrong', 'right')",-0.1132839,-0.0408304,0.0724535
34,4.487323,4.892308,"('mean', 'honorable')",4.4873228,4.8923082,0.4049854
35,-0.8037968,-0.9936483,"('corrupt', 'incorrupt')",-0.8037968,-0.9936483,-0.1898515
36,-0.7972997,-0.8099002,"('hostile', 'amicable')",-0.7972997,-0.8099002,-0.0126005
37,1.3341699,1.2837256,"('fake', 'genuine')",1.3341699,1.2837256,-0.0504443
38,0.1579828,0.2913212,"('untruthful', 'truthful')",0.1579828,0.2913212,0.1333384
39,0.4454507,0.437996,"('exploitative', 'cooperative')",0.4454507,0.437996,-0.0074547
40,-1.2937944,-1.4801638,"('stingy', 'generous')",-1.2937944,-1.4801638,-0.1863694
41,0.3201577,0.24992228,"('unforgiving', 'forgiving')",0.3201577,0.2499223,-0.0702354
42,-2.7296286,-2.761272,"('unreliable', 'reliable')",-2.7296286,-2.761272,-0.0316434
43,1.0701932,1.1423968,"('irresponsible', 'responsible')",1.0701932,1.1423968,0.0722036
44,-1.2198342,-1.3345292,"('prejudiced', 'unprejudiced')",-1.2198342,-1.3345292,-0.114695
45,0.24822995,0.12597689,"('incompetent', 'competent')",0.24823,0.1259769,-0.1222531
46,-0.7884419,-0.90854365,"('uncompetitive', 'competitive')",-0.7884419,-0.9085436,-0.1201017
