,figure_male,figure_female,tuple,average_male,average_female,female-male
0,0.37526968,0.3409653,"('unsociable', 'sociable')",0.3752697,0.3409653,-0.0343044
1,1.6519984,1.7276897,"('unfriendly', 'friendly')",1.6519984,1.7276897,0.0756913
2,0.015101088,0.11895122,"('unlikable', 'likable')",0.0151011,0.1189512,0.1038501
3,1.0555843,1.2485274,"('repellent', 'pleasant')",1.0555843,1.2485274,0.1929431
4,-6.951719,-6.902578,"('disliked', 'liked')",-6.9517188,-6.9025779,0.0491409
5,-0.6984824,-0.400445,"('distant', 'outgoing')",-0.6984824,-0.400445,0.2980374
6,-0.3747495,-0.12793691,"('distant', 'open')",-0.3747495,-0.1279369,0.2468126
7,1.6524947,1.8446515,"('insensitive', 'sensitive')",1.6524947,1.8446515,0.1921568
8,1.0976938,1.1394944,"('unaffectionate', 'affectionate')",1.0976938,1.1394944,0.0418006
9,1.860888,2.0512898,"('unaffectionate', 'caring')",1.860888,2.0512898,0.1904018
10,1.2561044,1.2757534,"('unsympathetic', 'sympathetic')",1.2561044,1.2757534,0.019649
11,2.1944833,2.3610263,"('unhelpful', 'helpful')",2.1944833,2.3610263,0.166543
12,-1.1275876,-0.8202773,"('unsupportive', 'supportive')",-1.1275876,-0.8202773,0.3073103
13,0.2683791,0.24353966,"('impolite', 'polite')",0.2683791,0.2435397,-0.0248394
14,0.32444552,0.4569497,"('antisocial', 'social')",0.3244455,0.4569497,0.1325042
15,0.66050106,0.6496391,"('boring', 'funny')",0.6605011,0.6496391,-0.010862
16,-0.5209606,-0.43528157,"('unpopular', 'popular')",-0.5209606,-0.4352816,0.085679
17,-0.4127924,-0.27047974,"('nasty', 'nice')",-0.4127924,-0.2704797,0.1423127
18,-0.13140382,-0.09990582,"('disagreeable', 'welcoming')",-0.1314038,-0.0999058,0.031498
19,-0.825337,-0.46591732,"('inhospitable', 'hospitable')",-0.825337,-0.4659173,0.3594197
20,0.73321766,0.65756273,"('rough', 'thoughtful')",0.7332177,0.6575627,-0.075655
