,assignment_male,assignment_female,tuple,average_male,average_female,female-male
0,0.5150154,0.31993905,"('unsociable', 'sociable')",0.5150154,0.319939,-0.1950764
1,0.9203523,0.84209853,"('unfriendly', 'friendly')",0.9203523,0.8420985,-0.0782538
2,0.3349609,0.4711912,"('unlikable', 'likable')",0.3349609,0.4711912,0.1362303
3,1.3344623,1.2635379,"('repellent', 'pleasant')",1.3344623,1.2635379,-0.0709244
4,-7.1983395,-6.971514,"('disliked', 'liked')",-7.1983395,-6.9715142,0.2268253
5,-0.55544746,-0.5084909,"('distant', 'outgoing')",-0.5554475,-0.5084909,0.0469566
6,-0.41082656,-0.37071902,"('distant', 'open')",-0.4108266,-0.370719,0.0401076
7,0.881336,0.8959694,"('insensitive', 'sensitive')",0.881336,0.8959694,0.0146334
8,0.6170774,0.57036626,"('unaffectionate', 'affectionate')",0.6170774,0.5703663,-0.0467111
9,1.5942925,1.5763294,"('unaffectionate', 'caring')",1.5942925,1.5763294,-0.0179631
10,1.6527232,1.6258887,"('unsympathetic', 'sympathetic')",1.6527232,1.6258887,-0.0268345
11,2.458695,2.4344418,"('unhelpful', 'helpful')",2.4586949,2.4344418,-0.0242531
12,-1.2496111,-1.2495362,"('unsupportive', 'supportive')",-1.2496111,-1.2495362,7.49e-05
13,0.669911,0.50856644,"('impolite', 'polite')",0.669911,0.5085664,-0.1613446
14,0.22011308,0.090186514,"('antisocial', 'social')",0.2201131,0.0901865,-0.1299266
15,0.0063444423,-0.04227276,"('boring', 'funny')",0.0063444,-0.0422728,-0.0486172
16,-0.15294993,-0.1199756,"('unpopular', 'popular')",-0.1529499,-0.1199756,0.0329743
17,-0.6514678,-0.67435604,"('nasty', 'nice')",-0.6514678,-0.674356,-0.0228882
18,-0.875736,-1.0455787,"('disagreeable', 'welcoming')",-0.875736,-1.0455787,-0.1698427
19,-1.055013,-0.91401005,"('inhospitable', 'hospitable')",-1.0550129,-0.91401,0.1410029
20,1.059266,0.94292873,"('rough', 'thoughtful')",1.059266,0.9429287,-0.1163373
21,0.67830473,0.7054425,"('immoral', 'moral')",0.6783047,0.7054425,0.0271378
22,-0.33503526,-0.3616148,"('untrustworthy', 'trustworthy')",-0.3350353,-0.3616148,-0.0265795
23,6.8839874,6.711784,"('insincere', 'sincere')",6.8839874,6.7117839,-0.1722035
24,1.9736758,1.9060268,"('dishonest', 'honest')",1.9736758,1.9060268,-0.067649
25,0.20853408,0.107194096,"('egoistic', 'altruistic')",0.2085341,0.1071941,-0.10134
26,0.29620543,0.2669058,"('hardhearted', 'benevolent')",0.2962054,0.2669058,-0.0292996
27,1.34186,1.1582036,"('hardhearted', 'softhearted')",1.3418601,1.1582036,-0.1836565
28,0.9406581,0.8773525,"('disloyal', 'loyal')",0.9406581,0.8773525,-0.0633056
29,-1.3445774,-1.4379181,"('unfair', 'fair')",-1.3445774,-1.4379181,-0.0933407
30,1.0638376,1.0701724,"('intolerant', 'tolerant')",1.0638376,1.0701724,0.0063348
31,-2.1698344,-2.086197,"('evil', 'good')",-2.1698344,-2.0861969,0.0836375
32,1.5909541,1.5777552,"('unkind', 'kind')",1.5909541,1.5777552,-0.0131989
33,-0.6374024,-0.66250265,"('wrong', 'right')",-0.6374024,-0.6625026,-0.0251002
34,5.070317,5.1232643,"('mean', 'honorable')",5.0703168,5.1232643,0.0529475
35,-1.5765942,-1.6936884,"('corrupt', 'incorrupt')",-1.5765942,-1.6936884,-0.1170942
36,-1.2913264,-1.256751,"('hostile', 'amicable')",-1.2913264,-1.2567509,0.0345755
