,Dimension,P-Value M vs. F Firm Embedding,P-Value Delta Firm vs. Delta Random Embedding,Mean Firm,Mean Random,Mean Firm vs. Mean Random,Dictionary
0,"('unsociable', 'sociable')",0.0,0.14168,-0.9357912080562661,-0.931176688125,-0.004614519931266159,Sociability
1,"('unfriendly', 'friendly')",0.0,0.0,0.1730683306905371,0.193878906875,-0.020810576184462914,Sociability
2,"('unlikable', 'likable')",0.0,0.0,-0.8614747047314578,-0.79956453775,-0.06191016698145779,Sociability
3,"('repellent', 'pleasant')",0.07146,0.0,0.011201610358056268,0.11284644249999999,-0.10164483214194373,Sociability
4,"('disliked', 'liked')",0.0,0.16154,0.5179713569053709,0.5141320070000001,0.0038393499053708258,Sociability
5,"('distant', 'outgoing')",0.0,0.0,0.2962804664961637,0.21151615975,0.0847643067461637,Sociability
6,"('distant', 'open')",0.0,0.0,0.3266686606138108,0.28107272850000004,0.045595932113810744,Sociability
7,"('insensitive', 'sensitive')",0.0,0.0,-0.18368819079283885,-0.11891614962500001,-0.06477204116783884,Sociability
8,"('unaffectionate', 'affectionate')",0.0,0.0,0.21660777659846545,0.23093625612500002,-0.014328479526534571,Sociability
9,"('unaffectionate', 'caring')",0.0,0.0,0.4286268974424552,0.442201748625,-0.013574851182544811,Sociability
10,"('unsympathetic', 'sympathetic')",0.0,0.0,-0.8215455571611253,-0.7331652877499999,-0.08838026941112542,Sociability
11,"('unhelpful', 'helpful')",0.0,0.0,-0.4150036069053708,-0.34498178775,-0.07002181915537081,Sociability
12,"('unsupportive', 'supportive')",0.0,0.0,0.4568474826086956,0.37481580649999996,0.08203167610869566,Sociability
13,"('impolite', 'polite')",0.0,0.0,-0.3752181442455243,-0.27341799850000004,-0.10180014574552426,Sociability
14,"('antisocial', 'social')",0.0,0.00567,0.35721698976982097,0.34839094162499995,0.00882604814482102,Sociability
15,"('boring', 'funny')",0.0,0.40115,-0.24676212058823527,-0.24961018775,0.0028480671617647224,Sociability
16,"('unpopular', 'popular')",0.25505,0.0,-0.007996454475703326,0.095584687875,-0.10358114235070333,Sociability
17,"('nasty', 'nice')",0.0,0.0,0.3373305482097187,0.303225380875,0.03410516733471869,Sociability
18,"('disagreeable', 'welcoming')",0.0,0.0,0.5468466101023017,0.46939050262500004,0.0774561074773017,Sociability
19,"('inhospitable', 'hospitable')",0.0,0.0,-0.06795314424552429,-0.018109629125,-0.04984351512052429,Sociability
20,"('rough', 'thoughtful')",0.0,0.0,0.19515182352941174,0.285178079375,-0.09002625584558827,Sociability
21,"('immoral', 'moral')",0.0,0.0,-0.8221806186700766,-0.718792413625,-0.10338820504507662,Morality
22,"('untrustworthy', 'trustworthy')",0.0,0.0,-0.08083243158567774,-0.14067435475,0.05984192316432227,Morality
23,"('insincere', 'sincere')",0.0,0.0,-0.33102331419437336,-0.269830332125,-0.06119298206937335,Morality
24,"('dishonest', 'honest')",0.0,0.0,-0.3605144090792839,-0.25063618112499997,-0.10987822795428392,Morality
25,"('egoistic', 'altruistic')",0.0,0.00093,0.11030206930946293,0.11914136325,-0.008839293940537077,Morality
26,"('hardhearted', 'benevolent')",0.0,0.0,0.49048469194373406,0.413760528375,0.07672416356873407,Morality
27,"('hardhearted', 'softhearted')",0.0,0.0,0.589619005370844,0.613051631,-0.023432625629156045,Morality
28,"('disloyal', 'loyal')",0.0,0.0,-0.3011103171355499,-0.24876153724999997,-0.05234877988554995,Morality
29,"('unfair', 'fair')",0.0,0.0,0.449587800511509,0.43224933962499995,0.017338460886509033,Morality
30,"('intolerant', 'tolerant')",0.0,0.03155,-0.3373907140664961,-0.34374115975,0.0063504456835039025,Morality
31,"('evil', 'good')",0.0,0.0,0.3035093314578005,0.1975143185,0.1059950129578005,Morality
32,"('unkind', 'kind')",0.0,0.0,-0.1895623506393862,-0.07412295825,-0.1154393923893862,Morality
33,"('wrong', 'right')",0.0,0.0,0.6764271854219949,0.6401867608749999,0.03624042454699494,Morality
34,"('mean', 'honorable')",0.0,0.0,-0.45663490767263426,-0.378758666625,-0.07787624104763424,Morality
35,"('corrupt', 'incorrupt')",0.0,0.0,0.7508093691815857,0.79287744875,-0.042068079568414296,Morality
36,"('hostile', 'amicable')",0.0,0.0,0.457188781713555,0.514663236875,-0.05747445516144506,Morality
37,"('fake', 'genuine')",0.0,0.0,-0.20939432225063936,-0.133473477625,-0.07592084462563936,Morality
38,"('untruthful', 'truthful')",0.0,0.0,0.06532131713554988,0.102680729,-0.03735941186445012,Morality
39,"('exploitative', 'cooperative')",0.0,0.02678,0.6418947511508952,0.6472727614999999,-0.005378010349104678,Morality
40,"('stingy', 'generous')",0.0,0.23098,-0.5725103891304348,-0.575729174,0.003218784869565172,Morality
41,"('unforgiving', 'forgiving')",0.0,0.01311,-0.5834994452685422,-0.577181221125,-0.006318224143542217,Morality
42,"('unreliable', 'reliable')",0.0,0.2134,0.19965706483375956,0.202541478375,-0.0028844135412404437,Morality
43,"('irresponsible', 'responsible')",0.0,0.0,-0.15011794578005114,-0.126535434625,-0.02358251115505114,Morality
44,"('prejudiced', 'unprejudiced')",0.0,0.0,-0.12292444897698211,-0.10038410737499999,-0.022540341601982122,Morality
45,"('incompetent', 'competent')",0.0,0.0,-0.15104113772378516,-0.12017702925,-0.030864108473785165,Ability
46,"('uncompetitive', 'competitive')",0.0,0.0,-0.3298788176470588,-0.232943156375,-0.0969356612720588,Ability
47,"('stupid', 'smart')",0.0,0.0,-0.38796185537084404,-0.35192251837500005,-0.036039336995843996,Ability
48,"('unintelligent', 'intelligent')",0.0,0.0,-0.48635982097186703,-0.44936108287499993,-0.0369987380968671,Ability
49,"('unable', 'able')",0.0,0.0,0.6911104291560103,0.629241357375,0.06186907178101031,Ability
50,"('clumsy', 'skillful')",0.0,0.0,0.25854754194373397,0.294741929125,-0.03619438718126605,Ability
51,"('uneducated', 'educated')",0.0,0.0,-0.356333316112532,-0.231346668,-0.12498664811253199,Ability
52,"('irrational', 'rational')",0.0,0.00171,0.16364280281329924,0.1536979885,0.009944814313299244,Ability
53,"('uncreative', 'creative')",0.0,0.0,0.26598973388746805,0.292534755625,-0.026545021737531926,Ability
54,"('incapable', 'capable')",0.0,0.01341,-0.5530977443734016,-0.546097344125,-0.00700040024840165,Ability
55,"('incompetent', 'clever')",0.0,0.0,-0.36995920268542204,-0.318698849375,-0.05126035331042206,Ability
56,"('impractical', 'practical')",0.0,0.07896,0.15788092583120206,0.16351177975000003,-0.005630853918797973,Ability
57,"('unimaginative', 'imaginative')",0.0,0.0,-0.5147109630434783,-0.456632515625,-0.058078447418478285,Ability
58,"('undiscriminating', 'discriminating')",0.0,1e-05,-0.5361800730179028,-0.523347618375,-0.012832454642902835,Ability
59,"('foolish', 'wise')",0.0,0.0,0.23553956815856777,0.13583775750000002,0.09970181065856776,Ability
60,"('inefficient', 'efficient')",0.0,0.00639,0.05728409718670077,0.067676984,-0.010392886813299224,Ability
61,"('illogical', 'logical')",0.0,0.19202,0.3640769322250639,0.361508306875,0.002568625350063858,Ability
62,"('incompetent', 'brilliant')",0.0,0.0,-0.15041272148337595,-0.19034787812499998,0.03993515664162403,Ability
63,"('unperceptive', 'insightful')",0.0,0.0,-0.3038872135549872,-0.27578176050000003,-0.028105453054987184,Ability
64,"('shy', 'confident')",0.0,0.0,-0.4860324044757034,-0.5142266925,0.028194288024296577,Agency
65,"('insecure', 'secure')",0.0,0.0,-0.9000443331202046,-0.8281966052499999,-0.07184772787020466,Agency
66,"('inactive', 'active')",0.00195,0.0,0.020555413427109977,0.035839366,-0.01528395257289002,Agency
67,"('doubtful', 'determined')",0.0,0.0,0.11560148606138107,0.046494812,0.06910667406138107,Agency
68,"('dependent', 'independent')",0.0,0.0,0.28889599207161126,0.24963077925,0.03926521282161127,Agency
69,"('lazy', 'industrious')",0.0,0.0,0.948274143478261,0.967883071875,-0.019608928396739,Agency
70,"('lethargic', 'energetic')",0.0,0.0,-0.25171614322250635,-0.230591392625,-0.021124750597506348,Agency
71,"('diffident', 'self-confident')",0.0,0.0,0.39269174232736576,0.333795184625,0.05889655770236574,Agency
72,"('unambitious', 'ambitious')",0.0,0.0,-0.5466583883631713,-0.6017398395,0.05508145113682872,Agency
73,"('helpless', 'self-reliant')",0.0,0.0,0.02999100984654731,0.011290955875000001,0.01870005397154731,Agency
74,"('undedicated', 'dedicated')",0.0,0.0,0.841689153196931,0.7939230137500001,0.04776613944693098,Agency
75,"('meek', 'impulsive')",0.0,0.0,-0.5851821392583121,-0.523804979,-0.06137716025831208,Agency
76,"('anxious', 'daring')",0.0,0.0,-0.45022626023017903,-0.405339594875,-0.044886665355179045,Agency
77,"('unmotivated', 'motivated')",0.0,0.00463,-0.5550527640664962,-0.561382071875,0.006329307808503826,Agency
78,"('nonresilient', 'resilient')",0.0,0.0,0.5525700991048593,0.49889699412499994,0.05367310497985939,Agency
79,"('wavering', 'unwavering')",0.0,0.0,-0.07624363388746803,-0.05299824,-0.023245393887468033,Agency
80,"('dominated', 'dominating')",0.0,0.0,-0.38624415639386195,-0.31284133000000003,-0.07340282639386192,Agency
81,"('submissive', 'aggressive')",0.0,0.0,-1.8577792140664964,-1.7399286447499998,-0.11785056931649662,Agency
82,"('poor', 'rich')",0.0,0.0,-0.787720239258312,-0.598313135375,-0.18940710388331206,Status
83,"('powerless', 'powerful')",0.00036,0.0,0.02038071202046036,-0.06675679250000001,0.08713750452046037,Status
84,"('inferior', 'superior')",0.0,0.0,-0.44819081342711,-0.40936183525000003,-0.03882897817710995,Status
85,"('insignificant', 'prestigious')",0.0,0.00357,0.20980174808184138,0.22229834812500002,-0.01249660004315864,Status
86,"('uninfluential', 'influential')",0.0,0.0,-0.057013053196930945,-0.012704381874999995,-0.04430867132193095,Status
87,"('unsuccessful', 'successful')",0.0,0.0,-0.34355269514066494,-0.26321247675,-0.08034021839066496,Status
88,"('low', 'eminent')",0.0,0.0,-0.3415349898976982,-0.171518674875,-0.1700163150226982,Status
