,exxon_male,exxon_female,tuple,mobil_male,mobil_female,corp_male,corp_female,average_male,average_female,male-female
0,-1.6263841,-1.8073305,"('unsociable', 'sociable')",-1.7594303,-1.8993121,-0.41355795,-0.6341885,-1.2664575,-1.4469438,0.1804863
57,-1.5782114,-1.571992,"('unimaginative', 'imaginative')",-2.2348142,-2.2268245,-3.2553618,-3.421491,-2.356129,-2.4067691,0.0506401
30,-1.5145955,-1.6547358,"('intolerant', 'tolerant')",-1.6998014,-1.7894039,0.24057186,0.11384651,-0.991275,-1.1100977,0.1188227
63,-1.4916761,-1.4520849,"('unperceptive', 'insightful')",-1.8556609,-1.7725692,0.47864014,0.37489292,-0.9562323,-0.9499204,-0.0063119
8,-1.4570134,-1.6772536,"('unaffectionate', 'affectionate')",-2.3149743,-2.398782,0.34189835,0.038335506,-1.1433631,-1.3459001,0.202537
65,-1.3745944,-1.4058498,"('insecure', 'secure')",-1.5038025,-1.5851982,-0.13692725,-0.04389807,-1.005108,-1.0116487,0.0065407
11,-1.367625,-1.2889591,"('unhelpful', 'helpful')",-1.8587761,-1.7838794,1.6125075,1.6440475,-0.5379645,-0.4762637,-0.0617008
55,-1.3608406,-1.387028,"('incompetent', 'clever')",-2.7302442,-2.7257562,0.34190118,0.34018514,-1.2497277,-1.2575331,0.0078054
70,-1.3553585,-1.3546497,"('lethargic', 'energetic')",-1.7044657,-1.6397773,0.2812361,0.40396842,-0.926196,-0.8634862,-0.0627098
14,-1.343544,-1.3814371,"('antisocial', 'social')",-1.4182191,-1.3532017,-0.30643907,-0.28477538,-1.0227341,-1.0064713,-0.0162628
10,-1.2834935,-1.2898022,"('unsympathetic', 'sympathetic')",-2.5486608,-2.5307808,-0.39025176,-0.54768074,-1.4074686,-1.4560879,0.0486193
45,-1.2770486,-1.3252286,"('incompetent', 'competent')",-1.7584503,-1.8095466,-0.19772686,-0.35638148,-1.0777419,-1.1637189,0.085977
43,-1.2736118,-1.1899787,"('irresponsible', 'responsible')",-2.429061,-2.3905404,-0.069301985,0.035185777,-1.2573249,-1.1817778,-0.0755471
86,-1.2338469,-1.3111746,"('uninfluential', 'influential')",-2.5270784,-2.5254428,-0.60504645,-0.7751573,-1.4553239,-1.5372583,0.0819344
73,1.1984951,1.2609136,"('helpless', 'self-reliant')",0.5242922,0.57325643,-3.2295513,-3.2284644,-0.5022546,-0.4647648,-0.0374898
60,-1.1447804,-1.0499897,"('inefficient', 'efficient')",-2.0350137,-1.904563,-0.2447999,-0.094689846,-1.1415313,-1.0164142,-0.1251171
