,sprint_male,sprint_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,2.5703714,2.2918181,"('diffident', 'self-confident')",0.6041461,0.4784458,1.5872588,1.385132,0.2021268
9,1.9893215,2.026622,"('unaffectionate', 'caring')",1.1755602,1.2163291,1.5824409,1.6214756,-0.0390347
33,1.9759221,1.852203,"('wrong', 'right')",-0.60793024,-0.5692773,0.683996,0.6414629,0.0425331
85,1.9646249,1.9934484,"('insignificant', 'prestigious')",0.33634996,0.30745584,1.1504874,1.1504521,3.53e-05
25,1.75062,1.6379168,"('egoistic', 'altruistic')",1.675963,1.8203716,1.7132915,1.7291442,-0.0158527
57,-1.7306321,-1.268986,"('unimaginative', 'imaginative')",-3.438842,-3.439165,-2.5847371,-2.3540754,-0.2306617
1,1.6139845,1.9658531,"('unfriendly', 'friendly')",1.7625098,1.8818941,1.6882472,1.9238737,-0.2356265
5,1.5127671,1.226239,"('distant', 'outgoing')",-0.44746557,-0.5465921,0.5326508,0.3398234,0.1928274
81,-1.4892776,-1.304003,"('submissive', 'aggressive')",-0.82602495,-0.87747365,-1.1576513,-1.0907383,-0.066913
26,1.4124359,1.6836603,"('hardhearted', 'benevolent')",1.5593979,1.6389606,1.4859169,1.6613104,-0.1753935
44,-1.4110463,-1.5803441,"('prejudiced', 'unprejudiced')",-1.5387838,-1.6191269,-1.474915,-1.5997355,0.1248205
76,-1.3777606,-1.3914804,"('anxious', 'daring')",-0.67105186,-0.5867868,-1.0244062,-0.9891336,-0.0352726
64,-1.3618709,-1.1642638,"('shy', 'confident')",-6.740373,-6.600888,-4.0511222,-3.8825758,-0.1685464
36,1.3082952,1.3450022,"('hostile', 'amicable')",0.05530177,0.15403603,0.6817985,0.7495191,-0.0677206
83,1.294382,1.2104752,"('powerless', 'powerful')",-0.7559942,-0.85034025,0.2691939,0.1800675,0.0891264
61,1.2936574,1.287652,"('illogical', 'logical')",0.681595,0.80355066,0.9876262,1.0456014,-0.0579752
6,1.2926207,1.1222217,"('distant', 'open')",-0.4344705,-0.46530935,0.4290751,0.3284562,0.1006189
65,-1.2022547,-1.1414502,"('insecure', 'secure')",-0.44785997,-0.29959637,-0.8250573,-0.7205232,-0.1045341
13,-1.1714687,-1.0146582,"('impolite', 'polite')",-1.0083911,-0.8763858,-1.0899299,-0.945522,-0.1444079
69,1.1669532,0.82928485,"('lazy', 'industrious')",-0.38264108,-0.42744482,0.3921561,0.20092,0.1912361
70,-1.1424271,-0.97492087,"('lethargic', 'energetic')",-0.08460527,0.011499733,-0.6135162,-0.4817106,-0.1318056
80,-1.0685171,-1.0454566,"('dominated', 'dominating')",-0.73138577,-0.8420305,-0.8999515,-0.9437436,0.0437921
39,1.0511813,1.0007539,"('exploitative', 'cooperative')",-0.19240928,-0.17480071,0.429386,0.4129766,0.0164094
10,-1.0494547,-0.5546525,"('unsympathetic', 'sympathetic')",-0.5873264,-0.4406926,-0.8183905,-0.4976726,-0.3207179
45,-1.0443512,-0.58341175,"('incompetent', 'competent')",-0.35892394,-0.28721213,-0.7016376,-0.4353119,-0.2663257
8,1.0112287,1.061375,"('unaffectionate', 'affectionate')",0.49800512,0.6044806,0.7546169,0.8329278,-0.0783109
2,0.997886,0.9017184,"('unlikable', 'likable')",0.65952075,0.6773817,0.8287034,0.7895501,0.0391533
75,-0.98502445,-0.981929,"('meek', 'impulsive')",-0.61763746,-0.7467483,-0.8013309,-0.8643386,0.0630077
50,-0.9423338,-1.003805,"('clumsy', 'skillful')",0.24620587,0.25688514,-0.348064,-0.3734599,0.0253959
0,-0.90832126,-0.6377833,"('unsociable', 'sociable')",-0.24376288,-0.10150218,-0.5760421,-0.3696427,-0.2063994
31,0.894245,1.0575997,"('evil', 'good')",-0.6283759,-0.53537583,0.1329346,0.2611119,-0.1281773
17,-0.87695915,-0.74400216,"('nasty', 'nice')",-0.746442,-0.6321609,-0.8117006,-0.6880815,-0.1236191
11,-0.8355289,-0.89206266,"('unhelpful', 'helpful')",1.6896468,1.3664635,0.427059,0.2372004,0.1898586
