,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
85,-2.9866147,-3.9083402,"('insignificant', 'prestigious')",-1.898653,-2.0572321,-0.84206694,-1.1064179,-1.9091115,-2.35733,0.4482185
60,2.856752,3.777214,"('inefficient', 'efficient')",3.149673,3.3711414,0.8663972,1.0549915,2.2909408,2.7344491,-0.4435083
36,-2.7716312,-3.6721625,"('hostile', 'amicable')",-2.1977527,-2.5097084,-0.4833612,-0.9033316,-1.8175818,-2.3617342,0.5441524
35,-2.6746037,-3.6566541,"('corrupt', 'incorrupt')",-2.131333,-2.3277993,-0.99542534,-1.1472316,-1.9337873,-2.3772283,0.443441
56,2.654387,3.1367106,"('impractical', 'practical')",2.6699867,2.7561607,0.75867933,0.7968297,2.0276844,2.2299004,-0.202216
31,-2.6103303,-3.4838514,"('evil', 'good')",-1.7569872,-1.8535386,-1.7964473,-1.9345587,-2.0545883,-2.4239829,0.3693946
76,2.554262,3.1673064,"('anxious', 'daring')",1.911864,2.0482483,1.4883736,1.5664198,1.9848332,2.2606583,-0.2758251
13,2.4879606,3.0109017,"('impolite', 'polite')",2.0517635,1.9872466,0.41343373,0.42217985,1.6510526,1.806776,-0.1557234
62,2.3526814,3.084057,"('incompetent', 'brilliant')",2.2207255,2.4338837,0.41552302,0.58002716,1.6629767,2.0326559,-0.3696792
55,2.162973,3.1232429,"('incompetent', 'clever')",1.2697593,1.4287242,0.41558838,0.44795054,1.2827735,1.6666392,-0.3838657
30,2.0998013,2.4382267,"('intolerant', 'tolerant')",2.5866015,2.741384,1.2743106,1.3021113,1.9869045,2.160574,-0.1736695
7,2.0586987,2.5097923,"('insensitive', 'sensitive')",1.7966065,1.8584225,0.73205334,0.82620823,1.5291195,1.7314742,-0.2023547
81,2.0214167,2.8521216,"('submissive', 'aggressive')",1.8810068,1.986653,0.21588984,0.3800522,1.3727711,1.7396089,-0.3668378
69,-1.9732432,-2.7446032,"('lazy', 'industrious')",-0.34929374,-0.56279755,-0.81821805,-0.8253499,-1.0469183,-1.3775835,0.3306652
21,1.9642439,2.6566863,"('immoral', 'moral')",1.8795706,1.8499051,-0.087695,-0.13277683,1.2520398,1.4579382,-0.2058984
43,1.8629656,2.3432026,"('irresponsible', 'responsible')",1.7944651,1.7920097,0.7320153,0.83905333,1.4631486,1.6580885,-0.1949399
46,1.8374811,2.8314364,"('uncompetitive', 'competitive')",1.6151805,1.6918995,0.2694296,0.18780862,1.2406971,1.5703815,-0.3296844
6,-1.7703663,-2.4145784,"('distant', 'open')",-1.5267437,-1.4559283,-0.12143504,-0.23513299,-1.139515,-1.3685466,0.2290316
19,-1.7554926,-2.3798444,"('inhospitable', 'hospitable')",-1.2127047,-1.3199879,-0.4002259,-0.37992677,-1.1228077,-1.3599197,0.237112
70,1.7449868,2.2073262,"('lethargic', 'energetic')",1.9176767,1.9619138,1.2947415,1.51039,1.6524684,1.8932101,-0.2407417
79,-1.6768858,-2.2961895,"('wavering', 'unwavering')",-0.8016866,-0.96310943,0.059344247,-0.02352011,-0.8064094,-1.094273,0.2878636
11,1.6410847,2.008156,"('unhelpful', 'helpful')",2.5986474,2.7826204,2.8499978,3.0996814,2.3632431,2.6301525,-0.2669094
14,1.640647,2.2657182,"('antisocial', 'social')",2.3007338,2.1907144,-0.53406954,-0.54517746,1.1357705,1.3037516,-0.1679811
39,1.5240433,1.6491417,"('exploitative', 'cooperative')",2.3939202,2.3246515,0.5770832,0.6994989,1.4983489,1.5577641,-0.0594152
10,1.504012,2.2321067,"('unsympathetic', 'sympathetic')",1.2047553,1.3196924,0.36637634,0.5618035,1.0250479,1.3712009,-0.346153
23,1.4830623,1.7338605,"('insincere', 'sincere')",2.3473833,2.493738,5.7080536,6.1322646,3.1794996,3.4532878,-0.2737882
5,-1.4415587,-2.1697996,"('distant', 'outgoing')",-0.504856,-0.49607265,-0.5742703,-0.6986783,-0.8402283,-1.1215168,0.2812885
4,-1.4298465,-1.8426725,"('disliked', 'liked')",-0.7787486,-0.97847307,-5.969118,-6.483074,-2.7259045,-3.1014067,0.3755022
45,1.4135461,1.82852,"('incompetent', 'competent')",1.8772556,1.9434879,-0.038799297,-0.08900343,1.0840007,1.2276682,-0.1436675
25,-1.3418772,-1.4994546,"('egoistic', 'altruistic')",-0.117633395,-0.13517009,1.2505528,1.1683204,-0.0696526,-0.1554348,0.0857822
65,1.3243172,1.903158,"('insecure', 'secure')",1.2498962,1.363021,0.64215714,0.7653924,1.0721235,1.3438571,-0.2717336
52,-1.321164,-1.8834305,"('irrational', 'rational')",-0.70919704,-0.9158949,-0.79809284,-1.0927219,-0.942818,-1.2973491,0.3545311
12,1.2949122,1.4239203,"('unsupportive', 'supportive')",2.464087,2.496654,-1.1728127,-1.3003875,0.8620622,0.8733956,-0.0113334
80,1.2936777,1.9448926,"('dominated', 'dominating')",0.87944466,0.89572144,-0.62106645,-0.5595055,0.517352,0.7603695,-0.2430175
57,1.2890592,1.7576207,"('unimaginative', 'imaginative')",0.7662067,0.76329607,-1.8748149,-2.0122404,0.0601503,0.1695588,-0.1094085
16,-1.2364724,-1.3979019,"('unpopular', 'popular')",-0.30256805,-0.34525153,0.052824438,-0.06260275,-0.4954054,-0.6019187,0.1065133
75,-1.1292647,-1.4316723,"('meek', 'impulsive')",-1.0261298,-1.2585084,-0.4803811,-0.45895427,-0.8785919,-1.0497117,0.1711198
8,-1.1152477,-1.5342747,"('unaffectionate', 'affectionate')",-0.9701229,-1.0561057,-0.3451144,-0.41951698,-0.8101617,-1.0032992,0.1931375
22,1.1040506,1.4673212,"('untrustworthy', 'trustworthy')",1.221624,1.290731,-0.6501644,-0.5634029,0.5585034,0.7315497,-0.1730463
63,1.100171,1.3115723,"('unperceptive', 'insightful')",2.6193945,2.6423235,1.4653082,1.4537524,1.7282912,1.8025494,-0.0742582
24,1.085415,1.3581135,"('dishonest', 'honest')",0.67754364,0.7141651,0.7049072,0.8644387,0.822622,0.9789058,-0.1562838
50,-1.0125083,-1.0578759,"('clumsy', 'skillful')",-0.31122893,-0.33960557,0.1694094,0.118807,-0.3847759,-0.4262248,0.0414489
74,1.0072129,1.0679622,"('undedicated', 'dedicated')",0.76801527,0.79259086,0.14293833,0.079271734,0.6393888,0.6466083,-0.0072195
0,1.0026805,1.5363448,"('unsociable', 'sociable')",1.3734566,1.3870858,-0.32771355,-0.2962984,0.6828079,0.8757106,-0.1929027
48,0.9679105,1.3367795,"('unintelligent', 'intelligent')",0.4680297,0.6470491,0.52850604,0.56939757,0.6548154,0.8510753,-0.1962599
59,-0.88591367,-1.4522378,"('foolish', 'wise')",-0.220449,-0.18464498,-0.322129,-0.35557342,-0.4761639,-0.6641521,0.1879882
