,equifax_male,equifax_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.5343413,-2.5858402,"('uninfluential', 'influential')",0.04258912,-0.21102645,-1.2458761,-1.3984333,0.1525572
8,-2.2207866,-1.8414013,"('unaffectionate', 'affectionate')",0.7621778,1.1844052,-0.7293044,-0.3284981,-0.4008063
57,-2.0798452,-1.9977736,"('unimaginative', 'imaginative')",-2.2887537,-2.2866514,-2.1842995,-2.1422124,-0.0420871
1,-2.0417218,-1.8079969,"('unfriendly', 'friendly')",1.7971923,2.128882,-0.1222647,0.1604425,-0.2827072
9,-1.970794,-1.6337509,"('unaffectionate', 'caring')",1.2146622,1.4439001,-0.3780659,-0.0949254,-0.2831405
53,-1.9619658,-1.7448599,"('uncreative', 'creative')",0.7654155,0.92860085,-0.5982752,-0.4081295,-0.1901457
69,1.9409409,2.0910628,"('lazy', 'industrious')",-0.16132152,0.15636627,0.8898097,1.1237146,-0.2339049
0,-1.833408,-1.8650501,"('unsociable', 'sociable')",-0.35259852,-0.54053575,-1.0930033,-1.2027929,0.1097896
10,-1.6345739,-1.7113479,"('unsympathetic', 'sympathetic')",-0.22986802,-0.39385408,-0.932221,-1.052601,0.12038
44,1.6004003,1.6997153,"('prejudiced', 'unprejudiced')",-1.5151368,-1.2053989,0.0426317,0.2471582,-0.2045265
23,-1.4538217,-1.5847954,"('insincere', 'sincere')",5.545516,5.1772976,2.0458472,1.7962511,0.2495961
73,1.4042779,1.4509239,"('helpless', 'self-reliant')",-2.5340607,-2.5793984,-0.5648914,-0.5642372,-0.0006542
19,-1.2312545,-1.1942524,"('inhospitable', 'hospitable')",-0.056075573,0.04027988,-0.643665,-0.5769863,-0.0666787
43,-1.2243203,-1.1173307,"('irresponsible', 'responsible')",0.5644319,0.52674997,-0.3299442,-0.2952904,-0.0346538
28,-1.2240983,-1.2907304,"('disloyal', 'loyal')",0.80772483,0.62208045,-0.2081867,-0.334325,0.1261383
38,-1.1890578,-1.3195983,"('untruthful', 'truthful')",0.25470638,-0.05143402,-0.4671757,-0.6855162,0.2183405
61,-1.1574064,-1.1064903,"('illogical', 'logical')",0.046356,0.143607,-0.5555252,-0.4814416,-0.0740836
55,-1.1392639,-1.2820034,"('incompetent', 'clever')",0.24754506,-0.022843156,-0.4458594,-0.6524233,0.2065639
58,-1.1263647,-1.1428932,"('undiscriminating', 'discriminating')",0.21220227,0.09748852,-0.4570812,-0.5227023,0.0656211
48,-1.1114632,-1.3105146,"('unintelligent', 'intelligent')",0.9819211,0.88035643,-0.0647711,-0.2150791,0.150308
35,1.1072183,1.198235,"('corrupt', 'incorrupt')",-0.31493345,0.10595849,0.3961424,0.6520967,-0.2559543
11,-1.1001045,-1.2531966,"('unhelpful', 'helpful')",1.739444,1.5290421,0.3196698,0.1379228,0.181747
