,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,male-female
44,-2.6188934,-2.2521002,"('prejudiced', 'unprejudiced')",-1.8890033,-1.7944539,-2.2539482,-2.023277,-0.2306712
60,2.45623,2.9220948,"('inefficient', 'efficient')",0.32916903,0.16190197,1.3926995,1.5419984,-0.1492989
48,2.2520392,2.1555793,"('unintelligent', 'intelligent')",1.1268315,0.9050027,1.6894354,1.5302911,0.1591443
52,-2.0196753,-2.4991586,"('irrational', 'rational')",-0.28517252,-0.5333141,-1.1524239,-1.5162363,0.3638124
31,-1.9540393,-2.6559649,"('evil', 'good')",-1.4566957,-1.4662979,-1.7053676,-2.0611315,0.3557639
16,-1.8807771,-2.168953,"('unpopular', 'popular')",0.54903644,0.53179246,-0.6658703,-0.8185803,0.15271
66,-1.77745,-2.2439966,"('inactive', 'active')",0.03889492,-0.03715554,-0.8692775,-1.1405761,0.2712986
6,-1.6982886,-2.4318688,"('distant', 'open')",-1.0764841,-1.137983,-1.3873863,-1.7849259,0.3975396
69,-1.689881,-2.4922953,"('lazy', 'industrious')",-0.9234953,-0.90314543,-1.3066881,-1.6977203,0.3910322
36,-1.6585524,-2.7668698,"('hostile', 'amicable')",-0.30791098,-0.8401176,-0.9832317,-1.8034937,0.820262
12,1.6117296,1.6755786,"('unsupportive', 'supportive')",-1.7006549,-1.5596081,-0.0444626,0.0579852,-0.1024478
23,1.6013409,1.6062192,"('insincere', 'sincere')",6.2602787,5.951105,3.9308097,3.7786622,0.1521475
81,1.5398505,1.5758023,"('submissive', 'aggressive')",-0.08065915,0.039433897,0.7295957,0.8076181,-0.0780224
75,-1.4746373,-1.7442173,"('meek', 'impulsive')",-0.6576177,-0.6891964,-1.0661275,-1.2167069,0.1505794
28,1.4609903,1.103774,"('disloyal', 'loyal')",1.4396015,1.1633469,1.4502959,1.1335604,0.3167355
79,-1.4531642,-2.2686486,"('wavering', 'unwavering')",-0.094006196,-0.26358482,-0.7735852,-1.2661167,0.4925315
9,1.4056072,0.82489085,"('unaffectionate', 'caring')",1.1338612,0.9629826,1.2697341,0.8939368,0.3757973
56,1.3735394,1.5702806,"('impractical', 'practical')",-0.3079637,-0.3572773,0.5327879,0.6065016,-0.0737137
4,-1.3460988,-1.733965,"('disliked', 'liked')",-6.6515145,-6.443016,-3.9988067,-4.0884905,0.0896838
