,varian_male,varian_female,tuple,medical_male,medical_female,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1658826,-2.4541876,"('unfriendly', 'friendly')",0.6650659,0.5641203,0.06806853,-0.043671433,2.1951106,2.155663,0.1905906,0.055481,0.1351096
86,-1.9328088,-2.031826,"('uninfluential', 'influential')",0.43319947,0.27729777,-0.37232453,-0.22126575,-0.26864657,-0.5108603,-0.535145,-0.6216636,0.0865186
63,-1.8878685,-1.7316521,"('unperceptive', 'insightful')",0.06802991,0.15346852,0.6841831,0.8317494,0.6037012,0.46858427,-0.1329886,-0.0694625,-0.0635261
53,-1.709761,-1.7045203,"('uncreative', 'creative')",-0.6076961,-0.59106517,-0.26380098,-0.3426511,0.7533309,0.7495009,-0.4569818,-0.472184,0.0152022
61,-1.4486979,-1.313975,"('illogical', 'logical')",-0.17840469,-0.11681577,0.13212949,0.13440807,0.19025898,0.19975625,-0.3261786,-0.2741566,-0.052022
69,1.3042089,1.3429857,"('lazy', 'industrious')",1.2758902,1.3235955,0.913781,0.80679476,-0.16897252,-0.20945229,0.8312269,0.8159809,0.015246
72,-1.2107186,-1.0908458,"('unambitious', 'ambitious')",-0.03164906,-0.012155637,-1.5409739,-1.4152241,-0.87341857,-0.80603564,-0.9141901,-0.8310653,-0.0831248
57,-1.181444,-1.1089112,"('unimaginative', 'imaginative')",0.09421946,0.13099115,-0.5901311,-0.43389362,-2.665403,-2.8267655,-1.0856897,-1.0596448,-0.0260449
43,-1.159386,-1.0909369,"('irresponsible', 'responsible')",0.64729375,0.7507995,-1.1636864,-0.8947958,0.019931413,0.0819899,-0.4139618,-0.2882358,-0.125726
24,-1.1395452,-1.1957452,"('dishonest', 'honest')",-0.2721292,-0.2714454,-2.1006138,-1.8534487,0.42432058,0.5052294,-0.7719918,-0.7038525,-0.0681393
58,-1.076076,-0.97117263,"('undiscriminating', 'discriminating')",-0.6558517,-0.8212131,-0.16845828,-0.32103246,-0.046302572,-0.18575318,-0.4866722,-0.5747929,0.0881207
38,-1.0346956,-0.92372215,"('untruthful', 'truthful')",0.13741875,0.15090215,-0.5413624,-0.5000327,-0.26740026,-0.22560559,-0.4265099,-0.3746146,-0.0518953
9,-1.0212126,-1.1930617,"('unaffectionate', 'caring')",1.0520604,0.9515792,-0.52793825,-0.5371231,1.4176106,1.3063235,0.23013,0.1319295,0.0982005
8,-1.0158898,-1.201391,"('unaffectionate', 'affectionate')",0.23584837,0.013805091,-1.3491274,-1.5159152,1.1650159,1.1351409,-0.2410382,-0.39209,0.1510518
25,-0.99004614,-0.84778816,"('egoistic', 'altruistic')",0.3720083,0.29832664,1.1927305,1.0382677,1.7750896,1.7801248,0.5874456,0.5672327,0.0202129
45,-0.9190691,-0.7118826,"('incompetent', 'competent')",-0.01784784,-0.043995716,-0.2679295,-0.078524806,-0.5965347,-0.6118016,-0.4503453,-0.3615512,-0.0887941
5,-0.9122858,-1.10351,"('distant', 'outgoing')",0.0050856844,0.017206592,-1.2752962,-1.1808115,0.21028207,0.27376089,-0.4930536,-0.4983386,0.005285
82,-0.8301566,-0.6354071,"('poor', 'rich')",-0.62458813,-0.48033392,-0.76735973,-0.55189556,5.928102,6.2473874,0.9264994,1.1449378,-0.2184384
84,0.8254465,0.8001899,"('inferior', 'superior')",0.81248564,0.8799851,0.15371893,0.17389695,0.90048003,0.88160414,0.6730328,0.683919,-0.0108862
79,-0.80728704,-0.92043114,"('wavering', 'unwavering')",-0.478122,-0.61827713,-1.6888689,-1.7393152,0.22951804,0.15155284,-0.68619,-0.7816176,0.0954276
6,-0.7978824,-0.9020441,"('distant', 'open')",-0.07727158,-0.07300641,-1.8435464,-1.7633097,0.766541,0.88580257,-0.4880399,-0.4631394,-0.0249005
70,-0.7972791,-0.56254166,"('lethargic', 'energetic')",-0.2858031,-0.23715062,-0.05954499,0.16465792,0.3212758,0.39249092,-0.2053379,-0.0606358,-0.1447021
22,-0.7636841,-0.4822191,"('untrustworthy', 'trustworthy')",0.05277195,0.14156397,0.5417449,0.7256459,-0.9773607,-0.87839067,-0.286632,-0.12335,-0.163282
31,-0.74631846,-0.88995856,"('evil', 'good')",-0.43843788,-0.546195,-0.8710862,-1.0497893,-0.1734416,-0.33558992,-0.557321,-0.7053832,0.1480622
10,-0.74405605,-0.76277983,"('unsympathetic', 'sympathetic')",-0.95934856,-0.8837861,-0.9065259,-0.7291109,-0.78183836,-0.76224166,-0.8479422,-0.7844796,-0.0634626
36,-0.74011505,-0.9006132,"('hostile', 'amicable')",-0.8453084,-0.9269395,-1.8360593,-1.9279687,0.98053694,0.750884,-0.6102365,-0.7511593,0.1409228
73,0.72808367,0.87034863,"('helpless', 'self-reliant')",0.45431033,0.31613094,-0.5679102,-0.54347324,-3.05957,-3.0806599,-0.6112716,-0.6094134,-0.0018582
54,-0.721768,-0.76186997,"('incapable', 'capable')",-0.05088087,-0.14881086,-0.3390065,-0.38923833,1.4144026,1.550125,0.0756868,0.0625515,0.0131353
47,-0.7180309,-0.4232339,"('stupid', 'smart')",0.43563843,0.61072403,0.5734781,0.715279,5.330387,5.637177,1.4053682,1.6349865,-0.2296183
67,0.69871897,0.50681937,"('doubtful', 'determined')",-0.0856634,-0.06816309,-0.019748896,-0.05368808,-0.9001845,-0.9058338,-0.0767195,-0.1302164,0.0534969
37,0.6984309,0.6933329,"('fake', 'genuine')",-0.105791435,-0.27600226,-0.40222824,-0.35816377,0.34983176,0.47452086,0.1350607,0.1334219,0.0016388
80,0.67873716,0.5698311,"('dominated', 'dominating')",-0.15225402,-0.11836148,1.1827054,1.2422788,-1.4342813,-1.5006372,0.0687268,0.0482778,0.020449
3,-0.66447157,-0.46140715,"('repellent', 'pleasant')",-1.4604473,-1.2433374,0.4383442,0.44649908,0.12594515,0.074870795,-0.3901574,-0.2958437,-0.0943137
56,-0.6625876,-0.54909647,"('impractical', 'practical')",0.5910313,0.6804277,-0.44671905,-0.12784061,-1.2858301,-1.1112387,-0.4510264,-0.276937,-0.1740894
16,-0.6565051,-0.45463142,"('unpopular', 'popular')",-0.3427298,-0.35360166,-0.03501503,-0.18254709,0.5669851,0.49296802,-0.1168162,-0.124453,0.0076368
23,-0.64445215,-0.8811094,"('insincere', 'sincere')",-0.06625968,0.004604012,0.7397373,0.81153685,5.4900703,5.582129,1.379774,1.3792901,0.0004839
34,-0.6127792,-0.53429025,"('mean', 'honorable')",-0.355601,-0.23251447,0.27179328,0.33330196,5.8905444,6.1126394,1.2984893,1.4197842,-0.1212949
44,0.6115086,0.9075928,"('prejudiced', 'unprejudiced')",-0.76469,-0.62433666,-0.59941024,-0.5301183,-1.4958481,-1.1705832,-0.5621099,-0.3543614,-0.2077485
65,-0.5523292,-0.5159404,"('insecure', 'secure')",-0.87036055,-0.756909,0.47334743,0.56847245,-0.7816737,-0.575084,-0.432754,-0.3198652,-0.1128888
68,-0.5503511,-0.5794971,"('dependent', 'independent')",-0.8660635,-0.86743253,0.1405337,0.09239386,-0.41969168,-0.5778445,-0.4238931,-0.4830951,0.059202
39,0.5467808,0.49910143,"('exploitative', 'cooperative')",0.22562432,0.28602755,1.2621565,1.3102934,0.40491197,0.43695784,0.6098684,0.633095,-0.0232266
74,-0.53795016,-0.30858722,"('undedicated', 'dedicated')",0.38350087,0.42900822,0.39147657,0.5933375,-0.12392863,-0.14104283,0.0282747,0.1431789,-0.1149042
4,-0.5325155,-0.6249444,"('disliked', 'liked')",0.35649022,0.31079906,-0.6716932,-0.6225854,-6.648004,-6.8290324,-1.8739307,-1.9414408,0.0675101
32,-0.5144045,-0.597196,"('unkind', 'kind')",1.3550216,1.4085225,0.41046095,0.4988042,0.6158576,0.7889605,0.4667339,0.5247728,-0.0580389
27,-0.499343,-0.86562896,"('hardhearted', 'softhearted')",0.17922945,0.18189535,0.399299,0.22932456,1.9956484,1.8584594,0.5187085,0.3510126,0.1676959
20,0.47290528,0.4013505,"('rough', 'thoughtful')",-0.16279204,-0.30360156,0.69677335,0.54237443,1.0400919,0.82090354,0.5117446,0.3652567,0.1464879
60,-0.43082386,-0.4405474,"('inefficient', 'efficient')",-0.16218624,-0.042644925,1.0948288,1.2929327,-0.7372144,-0.55736715,-0.0588489,0.0630933,-0.1219422
11,-0.4007464,-0.26368552,"('unhelpful', 'helpful')",0.16296336,0.2781566,0.86202884,0.9574162,1.2631476,1.2805673,0.4718483,0.5631136,-0.0912653
33,0.38032642,0.19718209,"('wrong', 'right')",1.035378,0.90899557,0.18611182,0.037672587,0.10814959,-0.042070065,0.4274914,0.2754451,0.1520463
0,-0.36913455,-0.5381194,"('unsociable', 'sociable')",0.4218925,0.37747627,-0.022481482,0.26317036,-0.7598073,-0.8587416,-0.1823827,-0.1890536,0.0066709
85,-0.36610788,-0.31626713,"('insignificant', 'prestigious')",1.1018854,0.8020923,0.6417878,0.22406106,1.1129556,1.0464969,0.6226302,0.4390958,0.1835344
64,-0.36198515,-0.2646163,"('shy', 'confident')",0.025621127,0.048996292,0.11780763,0.23996961,-6.8957667,-6.979343,-1.7785808,-1.7387483,-0.0398325
46,-0.35348886,-0.1810943,"('uncompetitive', 'competitive')",-0.3007069,-0.13640559,1.1346607,1.4071343,-1.1765075,-1.2478479,-0.1740106,-0.0395534,-0.1344572
83,-0.33330575,-0.578151,"('powerless', 'powerful')",0.2255232,0.051536106,-0.5857095,-0.64770687,-1.273848,-1.4953024,-0.491835,-0.6674061,0.1755711
28,-0.32956392,-0.44863608,"('disloyal', 'loyal')",-0.20766988,-0.31188905,-0.15774009,-0.09045478,0.7521894,0.69953644,0.0143039,-0.0378609,0.0521648
77,-0.309801,-0.4712828,"('unmotivated', 'motivated')",0.23264699,0.15422067,0.5627394,0.5876788,-1.2710966,-1.4951676,-0.1963778,-0.3061377,0.1097599
51,-0.30359972,-0.67793953,"('uneducated', 'educated')",0.29869905,0.121417224,0.27814677,0.19979134,0.20607701,-0.12618181,0.1198308,-0.1207282,0.240559
18,-0.2829448,-0.252073,"('disagreeable', 'welcoming')",0.5541936,0.57907236,0.16286017,0.22485322,-0.1867154,-0.15649319,0.0618484,0.0988398,-0.0369914
41,-0.27649808,-0.3102791,"('unforgiving', 'forgiving')",0.9566183,0.8852104,-0.31165358,-0.2023192,0.34014028,-0.012735566,0.1771517,0.0899691,0.0871826
42,-0.25577256,-0.009959953,"('unreliable', 'reliable')",0.6545218,0.6230561,-1.0071068,-0.6883473,-3.4277492,-3.2631617,-1.0090266,-0.8346032,-0.1744234
7,-0.25498626,-0.4506038,"('insensitive', 'sensitive')",-0.6755108,-0.5354169,-0.006279573,-0.015874736,0.6256701,0.56259173,-0.0777766,-0.1098259,0.0320493
35,0.24466804,0.13464637,"('corrupt', 'incorrupt')",-0.5509113,-0.5921197,-0.62244004,-0.7696751,0.42469937,0.3497201,-0.125996,-0.2193571,0.0933611
87,0.2356655,0.096048295,"('unsuccessful', 'successful')",0.17701018,0.08732586,1.3953472,1.2981625,0.83688235,0.7463401,0.6612263,0.5569692,0.1042571
81,-0.22773585,0.09580657,"('submissive', 'aggressive')",0.30301404,0.42372173,-0.06310898,0.32281238,-1.2490224,-1.165704,-0.3092133,-0.0808408,-0.2283725
78,-0.21476005,-0.25443867,"('nonresilient', 'resilient')",1.5570754,1.4091842,2.611011,2.4813476,0.38404092,0.12655649,1.0843418,0.9406624,0.1436794
19,-0.20872304,-0.6485465,"('inhospitable', 'hospitable')",0.049030107,-0.1982332,-0.8147578,-1.0181174,0.5460417,0.34469306,-0.1071023,-0.380051,0.2729487
88,-0.17804562,-0.49566534,"('low', 'eminent')",-0.4337178,-0.48530182,0.1309899,0.06985695,0.119698316,0.03592165,-0.0902688,-0.2187971,0.1285283
50,-0.17144726,-0.11410707,"('clumsy', 'skillful')",0.51058733,0.32342613,0.639093,0.47866896,0.34900796,0.21564072,0.3318102,0.2259072,0.105903
17,0.16845874,0.06354202,"('nasty', 'nice')",-0.87692714,-0.9167455,-0.36536998,-0.4370096,-0.51249534,-0.47849596,-0.3965834,-0.4421773,0.0455939
26,0.16021673,-0.24423549,"('hardhearted', 'benevolent')",1.2355685,1.0296824,0.4112937,0.25086063,1.6872593,1.6487384,0.8735845,0.6712615,0.202323
62,-0.15234633,0.11978758,"('incompetent', 'brilliant')",0.18818168,0.37931803,0.8865285,1.2327989,-0.57457197,-0.40768734,0.086948,0.3310543,-0.2441063
13,0.13990077,0.028287217,"('impolite', 'polite')",0.048199415,0.07733522,0.23932427,0.40298232,-0.26296902,-0.23612054,0.0411139,0.0681211,-0.0270072
30,0.13573962,-0.16061586,"('intolerant', 'tolerant')",-0.08693532,-0.13388,0.6608508,0.8192163,0.58631635,0.5411546,0.3239928,0.2664688,0.057524
21,-0.11723078,0.09420946,"('immoral', 'moral')",0.51808876,0.5951188,0.79633886,0.972158,-1.0509436,-1.033617,0.0365633,0.1569673,-0.120404
71,-0.109674856,-0.45959634,"('diffident', 'self-confident')",1.8192214,1.7786541,0.87783897,0.8906864,0.7085084,0.6183083,0.8239735,0.7070131,0.1169604
