,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.0270648,-1.7162648,"('uninfluential', 'influential')",-0.48990998,-0.73068005,-1.2584873,-1.2234725,-0.0350148
1,-1.7948973,-1.739111,"('unfriendly', 'friendly')",0.5990574,0.56468093,-0.5979199,-0.587215,-0.0107049
57,-1.6727189,-1.5630313,"('unimaginative', 'imaginative')",-2.9060273,-2.8171272,-2.2893732,-2.1900792,-0.099294
53,-1.6338441,-1.4816365,"('uncreative', 'creative')",0.1931539,0.12817958,-0.7203451,-0.6767285,-0.0436166
10,-1.4135721,-1.5080804,"('unsympathetic', 'sympathetic')",0.012045056,-0.16864611,-0.7007635,-0.8383632,0.1375997
19,-1.3386014,-1.0759289,"('inhospitable', 'hospitable')",-0.95875686,-0.77003586,-1.1486791,-0.9229824,-0.2256967
28,-1.2325014,-1.2241759,"('disloyal', 'loyal')",0.6261252,0.2967642,-0.3031881,-0.4637059,0.1605178
31,-1.1470636,-0.9442365,"('evil', 'good')",-1.5888127,-1.2810476,-1.3679382,-1.112642,-0.2552962
23,-1.1261113,-1.2302101,"('insincere', 'sincere')",5.499321,5.0948744,2.186605,1.9323322,0.2542728
6,-1.0961139,-0.914036,"('distant', 'open')",-1.1270611,-1.0387355,-1.1115875,-0.9763857,-0.1352018
5,-1.093449,-0.9283638,"('distant', 'outgoing')",-1.110896,-0.896192,-1.1021725,-0.9122779,-0.1898946
9,-1.078218,-0.93820894,"('unaffectionate', 'caring')",0.6044719,0.5559451,-0.236873,-0.1911319,-0.0457411
2,1.0405215,1.4269178,"('unlikable', 'likable')",0.5947949,0.8396003,0.8176582,1.1332591,-0.3156009
42,1.0377378,0.8364898,"('unreliable', 'reliable')",-2.4064212,-2.583105,-0.6843417,-0.8733076,0.1889659
36,-1.0292583,-0.9056373,"('hostile', 'amicable')",-1.1293411,-0.9738122,-1.0792997,-0.9397248,-0.1395749
0,-1.0198162,-0.76415133,"('unsociable', 'sociable')",-0.056706376,-0.012665715,-0.5382613,-0.3884085,-0.1498528
76,0.9837689,0.8892517,"('anxious', 'daring')",0.37431088,0.15400156,0.6790399,0.5216267,0.1574132
38,-0.98018414,-0.86540586,"('untruthful', 'truthful')",-0.27600804,-0.17464001,-0.6280961,-0.5200229,-0.1080732
79,-0.91716015,-0.998379,"('wavering', 'unwavering')",-0.96460855,-0.9459792,-0.9408844,-0.9721791,0.0312947
45,-0.9070037,-0.86604786,"('incompetent', 'competent')",0.28093168,0.1663554,-0.313036,-0.3498462,0.0368102
8,-0.865757,-0.9805949,"('unaffectionate', 'affectionate')",-0.01805894,-0.01132431,-0.441908,-0.4959596,0.0540516
69,0.79063296,0.7665957,"('lazy', 'industrious')",-0.8551957,-0.43392527,-0.0322814,0.1663352,-0.1986166
46,-0.78761816,-1.0553701,"('uncompetitive', 'competitive')",-0.36855906,-0.60293555,-0.5780886,-0.8291528,0.2510642
62,0.77970713,1.035249,"('incompetent', 'brilliant')",1.1354584,1.1486462,0.9575827,1.0919476,-0.1343649
13,-0.7671536,-0.45941386,"('impolite', 'polite')",-0.3239719,-0.32179648,-0.5455627,-0.3906052,-0.1549575
78,-0.75663877,-1.1067516,"('nonresilient', 'resilient')",0.0006111637,-0.12201066,-0.3780138,-0.6143811,0.2363673
24,-0.7422658,-0.5312481,"('dishonest', 'honest')",0.6514504,0.4767121,-0.0454077,-0.027268,-0.0181397
73,0.7336892,0.69529456,"('helpless', 'self-reliant')",-3.1935368,-3.126761,-1.2299237,-1.2157332,-0.0141905
41,-0.7035736,-0.38003486,"('unforgiving', 'forgiving')",-0.25684825,-0.2168867,-0.4802109,-0.2984608,-0.1817501
39,0.66198736,1.0468396,"('exploitative', 'cooperative')",0.21456835,0.2277654,0.4382778,0.6373025,-0.1990247
82,-0.6577404,-0.8157238,"('poor', 'rich')",5.961469,5.6165795,2.6518643,2.4004278,0.2514365
21,-0.64137113,-0.37256837,"('immoral', 'moral')",0.12650838,-0.06105877,-0.2574314,-0.2168136,-0.0406178
84,0.6413324,0.55088264,"('inferior', 'superior')",0.7989094,0.87593436,0.7201209,0.7134085,0.0067124
12,-0.63921446,-0.5490457,"('unsupportive', 'supportive')",-1.8143271,-1.7755979,-1.2267708,-1.1623218,-0.064449
51,-0.6144502,-0.53844535,"('uneducated', 'educated')",0.18019497,0.15338905,-0.2171276,-0.1925282,-0.0245994
77,-0.614162,-0.3432495,"('unmotivated', 'motivated')",-0.70505077,-0.6090136,-0.6596064,-0.4761316,-0.1834748
11,-0.6049105,-0.68225324,"('unhelpful', 'helpful')",1.9511234,1.6678255,0.6731064,0.4927861,0.1803203
25,-0.604102,-0.39045548,"('egoistic', 'altruistic')",0.8331276,0.8972056,0.1145128,0.2533751,-0.1388623
44,0.59176373,0.49587482,"('prejudiced', 'unprejudiced')",-1.3147898,-1.1481261,-0.361513,-0.3261257,-0.0353873
7,-0.5866611,-0.57372326,"('insensitive', 'sensitive')",0.5936284,0.31482095,0.0034837,-0.1294512,0.1329349
35,-0.5567896,-0.57219243,"('corrupt', 'incorrupt')",-1.0275013,-0.79343915,-0.7921455,-0.6828158,-0.1093297
54,-0.5455748,-0.5423787,"('incapable', 'capable')",0.39494288,0.556566,-0.075316,0.0070936,-0.0824096
43,-0.53254914,-0.42885426,"('irresponsible', 'responsible')",0.6339408,0.5896173,0.0506958,0.0803815,-0.0296857
75,0.52588737,0.6111303,"('meek', 'impulsive')",-0.9129894,-0.75490177,-0.193551,-0.0718857,-0.1216653
50,0.52391523,0.0010688864,"('clumsy', 'skillful')",-0.16986082,-0.3599276,0.1770272,-0.1794294,0.3564566
