,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
26,2.2205408,2.1220157,"('hardhearted', 'benevolent')",2.177784,2.128407,1.4715251,1.258013,1.1844162,1.1289138,1.8498014,1.7122161,1.7808136,1.6699131,0.1109005
77,-1.6735514,-1.6691548,"('unmotivated', 'motivated')",-1.3169743,-1.3543031,-0.68440956,-0.6346904,-0.42747346,-0.3531493,-1.179396,-1.1960793,-1.056361,-1.0414754,-0.0148856
3,-1.6510223,-1.6378078,"('repellent', 'pleasant')",-0.74752206,-0.61258364,0.05925247,0.15533486,0.215084,0.25274667,0.50015295,0.6116983,-0.324811,-0.2461223,-0.0786887
73,1.4426146,1.4927188,"('helpless', 'self-reliant')",0.897647,1.00592,1.8031516,1.7980212,0.17513172,0.12493389,-3.1285572,-3.1135585,0.2379975,0.261607,-0.0236095
71,1.3163211,1.3657899,"('diffident', 'self-confident')",0.06763953,0.064340845,1.7616633,1.7577707,-0.30277818,-0.29726848,0.07154535,0.018808164,0.5828783,0.5818882,0.0009901
20,-1.2788281,-1.3614718,"('rough', 'thoughtful')",-0.54227775,-0.48338923,-0.19560176,-0.14499523,-0.44402915,-0.33137828,0.7607459,0.81803834,-0.3399982,-0.3006392,-0.039359
74,1.2558053,1.103497,"('undedicated', 'dedicated')",1.0952653,0.99870956,0.88097477,0.8013204,1.0335819,0.94431514,0.3182744,0.2653534,0.9167803,0.8226391,0.0941412
6,1.1543,1.1319404,"('distant', 'open')",0.4398815,0.3915286,0.68835056,0.6393375,-1.2207423,-1.3130156,0.36721414,0.30502748,0.2858008,0.2309637,0.0548371
15,1.1486684,1.1524653,"('boring', 'funny')",0.7309861,0.6313822,1.114573,1.0623369,-0.32137445,-0.34530333,0.78713953,0.6827772,0.6919985,0.6367317,0.0552668
68,-1.1296414,-1.1825559,"('dependent', 'independent')",-0.50470126,-0.4759944,-1.105427,-1.0538583,-1.2535052,-1.2076653,-0.5002859,-0.56970316,-0.8987122,-0.8979554,-0.0007568
10,-1.1182679,-1.0586407,"('unsympathetic', 'sympathetic')",-0.6219623,-0.7995109,-0.86211944,-0.9858846,-0.054796465,-0.04998274,-0.06665782,-0.02716986,-0.5447608,-0.5842378,0.039477
14,1.0967308,1.1149571,"('antisocial', 'social')",0.75975937,0.809846,0.017052274,0.060945533,0.7791411,0.82804656,-0.33772454,-0.35686764,0.4629918,0.4913855,-0.0283937
42,1.0674201,0.9343527,"('unreliable', 'reliable')",0.83931756,0.79425,0.11256155,-0.10357605,-0.6706905,-0.8277183,-2.8603194,-2.7961514,-0.3023421,-0.3997686,0.0974265
84,1.0481387,0.9864175,"('inferior', 'superior')",0.2761873,0.29656222,0.88126135,0.9656618,-0.27792275,-0.14741123,0.6725373,0.6541437,0.5200404,0.5510748,-0.0310344
1,0.9979783,1.0673726,"('unfriendly', 'friendly')",0.041856956,0.061791,1.4606689,1.4651787,0.40995106,0.44125807,1.8032969,1.8388742,0.9427505,0.9748949,-0.0321444
45,0.9797005,0.7654906,"('incompetent', 'competent')",1.5510521,1.2786609,0.526858,0.39953142,1.1844147,1.1538097,0.10918783,0.12747353,0.8702426,0.7449933,0.1252493
44,-0.94138473,-0.8908921,"('prejudiced', 'unprejudiced')",-0.56075084,-0.51206917,-0.10246754,-0.12369769,-0.9208307,-0.88646865,-1.7008083,-1.6604481,-0.8452484,-0.8147151,-0.0305333
34,-0.89335155,-0.8916914,"('mean', 'honorable')",-0.64876187,-0.58257884,0.38939255,0.36592227,0.30494452,0.39843428,5.4805684,5.6337714,0.9265584,0.9847715,-0.0582131
29,0.8760787,0.7772173,"('unfair', 'fair')",0.22119159,0.24530075,0.21259438,0.20254245,-1.0410805,-1.091353,-0.28145176,-0.25429785,-0.0025335,-0.0241181,0.0215846
57,0.86951286,0.6792436,"('unimaginative', 'imaginative')",-0.36243626,-0.6226726,-0.4232875,-0.62409073,0.88502467,0.77994025,-1.9324815,-2.0115323,-0.1927336,-0.3598224,0.1670888
85,0.8684775,0.9113574,"('insignificant', 'prestigious')",0.5080105,0.5266557,1.3685719,1.350965,-0.084355436,-0.27714124,0.11286798,0.053145558,0.5547145,0.5129965,0.041718
88,-0.86556727,-0.9283694,"('low', 'eminent')",0.48117495,0.37257275,0.21297589,0.08858534,0.2166014,0.11041825,0.26215386,0.2126345,0.0614678,-0.0288317,0.0902995
11,-0.8645529,-0.78714025,"('unhelpful', 'helpful')",-0.552927,-0.63337827,0.34436792,0.30255854,0.09794121,0.19410968,1.7314084,1.8524084,0.1512475,0.1857116,-0.0344641
12,0.8409446,0.8858894,"('unsupportive', 'supportive')",0.52891684,0.47275662,1.2028375,1.2007939,0.36964762,0.3726125,-1.6605273,-1.6418443,0.2563638,0.2580416,-0.0016778
63,-0.83445996,-0.9050484,"('unperceptive', 'insightful')",0.704987,0.57622814,-0.08052646,-0.046448737,0.25908676,0.29710048,0.83831,0.8622589,0.1774795,0.1568181,0.0206614
37,0.8259556,0.89504266,"('fake', 'genuine')",-0.069119886,0.07509661,0.3309247,0.3505475,-0.08115756,-0.003153339,0.5184369,0.63498086,0.305008,0.3905029,-0.0854949
5,0.78873706,0.77236027,"('distant', 'outgoing')",0.25520897,0.24601968,1.0826225,1.0559986,-0.90609556,-0.9765003,-0.12926248,-0.22826536,0.2182421,0.1739226,0.0443195
