,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
66,1.4604859,1.3749642,"('inactive', 'active')",-0.4825136,-0.42866585,0.51789963,0.2997969,0.498624,0.4153651,0.0832589
74,1.4279159,1.2140296,"('undedicated', 'dedicated')",0.25870672,0.20260109,-0.1634979,-0.19786964,0.5077082,0.4062537,0.1014545
69,1.4174309,1.633655,"('lazy', 'industrious')",0.7152711,0.94245034,-0.64947057,-0.81302273,0.4944104,0.5876942,-0.0932838
82,-1.4024422,-1.1312017,"('poor', 'rich')",-0.22748588,-0.11616799,5.9161563,6.866056,1.4287427,1.8728954,-0.4441527
13,1.2957933,0.9807633,"('impolite', 'polite')",0.1354428,0.08014593,0.10935685,0.3084159,0.513531,0.4564417,0.0570893
51,1.2319971,1.2447295,"('uneducated', 'educated')",-0.5254361,-0.51855826,0.5214883,0.7287953,0.4093498,0.4849888,-0.075639
87,1.2200503,1.0661308,"('unsuccessful', 'successful')",0.7335342,0.72177273,0.65237534,0.56025213,0.8686533,0.7827186,0.0859347
56,1.1434282,0.88763607,"('impractical', 'practical')",1.2128619,1.2942201,-0.09998169,0.19993919,0.7521028,0.7939318,-0.041829
12,1.099509,0.8598003,"('unsupportive', 'supportive')",0.5687545,0.47104836,-1.6688654,-1.6168839,-0.0002007,-0.0953451,0.0951444
33,1.0411601,1.1844708,"('wrong', 'right')",0.8453756,0.7149239,-0.43990234,-0.47696948,0.4822111,0.4741418,0.0080693
39,1.0335125,0.65304774,"('exploitative', 'cooperative')",0.0011117291,-0.12880823,0.048500642,0.0102109,0.3610416,0.1781501,0.1828915
80,0.9852545,0.85516167,"('dominated', 'dominating')",0.13777176,0.18721522,0.104356155,-0.1422182,0.4091275,0.3000529,0.1090746
26,0.8883665,0.82012266,"('hardhearted', 'benevolent')",1.8924558,1.397985,1.5378667,1.0423772,1.439563,1.0868283,0.3527347
49,-0.8492354,-0.8139046,"('unable', 'able')",-1.1509036,-0.88782454,-0.5149837,-0.10589929,-0.8383742,-0.6025428,-0.2358314
