,xcel_male,xcel_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.9609557,-2.1903915,"('unfriendly', 'friendly')",-0.21071245,-0.22540724,1.6504774,1.3288624,-0.1737303,-0.3623121,0.1885818
86,-1.8796439,-2.0966952,"('uninfluential', 'influential')",0.44714534,0.41266772,-0.4775862,-0.49559116,-0.6366949,-0.7265395,0.0898446
0,-1.7209146,-1.8846338,"('unsociable', 'sociable')",0.38340393,0.22701412,-0.7758885,-0.7048359,-0.7044664,-0.7874852,0.0830188
63,-1.6593033,-1.7297362,"('unperceptive', 'insightful')",1.0816468,1.0472131,0.5626582,0.840029,-0.0049994,0.052502,-0.0575014
53,-1.49127,-1.6709371,"('uncreative', 'creative')",0.22944027,0.17342317,0.84750897,0.67266107,-0.1381069,-0.2749509,0.136844
19,-1.4865316,-1.3848921,"('inhospitable', 'hospitable')",-1.5185384,-1.4097224,-0.2527525,-0.28731263,-1.0859408,-1.0273091,-0.0586317
38,-1.460236,-1.3753772,"('untruthful', 'truthful')",-0.047127508,0.04450348,-0.38943464,-0.2582207,-0.632266,-0.5296981,-0.1025679
51,-1.3673348,-1.4086108,"('uneducated', 'educated')",-0.106213376,-0.2097337,0.36475807,0.40905452,-0.3695967,-0.4030967,0.0335
10,-1.3208567,-1.3452487,"('unsympathetic', 'sympathetic')",0.012096703,-0.00044494122,-0.68294346,-0.33044767,-0.6639011,-0.5587138,-0.1051873
45,-1.3080131,-1.2967452,"('incompetent', 'competent')",0.13817993,0.12281651,-0.7106838,-0.34800965,-0.626839,-0.5073128,-0.1195262
41,-1.2931236,-1.444496,"('unforgiving', 'forgiving')",-0.2214586,-0.2594916,-0.35675693,-0.2522554,-0.6237797,-0.652081,0.0283013
8,-1.2597237,-1.4000418,"('unaffectionate', 'affectionate')",-1.3142983,-1.2196441,0.7410218,0.6148777,-0.611,-0.6682694,0.0572694
9,-1.2407259,-1.4250817,"('unaffectionate', 'caring')",-0.09773123,-0.059318367,1.0473685,0.91892505,-0.0970295,-0.1884917,0.0914622
23,-1.0866866,-1.182903,"('insincere', 'sincere')",0.58227664,0.5632717,5.469215,5.515342,1.654935,1.6319036,0.0230314
57,-1.0141315,-1.1681561,"('unimaginative', 'imaginative')",0.5420298,0.49190694,-2.6084988,-2.5990357,-1.0268668,-1.0917617,0.0648949
