,supervalu_male,supervalu_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.437338,-2.2543771,"('uninfluential', 'influential')",-0.5826782,-0.3825099,-1.5100081,-1.3184435,-0.1915646
10,-1.816095,-1.7995163,"('unsympathetic', 'sympathetic')",-0.6119317,-0.44180512,-1.2140133,-1.1206608,-0.0933525
58,-1.7988529,-1.8254052,"('undiscriminating', 'discriminating')",-0.3346193,-0.18846996,-1.0667361,-1.0069376,-0.0597985
19,-1.6172237,-1.1922941,"('inhospitable', 'hospitable')",-0.64158165,-0.21818137,-1.1294026,-0.7052377,-0.4241649
44,1.5341108,1.3177314,"('prejudiced', 'unprejudiced')",-0.74955505,-0.8345609,0.3922779,0.2415853,0.1506926
53,-1.4528835,-1.4982512,"('uncreative', 'creative')",0.73423684,0.6975196,-0.3593233,-0.4003658,0.0410425
63,-1.4445795,-1.1662626,"('unperceptive', 'insightful')",0.32659918,0.64805233,-0.5589901,-0.2591051,-0.299885
57,-1.3257147,-1.5555816,"('unimaginative', 'imaginative')",-2.5891936,-2.6013534,-1.9574542,-2.0784674,0.1210132
45,-1.3117403,-1.1807067,"('incompetent', 'competent')",-0.28062642,-0.2232547,-0.7961833,-0.7019807,-0.0942026
24,-1.2829858,-0.98736167,"('dishonest', 'honest')",0.359196,0.65799516,-0.4618949,-0.1646833,-0.2972116
11,-1.2310958,-1.2601851,"('unhelpful', 'helpful')",1.4225321,1.8402958,0.0957181,0.2900553,-0.1943372
8,-1.2287626,-0.95790434,"('unaffectionate', 'affectionate')",0.409594,0.78161305,-0.4095843,-0.0881456,-0.3214387
61,-1.1913983,-0.9305976,"('illogical', 'logical')",0.11357969,0.2252882,-0.5389093,-0.3526547,-0.1862546
23,-1.1752561,-1.0548637,"('insincere', 'sincere')",5.4654937,5.6745896,2.1451187,2.3098631,-0.1647444
66,-1.1666884,-1.1285758,"('inactive', 'active')",0.044448584,0.09028614,-0.5611199,-0.5191448,-0.0419751
0,-1.1396466,-1.1049974,"('unsociable', 'sociable')",-0.30130652,-0.18054926,-0.7204766,-0.6427733,-0.0777033
43,-1.1124542,-0.9477569,"('irresponsible', 'responsible')",0.65805155,0.8320888,-0.2272013,-0.057834,-0.1693673
68,-1.1016871,-0.9147006,"('dependent', 'independent')",-0.75733274,-0.6119748,-0.9295099,-0.7633377,-0.1661722
28,-1.100916,-1.0137056,"('disloyal', 'loyal')",0.7403658,0.95390487,-0.1802751,-0.0299004,-0.1503747
1,-1.1003661,-0.8682635,"('unfriendly', 'friendly')",1.4038503,1.7478437,0.1517421,0.4397901,-0.288048
46,-1.0719763,-1.0457726,"('uncompetitive', 'competitive')",-0.57723004,-0.42791572,-0.8246032,-0.7368441,-0.0877591
12,-1.0641822,-1.0403101,"('unsupportive', 'supportive')",-1.9633143,-1.818346,-1.5137482,-1.4293281,-0.0844201
9,-1.0414268,-0.86644804,"('unaffectionate', 'caring')",0.78408504,1.1596063,-0.1286709,0.1465791,-0.27525
84,1.02605,1.0147564,"('inferior', 'superior')",0.8450061,0.851421,0.935528,0.9330887,0.0024393
76,0.9555416,0.6389602,"('anxious', 'daring')",0.7063134,0.5462006,0.8309275,0.5925804,0.2383471
75,0.92067516,0.91523194,"('meek', 'impulsive')",-0.43183163,-0.55878633,0.2444218,0.1782228,0.066199
34,-0.81220335,-0.7068458,"('mean', 'honorable')",5.661555,5.8244157,2.4246757,2.558785,-0.1341093
7,-0.7982099,-0.64221734,"('insensitive', 'sensitive')",0.39339063,0.73095423,-0.2024096,0.0443684,-0.246778
13,-0.7926163,-0.52723724,"('impolite', 'polite')",-0.596274,-0.4620595,-0.6944451,-0.4946484,-0.1997967
36,-0.7879285,-0.6461666,"('hostile', 'amicable')",-0.21138963,-0.048395086,-0.4996591,-0.3472809,-0.1523782
35,0.7747528,0.88722336,"('corrupt', 'incorrupt')",-0.30680105,-0.22189456,0.2339759,0.3326644,-0.0986885
37,-0.7600214,-0.53575623,"('fake', 'genuine')",-0.17079836,0.24354547,-0.4654099,-0.1461054,-0.3193045
50,0.7364052,1.0473907,"('clumsy', 'skillful')",-0.0045788884,0.30388957,0.3659132,0.6756401,-0.3097269
73,0.705482,0.76369864,"('helpless', 'self-reliant')",-3.0144,-2.840523,-1.154459,-1.0384122,-0.1160468
31,-0.65654933,-0.531555,"('evil', 'good')",-1.2526579,-1.2335801,-0.9546036,-0.8825675,-0.0720361
79,-0.64246655,-0.23586449,"('wavering', 'unwavering')",-0.4523627,-0.3512223,-0.5474146,-0.2935434,-0.2538712
39,0.62784326,0.6856639,"('exploitative', 'cooperative')",0.22519179,0.41816032,0.4265175,0.5519121,-0.1253946
69,0.6159111,0.80434656,"('lazy', 'industrious')",-0.6705982,-0.61321574,-0.0273435,0.0955654,-0.1229089
25,0.5883815,0.56607467,"('egoistic', 'altruistic')",1.9046783,1.8877219,1.2465299,1.2268983,0.0196316
82,-0.5804726,-0.4035326,"('poor', 'rich')",6.083319,6.2462187,2.7514234,2.9213431,-0.1699197
38,-0.56909674,-0.39118323,"('untruthful', 'truthful')",-0.15713894,0.0030009206,-0.3631178,-0.1940912,-0.1690266
70,-0.5505323,-0.35092983,"('lethargic', 'energetic')",0.3593275,0.64026165,-0.0956024,0.1446659,-0.2402683
6,-0.5469425,-0.2864865,"('distant', 'open')",0.013694383,0.17985716,-0.266624,-0.0533147,-0.2133093
56,-0.5434209,-0.42371002,"('impractical', 'practical')",-0.011972945,-0.04651953,-0.2776969,-0.2351148,-0.0425821
71,0.5428648,0.5594548,"('diffident', 'self-confident')",0.5842068,0.614077,0.5635358,0.5867659,-0.0232301
41,-0.5426599,-0.5189874,"('unforgiving', 'forgiving')",-0.31003046,-0.27527195,-0.4263452,-0.3971297,-0.0292155
27,-0.5011058,-0.42267412,"('hardhearted', 'softhearted')",0.99055195,1.149973,0.2447231,0.3636495,-0.1189264
55,-0.48453072,-0.82225287,"('incompetent', 'clever')",0.48561817,0.3626793,0.0005437,-0.2297868,0.2303305
81,-0.47845125,-0.7688243,"('submissive', 'aggressive')",-0.20848456,-0.37680483,-0.3434679,-0.5728146,0.2293467
30,-0.44315147,-0.28211918,"('intolerant', 'tolerant')",1.3178954,1.5560665,0.437372,0.6369737,-0.1996017
51,-0.43198785,-0.4835278,"('uneducated', 'educated')",0.033663154,0.19113109,-0.1991623,-0.1461984,-0.0529639
22,-0.4230685,-0.3773042,"('untrustworthy', 'trustworthy')",-1.2123768,-0.9598856,-0.8177227,-0.6685949,-0.1491278
33,-0.40703997,-0.25425306,"('wrong', 'right')",-0.85473126,-0.6594002,-0.6308856,-0.4568266,-0.174059
