,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,male-female
69,1.6246296,1.7766473,"('lazy', 'industrious')",-0.7849983,-0.58409303,0.4198157,0.5962771,-0.1764614
57,-1.3734503,-1.3869926,"('unimaginative', 'imaginative')",-3.6412373,-3.613133,-2.5073438,-2.5000627,-0.0072811
68,-1.2786647,-1.3547139,"('dependent', 'independent')",-1.6444225,-1.7827555,-1.4615436,-1.5687346,0.107191
70,-1.2662848,-1.4871479,"('lethargic', 'energetic')",0.21359056,0.014349103,-0.5263472,-0.7363994,0.2100522
73,1.2592356,1.2270937,"('helpless', 'self-reliant')",-3.0892863,-3.1674929,-0.9150254,-0.9701996,0.0551742
51,-1.1928108,-1.2267962,"('uneducated', 'educated')",-0.31278852,-0.36556575,-0.7527996,-0.796181,0.0433814
25,1.1676916,1.1802127,"('egoistic', 'altruistic')",1.1511292,1.180301,1.1594105,1.1802568,-0.0208463
26,1.1233064,1.3253547,"('hardhearted', 'benevolent')",1.354476,1.6229427,1.2388911,1.4741488,-0.2352577
71,1.1174691,1.240029,"('diffident', 'self-confident')",0.6635587,0.64154536,0.8905139,0.9407872,-0.0502733
77,-1.1141081,-1.2837126,"('unmotivated', 'motivated')",-1.2631063,-1.3206342,-1.1886072,-1.3021734,0.1135662
59,1.0846767,1.2103914,"('foolish', 'wise')",0.12138985,0.20483218,0.6030333,0.7076118,-0.1045785
3,-1.0230516,-1.138737,"('repellent', 'pleasant')",0.22123283,0.24294078,-0.4009094,-0.4478981,0.0469887
48,-0.9751445,-1.0824285,"('unintelligent', 'intelligent')",-0.0793563,-0.2312619,-0.5272504,-0.6568452,0.1295948
11,-0.9688972,-1.1677742,"('unhelpful', 'helpful')",1.7438478,1.6468416,0.3874753,0.2395337,0.1479416
58,-0.95411843,-0.8879993,"('undiscriminating', 'discriminating')",-0.043754365,0.026482478,-0.4989364,-0.4307584,-0.068178
65,-0.9537284,-1.0394766,"('insecure', 'secure')",-0.04638926,-0.1622103,-0.5000588,-0.6008435,0.1007847
81,-0.93582153,-1.2240623,"('submissive', 'aggressive')",-1.1516812,-1.4024949,-1.0437514,-1.3132787,0.2695273
72,-0.87799096,-0.96167624,"('unambitious', 'ambitious')",-0.17714626,-0.30532154,-0.5275686,-0.6334989,0.1059303
86,-0.84639406,-0.8262487,"('uninfluential', 'influential')",-0.6603824,-0.70793045,-0.7533882,-0.7670896,0.0137014
17,-0.8241164,-0.81410444,"('nasty', 'nice')",-0.5864251,-0.632868,-0.7052708,-0.7234862,0.0182154
46,-0.81808484,-1.0567058,"('uncompetitive', 'competitive')",-1.0773768,-1.0549965,-0.9477308,-1.0558512,0.1081204
23,-0.8034985,-0.9409959,"('insincere', 'sincere')",5.958121,5.800854,2.577311,2.4299293,0.1473817
61,-0.7849529,-0.7716018,"('illogical', 'logical')",0.07501238,0.13702282,-0.3549702,-0.3172895,-0.0376807
10,-0.7614952,-0.844143,"('unsympathetic', 'sympathetic')",-0.33440804,-0.38462916,-0.5479516,-0.6143861,0.0664345
19,-0.7587208,-0.685446,"('inhospitable', 'hospitable')",-0.33347496,-0.28514412,-0.5460979,-0.4852951,-0.0608028
60,-0.7438046,-1.062145,"('inefficient', 'efficient')",0.28239787,-0.05153027,-0.2307034,-0.5568376,0.3261342
88,-0.73934436,-0.60358775,"('low', 'eminent')",-0.6621228,-0.64458364,-0.7007335,-0.6240857,-0.0766478
33,0.7247919,0.8466288,"('wrong', 'right')",-0.4061643,-0.31210393,0.1593138,0.2672624,-0.1079486
30,-0.69633424,-0.74444544,"('intolerant', 'tolerant')",0.03900157,-0.037998263,-0.3286663,-0.3912219,0.0625556
34,-0.67303634,-0.8190921,"('mean', 'honorable')",5.2925773,5.2307096,2.3097706,2.2058086,0.103962
38,-0.6564259,-0.6676546,"('untruthful', 'truthful')",0.09845156,0.08392382,-0.2789872,-0.2918654,0.0128782
22,-0.654454,-0.8144161,"('untrustworthy', 'trustworthy')",-0.90912604,-1.0026821,-0.78179,-0.9085491,0.1267591
63,-0.6370277,-0.79379404,"('unperceptive', 'insightful')",0.067563005,-0.05534103,-0.2847323,-0.4245675,0.1398352
87,0.63318694,0.6597623,"('unsuccessful', 'successful')",0.17056003,0.27288178,0.4018735,0.4663221,-0.0644486
13,-0.59622097,-0.8135812,"('impolite', 'polite')",-0.43786186,-0.7218271,-0.5170414,-0.7677041,0.2506627
21,-0.58083147,-0.830429,"('immoral', 'moral')",-0.9381367,-1.0871936,-0.7594841,-0.9588113,0.1993272
62,-0.5557972,-0.9061177,"('incompetent', 'brilliant')",0.04902764,-0.23493005,-0.2533848,-0.5705239,0.3171391
74,0.5138386,0.53261673,"('undedicated', 'dedicated')",-0.054645266,0.034028016,0.2295967,0.2833224,-0.0537257
53,-0.5069734,-0.36687163,"('uncreative', 'creative')",0.2743145,0.30767792,-0.1163294,-0.0295969,-0.0867325
27,0.50074565,0.47179618,"('hardhearted', 'softhearted')",1.1218528,1.0129786,0.8112992,0.7423874,0.0689118
28,-0.4905413,-0.3918332,"('disloyal', 'loyal')",0.9607733,0.98403716,0.235116,0.296102,-0.060986
64,-0.48632416,-0.5323812,"('shy', 'confident')",-6.338942,-6.1953826,-3.4126332,-3.3638818,-0.0487514
1,0.48020852,0.61996704,"('unfriendly', 'friendly')",1.6897899,1.7079551,1.0849992,1.1639611,-0.0789619
0,-0.47438723,-0.54371977,"('unsociable', 'sociable')",-0.35320586,-0.43056569,-0.4137965,-0.4871427,0.0733462
85,0.47226077,0.8574015,"('insignificant', 'prestigious')",-0.6178899,-0.30657345,-0.0728146,0.275414,-0.3482286
79,-0.46924183,-0.25239646,"('wavering', 'unwavering')",-0.38105467,-0.39645472,-0.4251482,-0.3244256,-0.1007226
76,-0.4690158,-0.6628303,"('anxious', 'daring')",-0.06881158,-0.19210336,-0.2689137,-0.4274668,0.1585531
16,-0.46314707,-0.32137892,"('unpopular', 'popular')",-0.037538182,0.08371825,-0.2503426,-0.1188303,-0.1315123
82,-0.46311182,-0.609973,"('poor', 'rich')",5.959871,5.759875,2.7483795,2.5749509,0.1734286
5,0.44808173,0.52786696,"('distant', 'outgoing')",-0.22882316,-0.2736846,0.1096293,0.1270912,-0.0174619
43,-0.44716606,-0.6577885,"('irresponsible', 'responsible')",0.71906275,0.6320154,0.1359483,-0.0128866,0.1488349
35,0.43374,0.7840341,"('corrupt', 'incorrupt')",-0.66578454,-0.4505574,-0.1160223,0.1667383,-0.2827606
40,0.43234715,0.47020233,"('stingy', 'generous')",-2.278373,-2.3070455,-0.9230129,-0.9184216,-0.0045913
18,-0.42251605,-0.2683349,"('disagreeable', 'welcoming')",-0.86502826,-0.7920572,-0.6437721,-0.5301961,-0.113576
49,-0.41950387,-0.3520757,"('unable', 'able')",-0.48880744,-0.5981865,-0.4541557,-0.4751311,0.0209754
78,-0.41033965,-0.45356372,"('nonresilient', 'resilient')",-0.15850408,-0.11737691,-0.2844219,-0.2854703,0.0010484
9,0.40781146,0.5247997,"('unaffectionate', 'caring')",1.3470588,1.3073397,0.8774351,0.9160697,-0.0386346
32,-0.3924548,-0.39211917,"('unkind', 'kind')",0.99350715,0.9236588,0.3005262,0.2657698,0.0347564
54,-0.39074916,-0.3734003,"('incapable', 'capable')",0.64125055,0.6388152,0.1252507,0.1327075,-0.0074568
4,0.38733235,0.47352543,"('disliked', 'liked')",-7.3403077,-7.211084,-3.4764876,-3.3687792,-0.1077084
8,0.37868142,0.60534024,"('unaffectionate', 'affectionate')",0.9677694,0.9394475,0.6732254,0.7723939,-0.0991685
37,0.3759526,0.2928899,"('fake', 'genuine')",0.45865884,0.33563888,0.4173057,0.3142644,0.1030413
80,0.35974166,0.2091453,"('dominated', 'dominating')",-0.86667377,-0.94719803,-0.2534661,-0.3690264,0.1155603
15,0.35774106,0.30103952,"('boring', 'funny')",0.2558941,0.1686148,0.3068176,0.2348272,0.0719904
55,-0.33165872,-0.50409704,"('incompetent', 'clever')",0.01246978,-0.086022675,-0.1595945,-0.2950599,0.1354654
6,0.32868302,0.4555821,"('distant', 'open')",0.11139408,0.13106292,0.2200385,0.2933225,-0.073284
