,humana_male,humana_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.6609445,-2.5755963,"('hostile', 'amicable')",0.009098688,0.09985268,-1.3259228,-1.2378719,-0.0880509
31,-2.3127444,-2.3258994,"('evil', 'good')",-1.2731558,-1.0880486,-1.7929502,-1.706974,-0.0859762
60,2.2458537,2.1728318,"('inefficient', 'efficient')",0.2181674,0.10313831,1.2320105,1.137985,0.0940255
81,1.9720656,1.9477105,"('submissive', 'aggressive')",-0.52285767,-0.60007626,0.724604,0.6738172,0.0507868
14,1.9617683,1.9364384,"('antisocial', 'social')",-0.078123674,-0.27978703,0.9418223,0.8283257,0.1134966
56,1.9166461,1.7035047,"('impractical', 'practical')",0.03491858,-0.2247723,0.9757823,0.7393662,0.2364161
53,-1.8547126,-1.9650797,"('uncreative', 'creative')",0.5511986,0.71492565,-0.651757,-0.625077,-0.02668
21,1.7277205,1.7166241,"('immoral', 'moral')",-0.3257318,-0.2606099,0.7009944,0.7280071,-0.0270127
6,-1.7071997,-1.6525139,"('distant', 'open')",-0.03695368,0.08295218,-0.8720767,-0.7847809,-0.0872958
30,1.6544477,1.6527265,"('intolerant', 'tolerant')",1.562974,1.5315427,1.6087108,1.5921346,0.0165762
5,-1.6172167,-1.5988103,"('distant', 'outgoing')",-0.61212415,-0.5520461,-1.1146704,-1.0754282,-0.0392422
66,-1.6006367,-1.5572243,"('inactive', 'active')",0.60637474,0.78138757,-0.497131,-0.3879184,-0.1092126
19,-1.5358068,-1.4684385,"('inhospitable', 'hospitable')",-0.24334389,0.06459831,-0.8895754,-0.7019201,-0.1876553
43,1.4954739,1.354328,"('irresponsible', 'responsible')",0.7639023,0.5996361,1.129688,0.9769821,0.1527059
62,1.4888756,1.3120071,"('incompetent', 'brilliant')",0.39654386,0.18542235,0.9427097,0.7487147,0.193995
35,-1.4313786,-1.5253606,"('corrupt', 'incorrupt')",-0.23298544,-0.3931188,-0.832182,-0.9592397,0.1270577
4,-1.4177359,-1.37513,"('disliked', 'liked')",-6.6062584,-6.275314,-4.0119972,-3.825222,-0.1867752
48,1.3807554,1.361045,"('unintelligent', 'intelligent')",0.7108134,0.99946636,1.0457845,1.1802557,-0.1344712
16,-1.3640013,-1.42875,"('unpopular', 'popular')",0.42529702,0.45162088,-0.4693521,-0.4885646,0.0192125
85,-1.3639294,-1.2301558,"('insignificant', 'prestigious')",0.6738982,1.0635953,-0.3450156,-0.0832803,-0.2617353
79,-1.3095355,-1.3354888,"('wavering', 'unwavering')",-0.39848214,-0.33984828,-0.8540088,-0.8376685,-0.0163403
1,-1.29976,-1.2173247,"('unfriendly', 'friendly')",1.4396548,1.786741,0.0699474,0.2847081,-0.2147607
76,1.2303407,1.0535637,"('anxious', 'daring')",0.37823,0.12460707,0.8042853,0.5890854,0.2151999
75,-1.1550931,-1.2154783,"('meek', 'impulsive')",-0.69642603,-0.83486575,-0.9257596,-1.025172,0.0994124
65,1.1474972,0.9648032,"('insecure', 'secure')",-0.16438307,-0.58769375,0.4915571,0.1885547,0.3030024
55,1.1325804,0.9839175,"('incompetent', 'clever')",0.4116679,0.36313355,0.7721242,0.6735255,0.0985987
42,1.0170183,0.90946853,"('unreliable', 'reliable')",-3.103757,-2.8512619,-1.0433693,-0.9708967,-0.0724726
11,0.9917892,0.83459675,"('unhelpful', 'helpful')",1.505981,1.4180628,1.2488852,1.1263298,0.1225554
8,-0.9836254,-0.73299015,"('unaffectionate', 'affectionate')",0.4503674,0.8489079,-0.266629,0.0579589,-0.3245879
37,0.96295327,0.9191048,"('fake', 'genuine')",0.32921618,0.37707055,0.6460847,0.6480877,-0.002003
80,0.8990523,0.7921385,"('dominated', 'dominating')",-1.1473411,-1.2246208,-0.1241444,-0.2162412,0.0920968
22,0.87284046,0.7659437,"('untrustworthy', 'trustworthy')",-0.93866616,-1.0545328,-0.0329129,-0.1442945,0.1113816
84,0.86957943,0.8913277,"('inferior', 'superior')",0.9767003,1.0559083,0.9231399,0.973618,-0.0504781
41,0.863741,0.8108144,"('unforgiving', 'forgiving')",-0.14145435,0.2260272,0.3611433,0.5184208,-0.1572775
20,0.8618588,0.8656819,"('rough', 'thoughtful')",1.2375851,1.2498683,1.049722,1.057775,-0.008053
52,-0.8540344,-0.87546337,"('irrational', 'rational')",0.2571717,0.24288875,-0.2984314,-0.3162873,0.0178559
39,0.8240575,0.9036625,"('exploitative', 'cooperative')",0.46263868,0.35656738,0.6433481,0.6301149,0.0132332
10,0.8234535,0.75164497,"('unsympathetic', 'sympathetic')",-0.39524585,-0.23678574,0.2141038,0.2574296,-0.0433258
13,0.8079465,0.7593256,"('impolite', 'polite')",-0.58906287,-0.5746916,0.1094418,0.092317,0.0171248
70,0.7963884,0.70777076,"('lethargic', 'energetic')",0.71267277,0.66657376,0.7545305,0.6871723,0.0673582
23,0.7945759,0.6941845,"('insincere', 'sincere')",5.6319184,5.3403068,3.2132473,3.0172455,0.1960018
69,-0.7933825,-0.65733296,"('lazy', 'industrious')",-0.43748847,-0.40908414,-0.6154355,-0.5332085,-0.082227
25,-0.7562765,-0.6413494,"('egoistic', 'altruistic')",1.722765,1.8125913,0.4832442,0.585621,-0.1023768
2,0.7544175,0.7568213,"('unlikable', 'likable')",0.58252513,0.5356861,0.6684713,0.6462537,0.0222176
72,0.7262247,0.6146679,"('unambitious', 'ambitious')",-0.8356587,-0.9883832,-0.054717,-0.1868576,0.1321406
63,0.72125643,0.6718349,"('unperceptive', 'insightful')",0.5775292,0.84184706,0.6493928,0.7568409,-0.1074481
46,0.65571094,0.6088838,"('uncompetitive', 'competitive')",-0.62859493,-0.43684986,0.013558,0.086017,-0.072459
82,-0.64523244,-0.7642884,"('poor', 'rich')",6.006253,5.6499724,2.68051,2.442842,0.237668
9,-0.6363849,-0.550895,"('unaffectionate', 'caring')",0.7950968,1.112366,0.079356,0.2807355,-0.2013795
67,0.61842024,0.7061396,"('doubtful', 'determined')",-0.41020876,-0.66040015,0.1041057,0.0228697,0.081236
86,-0.5967629,-0.5054648,"('uninfluential', 'influential')",-0.24079266,-0.07755917,-0.4187778,-0.291512,-0.1272658
59,-0.58401823,-0.6699427,"('foolish', 'wise')",0.28306454,0.17621338,-0.1504768,-0.2468646,0.0963878
0,0.57507974,0.58879316,"('unsociable', 'sociable')",-0.2795511,-0.19440232,0.1477643,0.1971954,-0.0494311
3,0.5704217,0.5001062,"('repellent', 'pleasant')",0.33710703,0.24954583,0.4537644,0.374826,0.0789384
33,-0.551989,-0.37635815,"('wrong', 'right')",-0.6604942,-0.47324815,-0.6062416,-0.4248031,-0.1814385
32,0.5450957,0.59439373,"('unkind', 'kind')",0.76425636,0.8584286,0.654676,0.7264112,-0.0717352
15,-0.53462714,-0.5731035,"('boring', 'funny')",0.3076221,0.27664325,-0.1135025,-0.1482301,0.0347276
49,0.5204978,0.56535983,"('unable', 'able')",0.055025518,0.112160064,0.2877617,0.33876,-0.0509983
61,0.51557195,0.5204171,"('illogical', 'logical')",0.3840514,0.46114755,0.4498117,0.4907823,-0.0409706
12,0.5098216,0.4596341,"('unsupportive', 'supportive')",-2.0070674,-1.7137547,-0.7486229,-0.6270603,-0.1215626
38,0.5037835,0.56843626,"('untruthful', 'truthful')",-0.35161382,-0.3373382,0.0760849,0.115549,-0.0394641
7,0.5036363,0.56145084,"('insensitive', 'sensitive')",0.46892917,0.73372686,0.4862827,0.6475888,-0.1613061
88,-0.4688157,-0.37292838,"('low', 'eminent')",0.3759071,0.3139744,-0.0464543,-0.029477,-0.0169773
74,0.42408407,0.29380536,"('undedicated', 'dedicated')",0.0951132,0.10957132,0.2595986,0.2016883,0.0579103
