,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,male-female
69,2.0879714,1.5013549,"('lazy', 'industrious')",-0.7376982,-0.74253476,0.6751366,0.3794101,0.2957265
70,-1.8274702,-1.3904045,"('lethargic', 'energetic')",-0.026118224,0.02045009,-0.9267942,-0.6849772,-0.241817
57,-1.6770574,-1.5990368,"('unimaginative', 'imaginative')",-3.3690772,-3.70005,-2.5230672,-2.6495435,0.1264763
46,-1.3909239,-1.0056032,"('uncompetitive', 'competitive')",-1.0051244,-1.1063197,-1.1980242,-1.0559614,-0.1420628
71,1.3395647,0.9437657,"('diffident', 'self-confident')",0.49200737,0.37307167,0.915786,0.6584187,0.2573673
77,-1.3110343,-1.1186535,"('unmotivated', 'motivated')",-1.1382914,-1.007116,-1.2246628,-1.0628848,-0.161778
73,1.2857939,1.2242731,"('helpless', 'self-reliant')",-2.9110496,-3.0191288,-0.8126279,-0.8974279,0.0848
72,-1.2571555,-0.7675816,"('unambitious', 'ambitious')",-0.62545544,-0.24048653,-0.9413055,-0.504034,-0.4372715
68,-1.2167492,-1.1342485,"('dependent', 'independent')",-1.7489618,-1.4722866,-1.4828556,-1.3032675,-0.1795881
51,-1.2073197,-0.95892626,"('uneducated', 'educated')",0.04881262,-0.075403616,-0.5792536,-0.5171649,-0.0620887
59,1.1860031,0.9670146,"('foolish', 'wise')",0.039384827,0.15361431,0.612694,0.5603145,0.0523795
48,-1.1457055,-0.88584876,"('unintelligent', 'intelligent')",-0.13237529,0.12224058,-0.6390404,-0.3818041,-0.2572363
26,1.1255481,0.9158226,"('hardhearted', 'benevolent')",1.2723264,1.114564,1.1989372,1.0151932,0.183744
3,-1.1203979,-0.97649264,"('repellent', 'pleasant')",0.27878344,0.11281166,-0.4208072,-0.4318405,0.0110333
25,1.1189333,1.1224897,"('egoistic', 'altruistic')",0.91383827,0.8343569,1.0163858,0.9784233,0.0379625
58,-1.1083914,-0.93247473,"('undiscriminating', 'discriminating')",-0.052449666,-0.12529188,-0.5804206,-0.5288833,-0.0515373
81,-1.0826377,-0.9863583,"('submissive', 'aggressive')",-0.9986861,-1.0265359,-1.0406618,-1.0064471,-0.0342147
65,-1.0756682,-1.1780864,"('insecure', 'secure')",-0.0330339,-0.12421258,-0.554351,-0.6511495,0.0967985
11,-1.0649763,-1.0481929,"('unhelpful', 'helpful')",2.3763816,2.1281905,0.6557027,0.5399988,0.1157039
10,-1.0609409,-0.74708354,"('unsympathetic', 'sympathetic')",-0.38271028,-0.26664227,-0.7218256,-0.5068629,-0.2149627
86,-1.0356249,-0.7914338,"('uninfluential', 'influential')",-0.8678414,-0.6447874,-0.9517331,-0.7181106,-0.2336225
22,-1.0192509,-0.7580406,"('untrustworthy', 'trustworthy')",-0.882976,-0.85692453,-0.9511135,-0.8074826,-0.1436309
43,-1.0103438,-0.7041802,"('irresponsible', 'responsible')",0.5833955,0.6911185,-0.2134742,-0.0065309,-0.2069433
63,-0.98777413,-0.7489536,"('unperceptive', 'insightful')",-0.034939718,0.15219495,-0.5113569,-0.2983793,-0.2129776
60,-0.9838567,-0.69410044,"('inefficient', 'efficient')",0.29203874,0.53966814,-0.345909,-0.0772161,-0.2686929
35,0.9182674,0.36665413,"('corrupt', 'incorrupt')",-0.6393572,-0.85396636,0.1394551,-0.2436561,0.3831112
85,0.9030196,0.5017747,"('insignificant', 'prestigious')",-0.7659795,-0.88459146,0.06852,-0.1914084,0.2599284
62,-0.86280984,-0.493204,"('incompetent', 'brilliant')",0.023409441,0.29957914,-0.4197002,-0.0968124,-0.3228878
23,-0.8564037,-0.9012694,"('insincere', 'sincere')",5.900997,5.7918134,2.5222967,2.445272,0.0770247
78,-0.83857113,-0.4541697,"('nonresilient', 'resilient')",-0.37521508,-0.085819125,-0.6068931,-0.2699944,-0.3368987
61,-0.81901205,-0.944832,"('illogical', 'logical')",-0.16400859,-0.21686971,-0.4915103,-0.5808508,0.0893405
55,-0.8070437,-0.37929747,"('incompetent', 'clever')",-0.021830864,0.06621133,-0.4144373,-0.1565431,-0.2578942
13,-0.7872104,-0.6829672,"('impolite', 'polite')",-0.368618,-0.2804981,-0.5779142,-0.4817326,-0.0961816
21,-0.7159366,-0.5208711,"('immoral', 'moral')",-0.90773565,-0.77723145,-0.8118361,-0.6490513,-0.1627848
33,0.71119833,0.7503701,"('wrong', 'right')",-0.60614264,-0.40865564,0.0525278,0.1708572,-0.1183294
76,-0.7062217,-0.46339586,"('anxious', 'daring')",-0.13854426,-0.07505675,-0.422383,-0.2692263,-0.1531567
5,0.68459773,0.6077854,"('distant', 'outgoing')",-0.5262433,-0.2196415,0.0791772,0.1940719,-0.1148947
15,0.67809427,0.35193697,"('boring', 'funny')",0.91374254,0.60378575,0.7959184,0.4778613,0.3180571
45,-0.66248703,-0.33700213,"('incompetent', 'competent')",-0.42265862,-0.4284253,-0.5425729,-0.3827137,-0.1598592
17,-0.64361995,-0.6606594,"('nasty', 'nice')",-0.30304307,-0.4906587,-0.4733315,-0.575659,0.1023275
64,-0.62442756,-0.57106143,"('shy', 'confident')",-5.794303,-5.9518685,-3.2093654,-3.2614651,0.0520997
34,-0.61035675,-0.5503476,"('mean', 'honorable')",5.153384,5.2392187,2.2715137,2.3444355,-0.0729218
38,-0.60809124,-0.4186207,"('untruthful', 'truthful')",0.26293364,0.3205151,-0.1725788,-0.0490528,-0.123526
36,0.581926,0.12753926,"('hostile', 'amicable')",-0.11584923,-0.52196985,0.2330384,-0.1972153,0.4302537
19,-0.5680145,-0.6956877,"('inhospitable', 'hospitable')",-0.22936073,-0.19312333,-0.3986876,-0.4444055,0.0457179
30,-0.56675947,-0.51579076,"('intolerant', 'tolerant')",0.5030402,0.3558683,-0.0318596,-0.0799612,0.0481016
87,0.5595456,0.27637985,"('unsuccessful', 'successful')",0.23262785,-0.13648736,0.3960867,0.0699462,0.3261405
6,0.55498666,0.40986183,"('distant', 'open')",-0.4028864,-0.04952615,0.0760501,0.1801678,-0.1041177
28,-0.54546016,-0.8671978,"('disloyal', 'loyal')",0.78075314,0.56656617,0.1176465,-0.1503158,0.2679623
82,-0.5089228,-0.5092578,"('poor', 'rich')",5.5382624,5.4644575,2.5146699,2.4775999,0.03707
12,-0.5083265,0.024476133,"('unsupportive', 'supportive')",-2.1265497,-1.8958622,-1.3174381,-0.935693,-0.3817451
53,-0.46407342,-0.80750597,"('uncreative', 'creative')",0.17941621,0.05225701,-0.1423286,-0.3776245,0.2352959
0,-0.4634362,-0.5173508,"('unsociable', 'sociable')",-0.24238062,-0.33668235,-0.3529084,-0.4270166,0.0741082
4,0.4628283,0.5840181,"('disliked', 'liked')",-6.7314334,-7.167524,-3.1343026,-3.2917528,0.1574502
