,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,male-female
39,2.2427726,1.8324534,"('exploitative', 'cooperative')",-0.024465585,-0.19372436,0.035536543,-0.020148762,0.7512812,0.5395267,0.2117545
71,1.6558915,1.4010547,"('diffident', 'self-confident')",1.0072224,0.90553,0.31045842,0.40757596,0.9911908,0.9047203,0.0864705
45,-1.5048215,-1.223165,"('incompetent', 'competent')",-1.6754497,-1.2146494,-0.85224986,-0.68552846,-1.3441737,-1.0411143,-0.3030594
82,-1.336353,-1.1296602,"('poor', 'rich')",-0.6103704,-0.45956406,5.7124887,5.7446322,1.2552551,1.385136,-0.1298809
26,1.2647536,1.4196084,"('hardhearted', 'benevolent')",3.590192,3.5075736,1.3264555,1.4193431,2.0604671,2.1155084,-0.0550413
44,-1.2530664,-1.2790635,"('prejudiced', 'unprejudiced')",-0.5595579,-0.7282258,-1.5619179,-1.6504927,-1.1248474,-1.2192607,0.0944133
49,-1.2511128,-1.2834989,"('unable', 'able')",-0.95679134,-0.9373202,-0.7553281,-0.65003014,-0.9877441,-0.9569497,-0.0307944
67,1.1658273,1.2339525,"('doubtful', 'determined')",-0.39527035,-0.24609014,-0.81081146,-0.7740859,-0.0134182,0.0712588,-0.084677
55,-1.1582216,-0.9780539,"('incompetent', 'clever')",-1.008964,-0.7846388,-0.20426108,-0.05043347,-0.7904822,-0.6043754,-0.1861068
73,1.0924976,1.1965996,"('helpless', 'self-reliant')",0.8326308,0.85902154,-3.122286,-2.803152,-0.3990525,-0.249177,-0.1498755
75,-1.0717071,-0.83546376,"('meek', 'impulsive')",-0.59506774,-0.3952065,-0.45888624,-0.37162462,-0.7085537,-0.5340983,-0.1744554
12,1.034518,1.0787044,"('unsupportive', 'supportive')",0.1562626,0.3913103,-1.4666533,-1.2021073,-0.0919576,0.0893025,-0.1812601
16,-1.0202942,-1.1603038,"('unpopular', 'popular')",-0.8523324,-0.94159913,0.072600886,-0.04816166,-0.6000086,-0.7166882,0.1166796
29,-1.0198079,-0.9019209,"('unfair', 'fair')",-1.9670798,-1.6312001,-0.73977304,-0.8043228,-1.2422202,-1.1124813,-0.1297389
40,0.9756228,0.88671285,"('stingy', 'generous')",0.38772154,0.3681658,-1.434227,-1.4095677,-0.0236276,-0.051563,0.0279354
76,-0.88395745,-0.89546365,"('anxious', 'daring')",-1.4501542,-1.3771645,0.37919098,0.32969022,-0.6516403,-0.647646,-0.0039943
1,-0.8531698,-0.68982905,"('unfriendly', 'friendly')",0.95659536,1.0567585,1.2366908,1.5434854,0.4467054,0.636805,-0.1900996
54,-0.8513516,-0.972973,"('incapable', 'capable')",-1.1637101,-1.1386588,0.69965357,0.7733417,-0.4384694,-0.4460967,0.0076273
6,-0.8231386,-0.6576526,"('distant', 'open')",0.3664078,0.5217954,-0.12911332,-0.18026108,-0.1952814,-0.1053728,-0.0899086
84,0.8077956,0.805532,"('inferior', 'superior')",0.18520018,0.12975961,0.716696,0.67322946,0.5698973,0.5361737,0.0337236
88,0.7964006,0.74510604,"('low', 'eminent')",0.36014974,0.32171333,0.52951247,0.63011736,0.5620209,0.5656456,-0.0036247
30,0.77901846,0.859552,"('intolerant', 'tolerant')",-0.33884966,-0.17266998,1.1790701,1.2155484,0.5397463,0.6341435,-0.0943972
28,0.7390826,0.603449,"('disloyal', 'loyal')",-0.7189385,-0.695004,0.89335424,0.93065685,0.3044994,0.2797006,0.0247988
72,0.73404133,0.80469537,"('unambitious', 'ambitious')",0.45799345,0.48731372,-1.3138554,-1.0813266,-0.0406069,0.0702275,-0.1108344
3,-0.73344177,-0.6769496,"('repellent', 'pleasant')",-1.5031937,-1.3990682,0.33327293,0.31419542,-0.6344542,-0.5872742,-0.04718
7,0.7329197,0.533279,"('insensitive', 'sensitive')",0.14932102,0.16321136,0.9148948,0.9791461,0.5990452,0.5585455,0.0404997
58,0.72998947,0.62502974,"('undiscriminating', 'discriminating')",0.8580799,0.7965418,0.43982884,0.41530424,0.6759661,0.6122919,0.0636742
56,0.70161194,1.0558915,"('impractical', 'practical')",0.22665076,0.61669064,-0.08808951,0.25621268,0.2800577,0.6429316,-0.3628739
20,-0.6933198,-0.83097154,"('rough', 'thoughtful')",-1.0362293,-1.0509666,1.0858848,1.0085092,-0.2145547,-0.291143,0.0765883
31,-0.68825936,-0.33826375,"('evil', 'good')",0.15309621,0.47543827,-1.8547785,-1.6908914,-0.7966472,-0.5179056,-0.2787416
78,-0.6860594,-0.8304958,"('nonresilient', 'resilient')",-0.081429645,-0.21421656,0.74939144,0.6745674,-0.0060325,-0.1233816,0.1173491
59,0.6841689,0.7075376,"('foolish', 'wise')",0.3174856,0.26875597,-0.020415373,-0.025127392,0.3270797,0.3170554,0.0100243
0,-0.67938316,-0.866938,"('unsociable', 'sociable')",-1.1633505,-1.1970682,-0.6487143,-0.70921594,-0.8304826,-0.9244074,0.0939248
57,-0.67129976,-0.44729182,"('unimaginative', 'imaginative')",-0.2570826,-0.12348449,-2.3253298,-2.1578825,-1.0845707,-0.9095529,-0.1750178
24,0.6400027,0.6659299,"('dishonest', 'honest')",-0.45221725,-0.21544302,0.357748,0.5359569,0.1818445,0.3288146,-0.1469701
38,0.63645416,0.8221251,"('untruthful', 'truthful')",-0.102065034,0.19565469,-0.13309956,0.2030487,0.1337632,0.4069428,-0.2731796
