,te_male,te_female,tuple,connectivity_male,connectivity_female,ltd_male,ltd_female,average_male,average_female,male-female
39,2.1242275,2.0211153,"('exploitative', 'cooperative')",1.523475,1.3735036,0.08872977,-0.10394041,1.2454775,1.0968928,0.1485847
61,2.0780177,2.0705307,"('illogical', 'logical')",1.8982834,1.8670741,-0.025264768,-0.21743622,1.3170122,1.2400562,0.076956
8,-1.7394134,-1.9904658,"('unaffectionate', 'affectionate')",-0.5540685,-0.6674877,0.7031305,0.5556216,-0.5301171,-0.7007773,0.1706602
71,1.6856915,1.7674115,"('diffident', 'self-confident')",2.102719,2.262737,0.30908144,0.3800909,1.3658307,1.4700797,-0.104249
60,1.566302,1.6406742,"('inefficient', 'efficient')",2.0298233,1.9446853,0.076387584,0.1408951,1.2241709,1.2420849,-0.017914
6,-1.5296624,-1.4356211,"('distant', 'open')",-0.225181,-0.006986223,0.13130638,0.21794164,-0.541179,-0.4082219,-0.1329571
56,1.3524075,1.6567565,"('impractical', 'practical')",0.9062085,0.88411856,0.5452122,0.8047923,0.9346094,1.1152225,-0.1806131
14,1.3431134,1.598884,"('antisocial', 'social')",1.4269359,1.2571164,-0.2931032,-0.19653289,0.8256487,0.8864892,-0.0608405
31,-1.3371146,-1.4207448,"('evil', 'good')",-0.9983665,-0.8708135,-0.4747709,-0.38061574,-0.9367507,-0.8907247,-0.046026
43,1.3150702,1.5312371,"('irresponsible', 'responsible')",0.8926871,0.8619185,0.86926144,1.0037982,1.0256729,1.1323179,-0.106645
59,1.1837347,1.0672998,"('foolish', 'wise')",0.17888655,0.29933447,0.5317146,0.48816755,0.6314452,0.6182673,0.0131779
21,1.1795145,1.4060204,"('immoral', 'moral')",-0.1689118,-0.16909263,-0.87982625,-0.9418731,0.0435922,0.0983516,-0.0547594
5,-1.168211,-1.0153517,"('distant', 'outgoing')",-0.3466105,-0.07257174,-0.17668024,0.00090632215,-0.5638339,-0.362339,-0.2014949
35,-1.1271583,-1.1346534,"('corrupt', 'incorrupt')",-1.3628821,-1.2557737,0.2109894,0.091602445,-0.7596836,-0.7662749,0.0065913
73,1.0662634,1.0952113,"('helpless', 'self-reliant')",0.22248852,0.26578182,-2.5608888,-2.2989378,-0.4240456,-0.3126482,-0.1113974
66,-1.0225315,-0.98068213,"('inactive', 'active')",-0.81541675,-0.82902384,0.77803594,0.846018,-0.3533041,-0.3212293,-0.0320748
15,0.9995913,0.8729713,"('boring', 'funny')",0.51369447,0.4655688,1.0083457,1.070459,0.8405438,0.8029997,0.0375441
62,0.9835651,1.1988225,"('incompetent', 'brilliant')",1.2883024,1.2987156,0.30490273,0.36375216,0.8589234,0.9537634,-0.09484
24,0.9729363,1.1143824,"('dishonest', 'honest')",0.53058237,0.46568716,0.53083396,0.35832697,0.6781175,0.6461322,0.0319853
25,-0.93366534,-1.0058568,"('egoistic', 'altruistic')",0.4213901,0.47465205,0.60768306,0.5434854,0.0318026,0.0040936,0.027709
27,-0.9309246,-1.0323826,"('hardhearted', 'softhearted')",0.53487533,0.44399703,0.27340582,0.24688165,-0.0408811,-0.1138346,0.0729535
17,-0.90491146,-1.0928423,"('nasty', 'nice')",0.007600412,0.048503224,0.1335831,0.056783736,-0.254576,-0.3291851,0.0746091
11,0.8930441,1.0008299,"('unhelpful', 'helpful')",1.4271344,1.3926029,2.4137716,2.3988342,1.5779834,1.5974223,-0.0194389
82,0.87865233,0.9009137,"('poor', 'rich')",1.4218516,1.1858563,5.681165,5.289191,2.6605565,2.4586536,0.2019029
78,-0.8774326,-1.0111842,"('nonresilient', 'resilient')",0.07335761,0.0881006,-0.092063725,0.040668856,-0.2987129,-0.2941383,-0.0045746
32,0.8621481,0.8217787,"('unkind', 'kind')",0.83456326,0.6978647,1.2814772,1.1576314,0.9927295,0.8924249,0.1003046
75,-0.791587,-0.7299692,"('meek', 'impulsive')",0.16474402,0.3110323,-0.22017387,-0.10120627,-0.2823389,-0.1733811,-0.1089578
30,0.7664674,0.84502625,"('intolerant', 'tolerant')",2.128312,1.985471,1.3437864,1.408093,1.4128553,1.4128634,-8.1e-06
23,0.719555,0.79294026,"('insincere', 'sincere')",0.8255377,0.7138251,4.842568,4.4125686,2.1292202,1.9731113,0.1561089
58,-0.6790436,-0.63530844,"('undiscriminating', 'discriminating')",0.47223908,0.47664177,0.25583956,0.43125302,0.016345,0.0908621,-0.0745171
70,0.6661209,0.7961794,"('lethargic', 'energetic')",1.4336745,1.3165045,1.058082,1.071524,1.0526258,1.0614026,-0.0087768
37,-0.6608556,-0.48724592,"('fake', 'genuine')",-0.3274815,-0.4895524,0.12067294,0.0040220357,-0.2892214,-0.3242587,0.0350373
65,0.654879,0.49940097,"('insecure', 'secure')",1.1074859,0.90177906,0.21427326,0.1718467,0.6588794,0.5243423,0.1345371
52,0.6442609,0.46126902,"('irrational', 'rational')",0.48565897,0.4944775,-0.37223965,-0.5629966,0.2525601,0.1309166,0.1216435
36,-0.6436653,-0.905074,"('hostile', 'amicable')",-0.056808855,-0.010150021,0.8519485,0.618289,0.0504915,-0.0989783,0.1494698
47,0.6428098,0.655892,"('stupid', 'smart')",0.54799527,0.54844236,4.8925304,4.649434,2.0277785,1.9512561,0.0765224
74,0.62549937,0.78101176,"('undedicated', 'dedicated')",0.502973,0.4122957,0.33995637,0.45138955,0.4894762,0.5482323,-0.0587561
26,0.6141332,0.4035469,"('hardhearted', 'benevolent')",0.5304981,0.41701195,1.9494958,1.9719107,1.0313757,0.9308232,0.1005525
2,0.60844105,0.6173764,"('unlikable', 'likable')",1.0050147,1.0172627,0.6739335,0.6914463,0.7624631,0.7753618,-0.0128987
51,0.5906137,0.71303385,"('uneducated', 'educated')",-0.27227753,-0.38935935,0.06328745,0.15842244,0.1272079,0.160699,-0.0334911
72,0.58464575,0.582306,"('unambitious', 'ambitious')",-0.74173546,-0.78158814,-0.29149848,-0.26868817,-0.1495294,-0.1559901,0.0064607
13,0.5335274,0.64971006,"('impolite', 'polite')",1.004199,0.9296002,-0.29391748,-0.25685492,0.414603,0.4408184,-0.0262154
4,-0.5179158,-0.49155527,"('disliked', 'liked')",-0.6352694,-0.38733152,-4.1428204,-3.5578399,-1.7653351,-1.4789089,-0.2864262
64,0.51623666,0.5875964,"('shy', 'confident')",0.5847846,0.7114173,-4.9534054,-4.4347763,-1.284128,-1.0452542,-0.2388738
76,0.46084622,0.6690204,"('anxious', 'daring')",0.40310487,0.35855898,-0.094765194,-0.066246785,0.2563953,0.3204442,-0.0640489
81,0.4552948,0.68789953,"('submissive', 'aggressive')",0.7263757,0.70849,-0.7500814,-0.5981871,0.143863,0.2660675,-0.1222045
18,-0.44560808,-0.40630668,"('disagreeable', 'welcoming')",-0.20538506,-0.07721627,-0.8418894,-0.9202574,-0.4976275,-0.4679268,-0.0297007
