,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.3749733,-2.2631192,"('unsympathetic', 'sympathetic')",-0.48256984,-0.18837385,-1.4287716,-1.2257465,-0.2030251
45,-2.160339,-1.4752282,"('incompetent', 'competent')",-0.58260447,-0.3384254,-1.3714718,-0.9068268,-0.464645
36,2.0630155,1.3886337,"('hostile', 'amicable')",0.34486085,-0.41254398,1.2039381,0.4880449,0.7158932
85,1.9362408,1.621248,"('insignificant', 'prestigious')",0.74541813,0.18501092,1.3408295,0.9031295,0.4377
68,-1.8325251,-1.800387,"('dependent', 'independent')",-0.6500299,-0.5261893,-1.2412775,-1.1632881,-0.0779894
51,-1.7215579,-1.5426881,"('uneducated', 'educated')",0.84131026,0.9966003,-0.4401238,-0.2730439,-0.1670799
21,-1.694826,-1.9241849,"('immoral', 'moral')",-0.6924697,-0.667291,-1.1936479,-1.295738,0.1020901
22,-1.6375785,-1.2880952,"('untrustworthy', 'trustworthy')",-1.1429175,-0.83399385,-1.3902481,-1.0610446,-0.3292035
6,1.5796908,1.3943976,"('distant', 'open')",0.42019653,0.12915273,0.9999437,0.7617752,0.2381685
86,-1.5627772,-1.4261749,"('uninfluential', 'influential')",-0.27548623,-0.047025338,-0.9191317,-0.7366001,-0.1825316
70,-1.5562502,-1.1190405,"('lethargic', 'energetic')",0.33811668,0.9088955,-0.6090668,-0.1050725,-0.5039943
65,-1.5458049,-1.5847619,"('insecure', 'secure')",-0.27624255,-0.021713115,-0.9110237,-0.8032375,-0.1077862
55,-1.477612,-1.1038358,"('incompetent', 'clever')",0.27535886,0.39004236,-0.6011266,-0.3568967,-0.2442299
14,-1.420951,-1.2300811,"('antisocial', 'social')",-0.7890139,-0.61177284,-1.1049825,-0.9209269,-0.1840556
73,1.3309685,1.358039,"('helpless', 'self-reliant')",-3.1964848,-3.1193116,-0.9327582,-0.8806363,-0.0521219
57,-1.3049648,-1.0213988,"('unimaginative', 'imaginative')",-3.111934,-2.9223442,-2.2084494,-1.9718715,-0.2365779
3,-1.2747306,-1.2242645,"('repellent', 'pleasant')",0.40870345,0.42958406,-0.4330136,-0.3973402,-0.0356734
28,-1.2629876,-1.3541223,"('disloyal', 'loyal')",0.68022585,0.6147474,-0.2913809,-0.3696874,0.0783065
