,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.5878572,1.24526,"('unlikable', 'likable')",1.0971539,0.9632556,1.3681412,1.1478857,1.3510507,1.1188005,0.2322502
28,-1.5763232,-1.3436997,"('disloyal', 'loyal')",-1.6054742,-1.2700542,-1.8535067,-1.6214044,-1.6784347,-1.4117193,-0.2667154
1,-1.4950498,-1.5592546,"('unfriendly', 'friendly')",-0.9597091,-0.7601692,-1.40292,-1.2786417,-1.285893,-1.1993552,-0.0865378
73,1.4554782,1.5401685,"('helpless', 'self-reliant')",0.90901625,0.7757307,1.4028826,1.3615395,1.2557923,1.2258129,0.0299794
57,-1.2275877,-1.0600778,"('unimaginative', 'imaginative')",-1.9502387,-1.80357,-1.8791562,-1.7110754,-1.6856608,-1.5249077,-0.1607531
42,1.1020454,1.0556921,"('unreliable', 'reliable')",1.0647,1.0599266,0.76554024,0.7682464,0.9774286,0.9612884,0.0161402
53,-1.0279305,-0.9529265,"('uncreative', 'creative')",-0.593133,-0.40312427,-1.6109586,-1.4598633,-1.0773407,-0.9386381,-0.1387026
76,1.0234256,0.6074794,"('anxious', 'daring')",0.5136885,0.33848822,0.68434083,0.3819395,0.740485,0.4426357,0.2978493
86,-1.0164583,-0.84334946,"('uninfluential', 'influential')",-2.0782225,-1.9927148,-1.645994,-1.5156217,-1.580225,-1.450562,-0.129663
87,0.9954983,0.89330375,"('unsuccessful', 'successful')",1.5439703,1.4024079,1.7732911,1.7274773,1.4375866,1.3410629,0.0965237
62,0.9941207,1.1345521,"('incompetent', 'brilliant')",-1.7287519,-1.5487903,0.69553596,0.8573005,-0.0130317,0.1476874,-0.1607191
41,-0.9207956,-0.82929474,"('unforgiving', 'forgiving')",-1.8621618,-1.666936,-0.62508315,-0.53537685,-1.1360135,-1.0105359,-0.1254776
64,0.9148402,1.1428951,"('shy', 'confident')",-0.2534991,-0.2761485,0.2846315,0.22483963,0.3153242,0.3638621,-0.0485379
31,-0.90124995,-0.71073335,"('evil', 'good')",1.0964876,1.3344933,0.22440302,0.23746589,0.1398802,0.2870753,-0.1471951
60,0.8904058,0.88696086,"('inefficient', 'efficient')",-1.7838336,-1.741606,0.44066903,0.6312618,-0.1509196,-0.0744611,-0.0764585
78,-0.8790855,-0.8737559,"('nonresilient', 'resilient')",-1.5680215,-1.6165704,-0.79364204,-0.8002923,-1.0802497,-1.0968728,0.0166231
23,-0.8770171,-1.1855682,"('insincere', 'sincere')",-2.199373,-2.357751,-0.794267,-0.83101994,-1.290219,-1.458113,0.167894
26,-0.8746231,-0.71266645,"('hardhearted', 'benevolent')",1.0874058,1.2062362,-1.1002989,-0.9256991,-0.2958387,-0.1440431,-0.1517956
10,-0.8394523,-0.964356,"('unsympathetic', 'sympathetic')",-2.3341324,-2.346378,-1.3338311,-1.2697397,-1.5024719,-1.5268246,0.0243527
52,0.82247066,0.46745956,"('irrational', 'rational')",1.3125448,1.038151,0.20018679,-0.25774455,0.7784007,0.4159553,0.3624454
15,0.8126887,0.8284017,"('boring', 'funny')",0.9144897,0.93912673,-0.2780991,-0.2908084,0.4830264,0.49224,-0.0092136
6,0.80598044,0.80186677,"('distant', 'open')",1.2483815,1.354135,0.16147318,0.20334382,0.7386117,0.7864486,-0.0478369
44,0.7729302,0.52055186,"('prejudiced', 'unprejudiced')",0.5187147,0.33545294,0.7043242,0.509786,0.665323,0.4552636,0.2100594
0,-0.769529,-0.70456004,"('unsociable', 'sociable')",-2.6729596,-2.6076307,-0.4182331,-0.28948376,-1.2869073,-1.2005582,-0.0863491
18,-0.7403686,-0.8925518,"('disagreeable', 'welcoming')",0.44523382,0.3776373,-0.6096203,-0.66871583,-0.301585,-0.3945434,0.0929584
4,-0.69290614,-0.3778909,"('disliked', 'liked')",0.2058515,0.4713983,0.430385,0.5571849,-0.0188899,0.2168974,-0.2357873
33,0.66220987,0.66041017,"('wrong', 'right')",0.7419253,0.7556152,1.0486851,0.99413985,0.8176068,0.8033884,0.0142184
40,-0.6582193,-0.24011096,"('stingy', 'generous')",-1.4104013,-1.1770588,-0.3475091,-0.11348198,-0.8053766,-0.5102173,-0.2951593
8,-0.63478243,-0.88208944,"('unaffectionate', 'affectionate')",-0.21958575,-0.08021895,-0.7948998,-0.84863716,-0.549756,-0.6036485,0.0538925
22,-0.6302035,-0.52630687,"('untrustworthy', 'trustworthy')",-0.3704526,-0.19044513,-0.84165704,-0.83338517,-0.6141044,-0.5167124,-0.097392
20,-0.6292517,-0.3801182,"('rough', 'thoughtful')",-1.0198212,-0.7820841,-0.35925606,-0.08041923,-0.669443,-0.4142072,-0.2552358
49,-0.6260826,-0.60857594,"('unable', 'able')",-0.98341656,-0.8661626,-0.6398593,-0.57968956,-0.7497862,-0.6848094,-0.0649768
61,0.6248766,0.66491395,"('illogical', 'logical')",-0.85827804,-0.8556124,0.59565336,0.6600424,0.1207506,0.156448,-0.0356974
85,0.60477424,0.49245778,"('insignificant', 'prestigious')",2.5769503,2.4999003,1.2578554,1.127342,1.47986,1.3732335,0.1066265
67,0.5477483,0.56274295,"('doubtful', 'determined')",-0.3284747,-0.43197465,0.6547189,0.5749551,0.2913308,0.2352411,0.0560897
35,-0.5370328,-0.38747114,"('corrupt', 'incorrupt')",0.91186714,1.0584651,0.0037201717,0.033138897,0.1261848,0.234711,-0.1085262
38,-0.51339185,-0.6736772,"('untruthful', 'truthful')",-1.105004,-1.1021665,0.014080849,-0.020058118,-0.5347716,-0.598634,0.0638624
83,0.51309043,0.832094,"('powerless', 'powerful')",-0.24933782,-0.23954569,0.5088313,0.6229704,0.257528,0.4051729,-0.1476449
21,0.4752339,0.286497,"('immoral', 'moral')",-0.5964595,-0.73061955,-0.29125717,-0.30877078,-0.1374943,-0.2509644,0.1134701
56,0.461316,0.4959882,"('impractical', 'practical')",-1.5776664,-1.5146102,0.34903124,0.42474586,-0.2557731,-0.1979587,-0.0578144
17,-0.4433661,-0.23731762,"('nasty', 'nice')",-0.29011405,-0.061335582,0.52273715,0.7680253,-0.0702477,0.1564574,-0.2267051
16,0.4344442,0.21797559,"('unpopular', 'popular')",1.1240971,0.89838773,0.25890136,0.10499436,0.6058142,0.4071192,0.198695
48,-0.40853545,-0.3062865,"('unintelligent', 'intelligent')",-2.1407387,-2.039098,-1.5423063,-1.3451358,-1.3638601,-1.2301734,-0.1336867
25,-0.40380308,-0.79843396,"('egoistic', 'altruistic')",-0.07014946,-0.16387123,0.2456995,-0.088773236,-0.0760843,-0.3503595,0.2742752
65,0.40378332,0.20340478,"('insecure', 'secure')",-0.8384963,-1.0219678,-0.26226482,-0.31117558,-0.232326,-0.3765795,0.1442535
69,-0.40295222,-0.043702945,"('lazy', 'industrious')",1.1849666,1.2048782,0.84940135,0.946151,0.5438052,0.7024421,-0.1586369
71,-0.37187877,-0.2242585,"('diffident', 'self-confident')",-0.05618203,0.06809607,0.8627392,1.0282714,0.1448928,0.290703,-0.1458102
39,0.3670435,0.48782232,"('exploitative', 'cooperative')",-0.4975829,-0.28424582,0.4240157,0.5641574,0.0978254,0.2559113,-0.1580859
24,-0.35416555,-0.3310761,"('dishonest', 'honest')",-1.1140757,-0.89791024,-1.0227666,-0.808297,-0.8303359,-0.6790944,-0.1512415
47,-0.3370112,-0.5895921,"('stupid', 'smart')",-0.8880218,-1.0313728,-0.18058881,-0.27716607,-0.4685406,-0.6327103,0.1641697
14,-0.32583395,0.052851465,"('antisocial', 'social')",-1.3716757,-1.2863401,-0.3379748,-0.12078969,-0.6784948,-0.4514261,-0.2270687
43,0.30702943,0.2482345,"('irresponsible', 'responsible')",-1.9116061,-1.9159417,-0.21545258,-0.13478477,-0.6066764,-0.6008307,-0.0058457
51,-0.29853415,-0.17787325,"('uneducated', 'educated')",-0.3555187,-0.28385228,-0.28405046,-0.056745082,-0.3127011,-0.1728235,-0.1398776
7,-0.29743347,-0.17870744,"('insensitive', 'sensitive')",-1.7016296,-1.6740656,-0.80434674,-0.6200416,-0.9344699,-0.8242715,-0.1101984
29,-0.2888363,-0.071123615,"('unfair', 'fair')",0.13869327,0.43837687,-0.9002175,-0.76913166,-0.3501201,-0.1339595,-0.2161606
3,0.27378544,0.19855848,"('repellent', 'pleasant')",-1.1476014,-1.3677421,-0.21701805,-0.36531734,-0.3636113,-0.5115003,0.147889
82,-0.26835498,-0.55947137,"('poor', 'rich')",-0.35728627,-0.49418104,-0.8979047,-1.0397627,-0.5078487,-0.6978051,0.1899564
63,-0.25440216,-0.047092967,"('unperceptive', 'insightful')",-0.569462,-0.5222183,-0.20880821,-0.11535303,-0.3442241,-0.2282214,-0.1160027
36,-0.25150242,-0.3585267,"('hostile', 'amicable')",0.3135029,0.19247775,0.01691252,-0.24833448,0.0263043,-0.1381278,0.1644321
13,-0.24104188,-0.26525193,"('impolite', 'polite')",-1.6266084,-1.5930787,0.54756916,0.8276268,-0.440027,-0.343568,-0.096459
