,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.1391501,2.1692445,"('exploitative', 'cooperative')",2.1771016,2.2037907,0.11748344,0.23323573,1.4779118,1.5354238,-0.057512
69,1.610415,1.502261,"('lazy', 'industrious')",-0.35935882,-0.6855052,-0.9388955,-1.1510217,0.1040536,-0.111422,0.2154756
82,-1.3133957,-1.1032487,"('poor', 'rich')",-0.10960024,0.04930616,5.9809375,6.1248217,1.5193138,1.690293,-0.1709792
33,1.1933081,1.2122529,"('wrong', 'right')",-0.7301945,-0.8373292,-0.46404356,-0.5962832,-0.00031,-0.0737865,0.0734765
46,-1.1550261,-1.1183469,"('uncompetitive', 'competitive')",1.761718,1.8424742,-0.34426442,-0.29534376,0.0874758,0.1429278,-0.055452
57,-1.1437507,-1.2200208,"('unimaginative', 'imaginative')",-0.24154234,-0.36440164,-2.2666643,-2.3431249,-1.2173191,-1.3091824,0.0918633
86,-1.0412407,-1.1786422,"('uninfluential', 'influential')",0.32406026,0.10149614,0.16712973,-0.2073477,-0.1833502,-0.4281646,0.2448144
73,1.0381533,1.1098485,"('helpless', 'self-reliant')",-0.52874964,-0.4556848,-3.3892043,-3.4370437,-0.9599335,-0.9276266,-0.0323069
52,1.0070356,1.0324783,"('irrational', 'rational')",-1.085878,-1.1837884,-0.015676934,-0.06834022,-0.0315064,-0.0732168,0.0417104
2,1.0037614,1.2047106,"('unlikable', 'likable')",1.473573,1.7098281,0.8029581,0.9414316,1.0934308,1.2853235,-0.1918927
10,-0.9633473,-0.95973027,"('unsympathetic', 'sympathetic')",0.5422077,0.6530845,-0.03964409,-0.21054514,-0.1535946,-0.172397,0.0188024
58,0.9488838,0.49756378,"('undiscriminating', 'discriminating')",1.3794662,1.0245466,0.4763514,0.23137191,0.9349005,0.5844941,0.3504064
71,0.9325024,0.817621,"('diffident', 'self-confident')",-0.064305425,-0.021277526,0.52659637,0.18703905,0.4649311,0.3277942,0.1371369
72,-0.9161959,-0.904815,"('unambitious', 'ambitious')",0.50719833,0.434806,-0.8744504,-1.0565871,-0.427816,-0.5088654,0.0810494
87,0.9052182,0.90411925,"('unsuccessful', 'successful')",1.5890858,1.354515,0.96706694,0.8311897,1.1537903,1.0299412,0.1238491
59,0.8828255,0.9648524,"('foolish', 'wise')",-1.3769354,-1.4716481,0.28135726,0.22752877,-0.0709175,-0.093089,0.0221715
53,-0.8547698,-0.8741399,"('uncreative', 'creative')",-0.22242908,-0.3196426,1.0734903,1.072253,-0.0012362,-0.0405099,0.0392737
