,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,male-female
36,-3.2379713,-3.602221,"('hostile', 'amicable')",-0.848613,-0.83538043,-0.31123146,-0.1491164,-1.4659386,-1.528906,0.0629674
16,-2.9200976,-3.1018324,"('unpopular', 'popular')",-1.6905124,-1.722085,-0.46782967,-0.5322643,-1.6928132,-1.7853939,0.0925807
56,2.8482533,3.2386336,"('impractical', 'practical')",0.78409594,0.7989811,-0.26201797,-0.25125146,1.1234438,1.2621211,-0.1386773
85,-2.779409,-3.320244,"('insignificant', 'prestigious')",-0.12813024,-0.03459996,-0.8274869,-0.66865623,-1.2450086,-1.3411668,0.0961582
62,2.7744825,3.1694322,"('incompetent', 'brilliant')",1.1039112,0.97738314,-0.11217127,-0.19489738,1.2554075,1.317306,-0.0618985
35,-2.6660006,-3.3434486,"('corrupt', 'incorrupt')",-1.5078026,-1.4213202,-0.7867064,-0.7216877,-1.6535033,-1.8288188,0.1753155
70,2.5679653,2.6377456,"('lethargic', 'energetic')",1.5646131,1.3613348,0.80671155,0.528094,1.64643,1.5090582,0.1373718
46,2.4973762,2.6519682,"('uncompetitive', 'competitive')",1.319122,1.1292032,-0.24498868,-0.35837612,1.1905032,1.1409318,0.0495714
23,2.4800668,2.8832965,"('insincere', 'sincere')",0.32155535,0.2441228,6.1083336,6.282821,2.9699853,3.1367467,-0.1667614
39,2.3272603,2.501958,"('exploitative', 'cooperative')",-0.37189484,-0.23111989,0.39154342,0.6073484,0.7823029,0.9593955,-0.1770926
52,-2.2823246,-2.6549475,"('irrational', 'rational')",-1.0707018,-0.89177173,-0.5916281,-0.49660134,-1.3148848,-1.3477736,0.0328888
31,-2.2570279,-2.638351,"('evil', 'good')",-0.8593867,-0.9618385,-0.97298014,-1.1437559,-1.3631315,-1.581315,0.2181835
76,2.2448163,2.5240686,"('anxious', 'daring')",0.3297139,0.35785827,-0.014373385,-0.01183477,0.8533856,0.9566973,-0.1033117
60,2.228712,3.0990973,"('inefficient', 'efficient')",0.44898224,0.38572034,0.08813603,-0.040436033,0.9219434,1.1481272,-0.2261838
4,-2.2031102,-2.5190527,"('disliked', 'liked')",0.35354182,0.31609544,-7.121152,-7.28786,-2.9902401,-3.1636057,0.1733656
30,2.0936184,2.5740025,"('intolerant', 'tolerant')",1.4372263,1.4508629,0.43628147,0.41143584,1.3223754,1.4787671,-0.1563917
59,-2.0834897,-2.0189548,"('foolish', 'wise')",-0.3429133,-0.1544354,-0.30185205,-0.18701941,-0.9094183,-0.7868032,-0.1226151
43,2.0201929,2.3844407,"('irresponsible', 'responsible')",0.48450714,0.4255125,0.6956777,0.6610351,1.0667926,1.1569961,-0.0902035
55,1.9906547,2.661083,"('incompetent', 'clever')",0.25867382,0.15065973,0.235282,0.08622766,0.8282035,0.9659901,-0.1377866
81,1.9778748,2.5405357,"('submissive', 'aggressive')",1.4276104,1.2431873,-0.42630753,-0.5570143,0.9930592,1.0755696,-0.0825104
6,-1.9595962,-2.3069887,"('distant', 'open')",-0.3482679,-0.4164761,-0.28174248,-0.37274206,-0.8632023,-1.0320689,0.1688666
24,1.8972127,2.100949,"('dishonest', 'honest')",-0.4790629,-0.55613935,0.7777328,0.7643825,0.7319609,0.7697307,-0.0377698
14,1.7497213,2.4264882,"('antisocial', 'social')",1.5216485,1.6097063,0.3818139,0.33405495,1.217728,1.4567498,-0.2390218
10,1.7448957,2.3441973,"('unsympathetic', 'sympathetic')",-0.18647659,-0.2674374,0.17837542,0.031797387,0.5789315,0.7028524,-0.1239209
5,-1.613294,-1.8586828,"('distant', 'outgoing')",-0.079760805,-0.12738109,-0.49483663,-0.5966979,-0.7292972,-0.8609206,0.1316234
69,-1.5957031,-1.8140537,"('lazy', 'industrious')",0.18251017,0.24405481,-1.2556427,-1.1957633,-0.8896119,-0.9219208,0.0323089
80,1.5830688,1.8767004,"('dominated', 'dominating')",0.2510295,0.06268275,-0.4389603,-0.4880507,0.465046,0.4837775,-0.0187315
45,1.5575111,1.607482,"('incompetent', 'competent')",0.5204376,0.27092978,0.02215901,-0.24608234,0.7000359,0.5441098,0.1559261
11,1.5408163,1.819097,"('unhelpful', 'helpful')",0.17544308,0.065325245,2.1090097,2.1306493,1.2750897,1.3383573,-0.0632676
