,sunoco_male,sunoco_female,tuple,inc_male,inc_female,average_male,average_female,male-female
70,-1.8594867,-1.2382883,"('lethargic', 'energetic')",-0.08250154,0.5185705,-0.9709941,-0.3598589,-0.6111352
10,-1.8403274,-1.539054,"('unsympathetic', 'sympathetic')",-0.80118394,-0.54076463,-1.3207557,-1.0399094,-0.2808463
45,-1.7740326,-1.5438507,"('incompetent', 'competent')",-0.44838163,-0.42558062,-1.1112071,-0.9847156,-0.1264915
43,-1.4175925,-0.829771,"('irresponsible', 'responsible')",0.015729826,0.56583023,-0.7009314,-0.1319704,-0.568961
82,-1.3724966,-0.9785276,"('poor', 'rich')",5.984434,6.615357,2.3059688,2.8184147,-0.5124459
46,-1.2990863,-0.9785572,"('uncompetitive', 'competitive')",-0.8861465,-0.7099987,-1.0926164,-0.844278,-0.2483384
57,-1.2886399,-1.0638394,"('unimaginative', 'imaginative')",-2.8483708,-2.920171,-2.0685053,-1.9920052,-0.0765001
55,-1.273055,-1.2239038,"('incompetent', 'clever')",0.07961482,-0.19464557,-0.5967201,-0.7092746,0.1125545
85,1.2296963,1.1527677,"('insignificant', 'prestigious')",0.8426318,0.49197862,1.036164,0.8223732,0.2137908
13,-1.2289035,-0.7527299,"('impolite', 'polite')",-0.69331867,-0.30401886,-0.9611111,-0.5283744,-0.4327367
42,-1.13127,-0.38322613,"('unreliable', 'reliable')",-3.8444595,-3.2604482,-2.4878647,-1.8218372,-0.6660275
22,-1.0705365,-1.000388,"('untrustworthy', 'trustworthy')",-1.065547,-0.9982558,-1.0680418,-0.9993219,-0.0687199
86,-1.0693744,-0.7721243,"('uninfluential', 'influential')",-0.06530112,-0.21457195,-0.5673378,-0.4933481,-0.0739897
28,-1.0393249,-0.9477625,"('disloyal', 'loyal')",0.8671399,0.813269,-0.0860925,-0.0672467,-0.0188458
68,-1.0325693,-1.0519401,"('dependent', 'independent')",-0.09729354,-0.2022318,-0.5649314,-0.6270859,0.0621545
33,1.0160482,0.8935732,"('wrong', 'right')",-0.112815276,-0.36543602,0.4516165,0.2640686,0.1875479
81,-1.014348,-0.75720495,"('submissive', 'aggressive')",-1.2169812,-0.8909278,-1.1156646,-0.8240664,-0.2915982
69,0.9863044,0.9466833,"('lazy', 'industrious')",-0.54476607,-0.7482742,0.2207692,0.0992045,0.1215647
53,-0.9615109,-0.76109445,"('uncreative', 'creative')",0.80830324,0.91377205,-0.0766038,0.0763388,-0.1529426
