,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
85,4.2372518,4.0190544,"('insignificant', 'prestigious')",3.289329,3.3071785,4.436925,4.1025577,0.2969357,0.42819333,3.0651104,2.964246,0.1008644
10,-4.091146,-4.427358,"('unsympathetic', 'sympathetic')",-2.522699,-2.9728694,-3.148375,-3.5864582,-0.7205617,-0.7617265,-2.6206956,-2.937103,0.3164074
69,3.5500278,3.6001487,"('lazy', 'industrious')",3.4584408,3.7564657,3.1836557,3.4098897,-0.5802754,-0.41837883,2.4029622,2.5870314,-0.1840692
13,-3.3979917,-3.2673244,"('impolite', 'polite')",-2.1999433,-2.3316832,-2.0795684,-1.9586153,-0.27912357,-0.48080274,-1.9891567,-2.0096064,0.0204497
35,3.3973272,3.6379433,"('corrupt', 'incorrupt')",1.7916826,2.1634514,2.1164386,2.4824529,-0.20045663,0.013654942,1.776248,2.0743756,-0.2981276
60,-3.3651013,-3.545231,"('inefficient', 'efficient')",-2.1485722,-2.558198,-1.149987,-1.3336152,-0.07084413,-0.26924405,-1.6836263,-1.9265721,0.2429458
70,-3.3215883,-3.4494312,"('lethargic', 'energetic')",-1.5473291,-1.8663535,-1.8755786,-2.164636,-0.39287454,-0.49624848,-1.7843428,-1.9941671,0.2098243
55,-3.186814,-3.4846148,"('incompetent', 'clever')",-1.5637337,-2.1615896,-1.8687159,-2.1536486,0.13258101,-0.085941255,-1.6216706,-1.9714487,0.3497781
65,-3.1654804,-3.375662,"('insecure', 'secure')",-1.4964085,-1.8226875,-2.7439184,-2.9818206,-0.21368939,-0.3654419,-1.9048742,-2.1364031,0.2315289
81,-3.056183,-3.1274002,"('submissive', 'aggressive')",-1.8153087,-1.8950651,-2.1895127,-2.370201,-1.2159714,-1.245395,-2.0692439,-2.1595154,0.0902715
45,-2.9971132,-3.4432697,"('incompetent', 'competent')",-2.0852742,-2.720926,-1.3667775,-1.6859554,-1.1343795,-1.2480768,-1.8958861,-2.2745571,0.378671
14,-2.846862,-3.025313,"('antisocial', 'social')",-1.6288072,-1.9868338,-1.897965,-2.043907,-0.85538495,-1.0481966,-1.8072548,-2.0260627,0.2188079
46,-2.7149863,-2.9656672,"('uncompetitive', 'competitive')",-0.21179025,-0.64222956,-1.8820156,-2.2702363,-0.93197405,-1.109433,-1.4351915,-1.7468915,0.3117
21,-2.6986084,-2.970661,"('immoral', 'moral')",-1.1624348,-1.4939291,-2.9303143,-3.0156016,-1.2318738,-1.4384547,-2.0058079,-2.2296617,0.2238538
0,-2.6889668,-2.774111,"('unsociable', 'sociable')",-1.0506681,-1.2994161,-0.7105495,-1.036157,-0.20204176,-0.37893406,-1.1630565,-1.3721546,0.2090981
30,-2.6469557,-2.7110384,"('intolerant', 'tolerant')",-3.2383685,-3.4850938,-1.2459017,-1.4308798,-0.14098065,-0.14758755,-1.8180517,-1.94365,0.1255983
11,-2.629405,-2.6934738,"('unhelpful', 'helpful')",-2.4208548,-2.5815282,-1.2844993,-1.3583775,1.8609074,1.8479836,-1.1184628,-1.1963489,0.0778861
3,-2.501845,-2.5058043,"('repellent', 'pleasant')",-0.6353006,-0.7498462,-2.273886,-2.410233,0.07343751,-0.06815987,-1.3343985,-1.4335109,0.0991124
6,2.406904,2.4626462,"('distant', 'open')",1.1826376,1.3564515,2.2209558,2.2724683,-0.22045673,0.05050268,1.3975102,1.5355172,-0.138007
