,devon_male,devon_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
85,-3.8670323,-3.8770218,"('insignificant', 'prestigious')",-0.1495086,-0.06428973,-1.2506814,-1.3849232,-1.7557408,-1.7754116,0.0196708
36,-3.6250715,-3.7667978,"('hostile', 'amicable')",-1.0055379,-1.1731765,-1.1303926,-1.6137713,-1.920334,-2.1845819,0.2642479
31,-3.486386,-3.4068568,"('evil', 'good')",-1.2549117,-1.2283307,-1.8141184,-2.0407615,-2.1851387,-2.2253164,0.0401777
60,3.248313,3.362593,"('inefficient', 'efficient')",1.9556586,2.058281,0.93449384,1.2315816,2.0461551,2.2174851,-0.17133
69,-3.238604,-3.3608193,"('lazy', 'industrious')",0.7497133,0.77538353,-1.4639192,-1.3755543,-1.3176033,-1.3203301,0.0027268
62,3.204029,3.4434023,"('incompetent', 'brilliant')",0.82764596,0.7946827,1.0854158,1.2754204,1.7056969,1.837835,-0.1321381
35,-2.8864443,-3.2837486,"('corrupt', 'incorrupt')",-0.70434964,-0.95599484,-1.2939317,-1.633234,-1.6282419,-1.9576591,0.3294172
80,2.8627753,2.7953885,"('dominated', 'dominating')",0.35542926,0.30889148,-0.048179172,0.42749715,1.0566751,1.177259,-0.1205839
55,2.8624747,3.1156783,"('incompetent', 'clever')",-0.12652674,-0.19083735,0.54934907,0.7771247,1.095099,1.2339885,-0.1388895
6,-2.7411928,-2.6766331,"('distant', 'open')",-0.56452185,-0.43887076,-1.0635237,-1.4542987,-1.4564128,-1.5232674,0.0668546
76,2.694923,2.83091,"('anxious', 'daring')",-0.006150227,-0.10178102,0.58052605,0.5929058,1.0897663,1.1073449,-0.0175786
46,2.5901055,3.06531,"('uncompetitive', 'competitive')",0.2795806,0.48239404,-0.27613246,0.12884018,0.8645178,1.2255147,-0.3609969
81,2.5529442,2.5657952,"('submissive', 'aggressive')",1.840144,1.5480136,0.2766715,0.3632052,1.5565866,1.4923379,0.0642487
24,2.5043664,2.9207704,"('dishonest', 'honest')",0.35066187,0.6037838,1.0510626,1.043778,1.3020302,1.5227774,-0.2207472
79,-2.4737284,-2.392062,"('wavering', 'unwavering')",-0.78014517,-0.74850637,-0.7317534,-0.98850286,-1.3285423,-1.3763571,0.0478148
21,2.463297,2.540099,"('immoral', 'moral')",1.5016662,1.5042341,0.03228026,0.10679622,1.3324144,1.3837097,-0.0512953
