,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.6570365,-3.686606,"('unsympathetic', 'sympathetic')",-0.81031287,-0.97972775,-0.19180775,-0.46849865,-1.5530524,-1.7116108,0.1585584
43,-3.1499634,-3.258686,"('irresponsible', 'responsible')",-1.3756026,-1.6498921,-0.06499738,-0.3464622,-1.5301878,-1.7516801,0.2214923
45,-3.0386605,-3.0333557,"('incompetent', 'competent')",-1.1537908,-1.3310826,-0.42865184,-0.57372385,-1.5403678,-1.6460539,0.1056861
69,3.0365505,3.1194386,"('lazy', 'industrious')",0.921624,1.1128545,-0.98569375,-0.68733567,0.9908269,1.1816525,-0.1908256
85,2.6642482,2.9729087,"('insignificant', 'prestigious')",1.0761255,1.4315888,-0.21166298,0.24802938,1.1762369,1.5508423,-0.3746054
60,-2.3079667,-2.4331973,"('inefficient', 'efficient')",0.40221256,0.10105776,-0.24883702,-0.55415404,-0.718197,-0.9620978,0.2439008
24,-2.277034,-2.2832508,"('dishonest', 'honest')",-1.3114101,-1.464085,0.28140724,0.2156558,-1.1023456,-1.1772267,0.0748811
23,-2.2224355,-2.2076674,"('insincere', 'sincere')",-0.24629007,-0.3069398,5.668662,5.4703627,1.0666455,0.9852518,0.0813937
56,-2.1981664,-2.3213027,"('impractical', 'practical')",-0.75855434,-1.0065798,-1.1470752,-1.3389415,-1.367932,-1.555608,0.187676
0,-2.1789262,-2.2902846,"('unsociable', 'sociable')",-0.49029297,-0.70162666,-0.21888159,-0.4695893,-0.9627003,-1.1538335,0.1911332
35,2.1541343,2.3058796,"('corrupt', 'incorrupt')",-0.34011644,-0.06979064,-0.8332856,-0.5386729,0.3269107,0.5658054,-0.2388947
70,-2.1110826,-2.2400103,"('lethargic', 'energetic')",-0.27337223,-0.39449397,0.59309936,0.29087976,-0.5971185,-0.7812082,0.1840897
13,-2.10142,-2.369333,"('impolite', 'polite')",-0.39595214,-0.7656823,-0.5568204,-0.8224254,-1.0180642,-1.3191469,0.3010827
55,-2.0988135,-2.1974344,"('incompetent', 'clever')",0.6052132,0.45268628,0.3033778,0.08101214,-0.3967408,-0.5545787,0.1578379
30,-2.044214,-2.0629203,"('intolerant', 'tolerant')",1.0397717,0.90558654,0.32891273,0.27255347,-0.2251765,-0.2949268,0.0697503
11,-2.0077147,-2.0812821,"('unhelpful', 'helpful')",0.78487283,0.58844626,1.6183869,1.4508119,0.1318483,-0.014008,0.1458563
63,-1.97304,-1.9728597,"('unperceptive', 'insightful')",-0.079001084,-0.21523274,0.5443279,0.41043606,-0.502571,-0.5925521,0.0899811
28,-1.9080064,-1.7393812,"('disloyal', 'loyal')",0.15010256,0.14938621,1.009455,0.989163,-0.2494829,-0.2002773,-0.0492056
38,-1.8959311,-1.753452,"('untruthful', 'truthful')",-0.9375428,-0.81496435,-0.580835,-0.5471969,-1.138103,-1.0385377,-0.0995653
86,-1.861703,-1.803115,"('uninfluential', 'influential')",0.10878842,-0.016318735,-0.19060725,-0.31737855,-0.6478407,-0.7122707,0.06443
46,-1.8592466,-2.0355482,"('uncompetitive', 'competitive')",0.11977259,-0.07277158,-0.9561677,-1.27128,-0.8985473,-1.1265333,0.227986
57,-1.7798967,-1.6274295,"('unimaginative', 'imaginative')",0.027102761,0.054300357,-2.725861,-2.7694952,-1.492885,-1.4475416,-0.0453434
41,-1.7507877,-1.2511894,"('unforgiving', 'forgiving')",-0.58190143,-0.33546972,0.1042965,0.26478216,-0.7427976,-0.4406256,-0.302172
25,1.6411864,1.7489389,"('egoistic', 'altruistic')",1.3130803,1.4897051,1.2248623,1.3726143,1.3930429,1.5370862,-0.1440433
75,1.6277008,1.7328523,"('meek', 'impulsive')",-0.036830947,0.10890423,-0.76116896,-0.692233,0.276567,0.3831745,-0.1066075
36,1.6261854,1.9934703,"('hostile', 'amicable')",-0.47814175,-0.12923762,-0.06705919,0.30563125,0.3603282,0.723288,-0.3629598
22,-1.53111,-1.6327065,"('untrustworthy', 'trustworthy')",-0.596363,-0.7269652,-0.66099775,-0.8080068,-0.9294902,-1.0558928,0.1264026
21,-1.4876552,-1.5740283,"('immoral', 'moral')",0.43150902,0.24077691,-0.6241713,-0.87979746,-0.5601058,-0.737683,0.1775772
65,-1.4043057,-1.6686537,"('insecure', 'secure')",-0.52723646,-0.73496747,-0.019677702,-0.30037075,-0.6504066,-0.9013306,0.250924
14,-1.3989514,-1.5040811,"('antisocial', 'social')",0.60164243,0.40561092,0.06725767,-0.16073236,-0.2433504,-0.4197342,0.1763838
81,-1.3880749,-1.4971241,"('submissive', 'aggressive')",0.707527,0.5560491,-0.77278745,-1.0567464,-0.4844451,-0.6659404,0.1814953
51,-1.3240647,-1.2892828,"('uneducated', 'educated')",0.16739643,0.25429678,0.64966685,0.6238063,-0.1690005,-0.1370599,-0.0319406
62,-1.301389,-1.4196224,"('incompetent', 'brilliant')",0.5498368,0.30482215,0.01856533,-0.21272358,-0.2443289,-0.4425079,0.198179
31,1.2816062,1.6552315,"('evil', 'good')",-0.390386,-0.17523491,-1.0645382,-0.6927078,-0.0577727,0.2624296,-0.3202023
7,-1.2162185,-1.3162504,"('insensitive', 'sensitive')",0.5617608,0.33231682,0.98027515,0.71304184,0.1086058,-0.0902973,0.1989031
32,-1.1923326,-1.1794709,"('unkind', 'kind')",-0.27528813,-0.36164907,0.821764,0.787909,-0.2152856,-0.2510703,0.0357847
73,1.175466,1.1888118,"('helpless', 'self-reliant')",0.33662656,0.41111785,-3.560283,-3.3579535,-0.6827302,-0.586008,-0.0967222
74,-1.1749244,-1.0953959,"('undedicated', 'dedicated')",-0.14137429,-0.27293155,-0.27480817,-0.27578744,-0.530369,-0.5480383,0.0176693
76,-1.1203028,-1.4079325,"('anxious', 'daring')",-0.42480177,-0.61723936,-0.3929987,-0.6857079,-0.6460344,-0.9036266,0.2575922
82,-1.0902194,-1.1114745,"('poor', 'rich')",0.007891607,-0.09547984,6.124577,5.827405,1.6807497,1.5401502,0.1405995
3,-1.0540524,-1.1156144,"('repellent', 'pleasant')",0.10982727,0.0723411,0.9892021,0.7918997,0.0149923,-0.0837912,0.0987835
33,1.0183331,1.1175549,"('wrong', 'right')",0.66263306,0.683649,-0.6296429,-0.3773365,0.3504411,0.4746225,-0.1241814
27,-1.0116546,-1.0307568,"('hardhearted', 'softhearted')",0.11590541,-0.016841453,1.3826914,1.5157186,0.1623141,0.1560401,0.006274
72,-0.9854054,-0.7782301,"('unambitious', 'ambitious')",-0.8519491,-0.6692314,-0.31951958,-0.3526701,-0.718958,-0.6000439,-0.1189141
79,0.937643,1.0445203,"('wavering', 'unwavering')",-1.2850543,-1.1377143,-0.643767,-0.46981972,-0.3303928,-0.1876712,-0.1427216
59,0.93178797,0.93715596,"('foolish', 'wise')",0.26681578,0.28584278,-0.22220129,-0.087342575,0.3254675,0.378552,-0.0530845
34,-0.91399115,-0.8728531,"('mean', 'honorable')",-0.000562869,0.00639721,5.631131,5.4875865,1.5721924,1.5403768,0.0318156
37,-0.8142873,-0.75148463,"('fake', 'genuine')",0.2083397,0.20402604,0.10788579,0.08156581,-0.1660206,-0.1552976,-0.010723
9,-0.79262245,-0.6052891,"('unaffectionate', 'caring')",0.48201776,0.6079425,1.263328,1.4469341,0.3175744,0.4831959,-0.1656215
50,0.7881791,0.8571056,"('clumsy', 'skillful')",0.3677548,0.55448693,0.05285778,0.25722298,0.4029305,0.5562718,-0.1533413
16,0.7809858,0.88168144,"('unpopular', 'popular')",-0.14149915,0.08929355,0.086716734,0.24644369,0.2420678,0.4058062,-0.1637384
42,-0.75944793,-0.8293481,"('unreliable', 'reliable')",-1.5946901,-1.5455676,-3.2336342,-3.113936,-1.8625908,-1.8296172,-0.0329736
12,-0.740266,-0.62288547,"('unsupportive', 'supportive')",0.721629,0.69946283,-1.7106932,-1.6967272,-0.5764434,-0.54005,-0.0363934
48,-0.72512513,-0.57146865,"('unintelligent', 'intelligent')",1.6524478,1.7406754,0.69815797,0.72005844,0.5418269,0.6297551,-0.0879282
66,0.7214016,0.65379024,"('inactive', 'active')",-0.43352303,-0.31530517,1.049863,1.0898329,0.4459138,0.476106,-0.0301922
1,-0.7028892,-0.31483474,"('unfriendly', 'friendly')",0.018392716,0.1872173,1.0340222,1.2638845,0.1165086,0.3787557,-0.2622471
4,0.6825481,0.92601645,"('disliked', 'liked')",-0.8455718,-0.5676398,-7.0793324,-6.819457,-2.4141188,-2.1536935,-0.2604253
47,-0.6715435,-0.8145288,"('stupid', 'smart')",0.5021116,0.31834537,5.125194,5.037571,1.6519208,1.5137959,0.1381249
2,0.65289515,0.6511989,"('unlikable', 'likable')",0.45314282,0.4148007,0.424101,0.4712692,0.5100463,0.512423,-0.0023767
71,0.648332,0.7277271,"('diffident', 'self-confident')",0.74289423,0.77638286,0.28243044,0.4533145,0.5578856,0.6524748,-0.0945892
29,-0.6461998,-0.5762636,"('unfair', 'fair')",-0.6217523,-0.54040384,-0.30959484,-0.25205445,-0.525849,-0.4562407,-0.0696083
68,-0.6303483,-0.720354,"('dependent', 'independent')",-0.3714717,-0.41485718,-0.99990475,-1.037304,-0.6672416,-0.7241718,0.0569302
53,-0.604427,-0.41232777,"('uncreative', 'creative')",0.6684397,0.7839521,0.46940178,0.55432475,0.1778048,0.3086497,-0.1308449
26,0.5548943,0.73489517,"('hardhearted', 'benevolent')",0.6713207,0.78422767,1.7527505,1.9492123,0.9929885,1.1561117,-0.1631232
52,0.54777277,0.72373277,"('irrational', 'rational')",-0.08445897,0.07031188,0.020195141,0.35118076,0.1611696,0.3817418,-0.2205722
