,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.3793893,-2.730824,"('unfriendly', 'friendly')",-0.16246028,-0.54868364,1.3492907,1.0358135,-0.3975196,-0.7478981,0.3503785
53,-1.8952758,-1.8721011,"('uncreative', 'creative')",-0.7148241,-0.86355495,0.58538085,0.42611682,-0.6749063,-0.7698464,0.0949401
8,-1.7349453,-2.1152346,"('unaffectionate', 'affectionate')",-1.0175791,-1.212017,0.06399113,-0.18912809,-0.8961778,-1.1721266,0.2759488
36,-1.7196951,-1.9780893,"('hostile', 'amicable')",0.1502107,-0.17836878,1.0138378,0.48003164,-0.1852155,-0.5588088,0.3735933
9,-1.5273924,-1.7295473,"('unaffectionate', 'caring')",-0.31865114,-0.3738023,0.7247605,0.56637144,-0.373761,-0.5123261,0.1385651
6,-1.4924728,-1.5537937,"('distant', 'open')",-0.21426374,-0.09694583,-0.04722795,-0.09114081,-0.5846548,-0.5806268,-0.004028
18,-1.4213659,-1.3472593,"('disagreeable', 'welcoming')",0.47580048,0.40861392,-1.291894,-1.3129109,-0.7458197,-0.7505188,0.0046991
25,-1.3952339,-1.559107,"('egoistic', 'altruistic')",0.06821592,-0.066379555,1.263661,0.8629392,-0.021119,-0.2541824,0.2330634
77,-1.3505858,-1.2637024,"('unmotivated', 'motivated')",-0.17319523,-0.1910277,-0.9582974,-0.98782325,-0.8273595,-0.8141844,-0.0131751
41,-1.2633153,-1.3409841,"('unforgiving', 'forgiving')",-0.11647421,-0.18071452,0.37181294,0.15576378,-0.3359922,-0.4553116,0.1193194
85,-1.247903,-1.5496035,"('insignificant', 'prestigious')",-0.91595906,-1.1405492,-0.16768432,-0.6798753,-0.7771821,-1.1233427,0.3461606
19,-1.1427792,-1.1224744,"('inhospitable', 'hospitable')",-1.0542002,-1.1560886,-0.9475426,-0.8182039,-1.0481741,-1.0322556,-0.0159185
31,-1.1410911,-1.3187953,"('evil', 'good')",-0.47119567,-0.5593419,-0.23087063,-0.36936516,-0.6143858,-0.7491674,0.1347816
86,-1.1295999,-1.082723,"('uninfluential', 'influential')",-0.3397708,-0.108635515,-0.12235139,-0.15530255,-0.530574,-0.448887,-0.081687
40,-1.1261144,-0.95402664,"('stingy', 'generous')",0.003521094,0.21780887,-1.2359264,-1.4300071,-0.7861732,-0.722075,-0.0640982
88,-1.1087618,-1.1783824,"('low', 'eminent')",-0.47253275,-0.7418781,-0.010697466,-0.06123272,-0.530664,-0.6604977,0.1298337
52,-1.0849713,-1.5386351,"('irrational', 'rational')",-1.0340656,-1.1218524,-0.26737773,-0.37002704,-0.7954715,-1.0101716,0.2147001
57,-1.0671142,-1.2757677,"('unimaginative', 'imaginative')",-0.0578067,-0.25756517,-1.2805885,-1.5479598,-0.8018365,-1.0270975,0.225261
34,-1.0474674,-0.9356485,"('mean', 'honorable')",0.07480529,0.2609477,3.2305007,3.3482873,0.7526129,0.8911955,-0.1385826
27,-1.0316011,-1.1618698,"('hardhearted', 'softhearted')",-0.6552199,-0.7171875,-0.22709286,-0.32665655,-0.6379713,-0.7352379,0.0972666
26,-1.0168386,-1.2726699,"('hardhearted', 'benevolent')",1.2938852,1.020199,2.3847241,1.989021,0.8872569,0.57885,0.3084069
64,0.97051764,0.84545374,"('shy', 'confident')",0.81599367,0.82945234,-3.5203104,-3.635167,-0.577933,-0.6534203,0.0754873
32,-0.9696565,-1.0026821,"('unkind', 'kind')",-0.7792198,-0.93117917,-0.12821615,-0.27501327,-0.6256975,-0.7362915,0.110594
28,-0.93235976,-1.1205658,"('disloyal', 'loyal')",-0.7021761,-0.95510787,0.33939546,0.15337434,-0.4317134,-0.6407664,0.209053
48,-0.91830117,-0.95102966,"('unintelligent', 'intelligent')",-0.59789014,-0.7247897,-0.45751444,-0.6309391,-0.6579019,-0.7689195,0.1110176
20,-0.8689799,-0.63620025,"('rough', 'thoughtful')",0.009114854,0.057771876,0.98036504,0.91247797,0.0401667,0.1113499,-0.0711832
80,0.8654375,0.97992617,"('dominated', 'dominating')",0.20741293,0.57043326,0.6644372,0.8769149,0.5790959,0.8090915,-0.2299956
15,-0.8457384,-1.1533655,"('boring', 'funny')",0.036107004,-0.16997617,-0.14150643,-0.14153206,-0.3170459,-0.4882912,0.1712453
23,-0.83241904,-0.8135846,"('insincere', 'sincere')",-0.51658463,-0.5376576,3.2707548,3.2563493,0.6405837,0.6350357,0.005548
87,0.8235667,0.81515926,"('unsuccessful', 'successful')",1.7025914,1.8750917,1.9094762,1.8512734,1.4785447,1.5138415,-0.0352968
63,-0.82240176,-0.6559431,"('unperceptive', 'insightful')",0.5387182,0.62311727,0.7601965,0.8228321,0.1588377,0.2633354,-0.1044977
81,0.8148627,0.7899918,"('submissive', 'aggressive')",0.38944864,0.36881006,-0.83066785,-0.85854566,0.1245478,0.1000854,0.0244624
10,-0.80289996,-0.91388077,"('unsympathetic', 'sympathetic')",-1.182574,-1.2565525,-0.9603853,-1.1909552,-0.9819531,-1.1204628,0.1385097
47,-0.77581066,-0.58532035,"('stupid', 'smart')",-0.67702985,-0.550576,3.7676766,4.0289717,0.771612,0.9643585,-0.1927465
49,-0.7641188,-0.82936317,"('unable', 'able')",-0.5374188,-0.67199266,-0.9423103,-0.8749266,-0.7479493,-0.7920942,0.0441449
56,0.7562001,0.92982924,"('impractical', 'practical')",1.2998928,1.4729034,0.60806787,0.935516,0.8880536,1.1127496,-0.224696
72,-0.7483269,-0.4374111,"('unambitious', 'ambitious')",-0.2603448,0.20907333,0.6521965,0.75259596,-0.1188251,0.1747527,-0.2935778
0,-0.7360154,-1.0366081,"('unsociable', 'sociable')",0.17464454,-0.13729402,-0.46372944,-0.77657783,-0.3417001,-0.65016,0.3084599
58,-0.7235726,-0.4952332,"('undiscriminating', 'discriminating')",0.61464435,0.6846082,0.7125999,0.6490456,0.2012239,0.2794735,-0.0782496
43,-0.68257296,-0.65320224,"('irresponsible', 'responsible')",0.25786778,0.28021216,0.78934985,0.7858366,0.1215482,0.1376155,-0.0160673
