,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.8791524,1.7570561,"('diffident', 'self-confident')",1.9498012,1.9826127,0.05846946,0.1283899,1.2958078,1.2893529,0.0064549
17,-1.6159959,-1.1991216,"('nasty', 'nice')",-0.26212558,-0.02189454,-0.6503331,-0.4329015,-0.8428182,-0.5513059,-0.2915123
3,-1.5893664,-1.5839976,"('repellent', 'pleasant')",-1.8158156,-1.8777583,0.6791035,0.68483824,-0.9086928,-0.9256392,0.0169464
33,1.4675673,1.4729261,"('wrong', 'right')",1.7506938,1.5999589,-0.7974031,-0.7499696,0.8069527,0.7743052,0.0326475
25,1.4673319,1.533462,"('egoistic', 'altruistic')",2.1081333,1.8513554,1.2859453,1.3252759,1.6204702,1.5700312,0.050439
45,-1.3934275,-1.5593551,"('incompetent', 'competent')",-0.653126,-0.9067178,-0.3610284,-0.7322059,-0.8025273,-1.066093,0.2635657
10,-1.35211,-1.372936,"('unsympathetic', 'sympathetic')",-0.94845945,-0.8952836,0.19326615,-0.2748326,-0.7024345,-0.8476841,0.1452496
57,-1.2621508,-1.3062885,"('unimaginative', 'imaginative')",-0.8003481,-1.0196294,-3.4634297,-3.7118409,-1.8419762,-2.0125863,0.1706101
9,1.2172458,1.250574,"('unaffectionate', 'caring')",2.0345223,1.96843,1.0628626,0.74305457,1.4382102,1.3206863,0.1175239
76,-1.2033969,-1.2176225,"('anxious', 'daring')",-0.62289673,-0.49281943,0.050245978,-0.05625446,-0.5920159,-0.5888988,-0.0031171
67,1.1873329,1.00923,"('doubtful', 'determined')",0.42691213,0.5971017,0.002366038,-0.02702105,0.5388703,0.5264369,0.0124334
68,-1.1764729,-1.4538525,"('dependent', 'independent')",-1.5888368,-1.8176787,-1.4424475,-1.4930967,-1.4025858,-1.5882093,0.1856235
55,-1.1660883,-1.4124043,"('incompetent', 'clever')",-0.96669626,-1.0443175,0.45290813,0.23608549,-0.5599588,-0.7402121,0.1802533
1,1.1614398,1.2491732,"('unfriendly', 'friendly')",2.1154006,2.002141,1.6534386,1.2741779,1.6434263,1.5084974,0.1349289
39,1.135857,1.3079671,"('exploitative', 'cooperative')",1.1249408,1.3648822,0.26388514,0.5172221,0.841561,1.0633571,-0.2217961
53,1.1189874,1.1577396,"('uncreative', 'creative')",0.9975607,0.8274273,0.47753665,0.23175317,0.8646949,0.7389734,0.1257215
