,mccormick_male,mccormick_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,2.3441086,2.4698143,"('insignificant', 'prestigious')",2.4180257,2.493927,1.8514774,2.0072536,1.3020195,1.773895,1.9789079,2.1862226,-0.2073147
69,2.3087797,2.1150358,"('lazy', 'industrious')",1.7760532,1.5371463,3.1934779,3.1652513,0.077399164,0.2843061,1.8389275,1.7754349,0.0634926
71,2.1949384,2.0756187,"('diffident', 'self-confident')",0.43637335,0.43673855,-0.07589574,-0.11760361,0.8048223,0.84070766,0.8400596,0.8088653,0.0311943
5,2.169547,1.9685612,"('distant', 'outgoing')",1.1033943,0.9816557,1.1218647,1.0139586,0.49213904,0.51244664,1.2217362,1.1191554,0.1025808
74,2.11213,2.1761913,"('undedicated', 'dedicated')",0.51904845,0.5931013,-0.21066272,-0.22000857,0.39000437,0.2877932,0.70263,0.7092693,-0.0066393
6,2.0946786,2.0968385,"('distant', 'open')",1.3391297,1.3249302,0.71539444,0.7908818,1.0807328,1.1513448,1.3074839,1.3409988,-0.0335149
82,-1.9346404,-1.6401272,"('poor', 'rich')",-0.71089983,-0.73682284,-1.2502086,-1.2015432,5.9986625,5.8206525,0.5257284,0.5605398,-0.0348114
12,1.8289243,1.8855006,"('unsupportive', 'supportive')",0.44082776,0.48919514,-0.92011213,-0.8795387,-1.3787887,-1.3214885,-0.0072872,0.0434171,-0.0507043
30,-1.8203481,-1.7977351,"('intolerant', 'tolerant')",-0.8273337,-0.73691356,-1.2513666,-1.3000922,0.6723836,0.5590531,-0.8066662,-0.8189219,0.0122557
9,1.8085917,2.0605984,"('unaffectionate', 'caring')",0.5368173,0.85183674,-0.19560455,0.045409773,1.900603,2.0439699,1.0126019,1.2504537,-0.2378518
19,1.7927315,1.752608,"('inhospitable', 'hospitable')",-0.098179124,-0.039023217,-0.20701072,-0.20674255,0.30875087,0.33396512,0.4490731,0.4602019,-0.0111288
44,-1.7868313,-2.1462777,"('prejudiced', 'unprejudiced')",-1.5610813,-1.7687693,-1.0660411,-1.1459744,-2.0109448,-1.9160447,-1.6062247,-1.7442665,0.1380418
65,-1.7718079,-1.5326192,"('insecure', 'secure')",-0.9900458,-0.8165488,-2.185388,-2.101996,-1.3743236,-1.4290195,-1.5803914,-1.4700459,-0.1103455
47,-1.7127552,-1.7688851,"('stupid', 'smart')",-0.5150608,-0.5517895,-1.2121012,-1.2831595,5.2413783,4.9772964,0.4503652,0.3433656,0.1069996
3,-1.6835158,-1.5087355,"('repellent', 'pleasant')",-1.0322143,-0.8964948,0.23389272,0.21832936,-0.28053123,-0.39684325,-0.6905922,-0.645936,-0.0446562
79,1.6622336,1.5526232,"('wavering', 'unwavering')",1.2860622,1.0125284,0.5360258,0.29485488,0.95766026,0.8932623,1.1104954,0.9383172,0.1721782
35,1.6003525,1.3290769,"('corrupt', 'incorrupt')",1.0129865,0.8518004,1.6656723,1.5289335,0.42804083,0.5335616,1.1767631,1.0608431,0.11592
25,1.5589252,1.75026,"('egoistic', 'altruistic')",1.387744,1.4683262,1.5286105,1.5883355,1.5188303,1.630672,1.4985275,1.6093985,-0.110871
66,1.5039489,1.4128319,"('inactive', 'active')",1.7058294,1.6710004,1.4140211,1.4409307,1.6872779,1.629674,1.5777693,1.5386093,0.03916
8,1.468843,1.6973166,"('unaffectionate', 'affectionate')",0.7457604,0.9485624,-0.27576375,-0.03284533,1.3862739,1.576711,0.8312784,1.0474362,-0.2161578
84,1.4227449,1.393882,"('inferior', 'superior')",0.6430884,0.7173102,0.274026,0.26702487,0.94244516,1.0091811,0.8205761,0.8468496,-0.0262735
81,-1.4135358,-1.2688208,"('submissive', 'aggressive')",-0.35618523,-0.38936546,-1.0374017,-1.1245996,-1.2454079,-1.4715964,-1.0131327,-1.0635955,0.0504628
22,-1.4052775,-1.1750835,"('untrustworthy', 'trustworthy')",-1.2352899,-1.2037483,-1.6377103,-1.5225886,-1.539363,-1.6129959,-1.4544101,-1.3786042,-0.0758059
33,1.3483071,1.3661262,"('wrong', 'right')",0.9537891,1.0730088,0.48433533,0.61473674,0.00052930415,0.23773332,0.6967403,0.8229013,-0.126161
23,-1.3281938,-1.2635117,"('insincere', 'sincere')",-1.21344,-1.0645049,-2.152931,-2.1748567,5.910944,5.5969825,0.3040948,0.2735273,0.0305675
57,-1.2100796,-0.99309146,"('unimaginative', 'imaginative')",-1.1125348,-0.9980496,-1.518859,-1.4211502,-2.8963459,-2.6758864,-1.6844547,-1.5220444,-0.1624103
45,-1.1989489,-0.85744417,"('incompetent', 'competent')",-0.7940085,-0.69596595,-1.9711659,-1.9094396,-0.57672083,-0.5597111,-1.135211,-1.0056401,-0.1295709
52,1.166277,1.0732238,"('irrational', 'rational')",0.9773737,0.8869023,0.073553175,0.06337045,0.45292065,0.5764313,0.6675311,0.649982,0.0175491
10,-1.0713756,-0.62754554,"('unsympathetic', 'sympathetic')",-0.9771664,-0.66474366,-1.6385812,-1.5469437,-0.28955558,-0.21339282,-0.9941697,-0.7631564,-0.2310133
55,-1.0580854,-0.79130757,"('incompetent', 'clever')",-0.83063126,-0.74218446,-1.8959376,-1.874814,-0.57520497,-0.6353443,-1.0899647,-1.0109127,-0.079052
