,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
57,-1.8649256,-1.7880843,"('unimaginative', 'imaginative')",-2.0948155,-2.0273726,-3.5939698,-3.535525,-3.4993,-3.7396996,-2.7632527,-2.7726703,0.0094176
41,-1.7767496,-1.9071301,"('unforgiving', 'forgiving')",-0.7039728,-0.5854125,-0.4485931,-0.43026254,-0.16093074,-0.26279616,-0.7725616,-0.7964004,0.0238388
45,-1.7464848,-1.6890618,"('incompetent', 'competent')",-1.9866626,-1.7470331,-2.1997848,-2.0681202,-0.62670606,-0.60637337,-1.6399095,-1.5276471,-0.1122624
10,-1.7096516,-1.7378311,"('unsympathetic', 'sympathetic')",-2.9978154,-3.163993,-3.8048606,-3.827372,-1.1382662,-1.1469241,-2.4126484,-2.4690301,0.0563817
0,-1.5780048,-1.5608075,"('unsociable', 'sociable')",-1.5427451,-1.517828,-1.7314878,-1.5837973,-0.7246473,-0.71469545,-1.3942213,-1.344282,-0.0499393
22,-1.4553142,-1.2254668,"('untrustworthy', 'trustworthy')",-0.9338177,-0.8033174,-1.719817,-1.6753056,-1.429511,-1.3333466,-1.3846149,-1.2593591,-0.1252558
30,-1.4535407,-1.4848065,"('intolerant', 'tolerant')",-1.5892619,-1.7000669,-1.9508967,-1.905966,0.2751113,0.30583093,-1.179647,-1.1962521,0.0166051
48,-1.4226093,-1.4432379,"('unintelligent', 'intelligent')",-1.1635985,-1.2906569,-2.2019713,-2.1039317,0.71892124,0.54045,-1.0173146,-1.0743442,0.0570296
34,-1.3676503,-1.5845162,"('mean', 'honorable')",-0.5138079,-0.70750296,0.36489603,0.19885197,5.071019,5.120649,0.8886143,0.7568704,0.1317439
55,-1.3661634,-1.4469273,"('incompetent', 'clever')",-1.6930465,-1.7379093,-3.552303,-3.5205898,-0.51818615,-0.57616925,-1.7824248,-1.8203988,0.037974
6,1.3477268,1.4852414,"('distant', 'open')",1.0800139,1.2258317,2.1502845,2.1255975,-0.39089936,-0.35723898,1.0467814,1.119858,-0.0730766
26,-1.3094919,-1.2264826,"('hardhearted', 'benevolent')",0.5619962,0.64874357,0.4208269,0.446353,1.4109452,1.2292974,0.2710691,0.2744778,-0.0034087
31,-1.2976178,-1.3518554,"('evil', 'good')",0.8484073,1.1685656,2.2353168,2.2566001,-0.7413357,-0.8781439,0.2611927,0.2987916,-0.0375989
73,1.2932583,1.2838373,"('helpless', 'self-reliant')",1.3321946,1.3512809,0.4579553,0.4852909,-2.4515636,-2.706481,0.1579612,0.1034821,0.0544791
20,-1.2599213,-1.4541712,"('rough', 'thoughtful')",-0.02617183,-0.18293266,-0.19893955,-0.3376573,0.90203774,0.7937394,-0.1457487,-0.2952554,0.1495067
33,1.2196127,1.2005833,"('wrong', 'right')",1.4852203,1.4528217,1.2378002,1.0673424,0.030903481,-0.2246279,0.9933842,0.8740299,0.1193543
11,-1.2097652,-1.1564713,"('unhelpful', 'helpful')",-2.2293808,-2.4227233,-2.3187633,-2.3107047,1.7152566,1.7107866,-1.0106632,-1.0447781,0.0341149
88,-1.209382,-1.1722581,"('low', 'eminent')",-0.16630298,-0.37117073,-1.5707327,-1.7375038,-0.47192696,-0.69066054,-0.8545862,-0.9928983,0.1383121
49,-1.1165444,-1.2215233,"('unable', 'able')",-0.3657112,-0.56583977,-0.14848346,-0.19874872,0.14956109,0.061142713,-0.3702945,-0.4812423,0.1109478
17,-1.043035,-1.2294542,"('nasty', 'nice')",0.035153296,-0.13790445,0.37007982,0.26833308,-0.4630768,-0.6581713,-0.2752197,-0.4392992,0.1640795
27,-1.0202217,-1.1814568,"('hardhearted', 'softhearted')",-1.3805128,-1.3747448,-0.3851867,-0.3529572,0.6520874,0.5645568,-0.5334584,-0.5861505,0.0526921
47,-1.0078139,-1.0536426,"('stupid', 'smart')",-0.2970204,-0.49943823,-1.6799828,-1.8689712,4.6283054,4.6324134,0.4108721,0.3025904,0.1082817
13,-0.98674,-0.8496656,"('impolite', 'polite')",-1.6269177,-1.6359459,-2.2979589,-2.1536827,-1.142234,-0.9730705,-1.5134625,-1.4030912,-0.1103713
86,-0.98464066,-0.8194473,"('uninfluential', 'influential')",-1.83266,-1.6820385,-1.7130338,-1.564771,-1.0350277,-1.0592567,-1.3913405,-1.2813784,-0.1099621
77,-0.9564891,-1.0036054,"('unmotivated', 'motivated')",-1.0249357,-0.98678374,-0.962934,-0.93640757,-0.92920774,-0.90103704,-0.9683917,-0.9569584,-0.0114333
82,-0.95182544,-0.8958198,"('poor', 'rich')",-0.7095255,-0.7315978,-1.660873,-1.6638145,5.4879284,5.497322,0.5414261,0.5515225,-0.0100964
1,-0.94922847,-0.86980814,"('unfriendly', 'friendly')",-0.7525843,-0.691788,0.78504467,0.62755996,1.2666801,1.0218025,0.087478,0.0219416,0.0655364
63,-0.9465342,-0.71080893,"('unperceptive', 'insightful')",-0.6180235,-0.5149758,-1.4556228,-1.3900266,0.5762806,0.6862138,-0.610975,-0.4823994,-0.1285756
18,-0.93810505,-1.0742812,"('disagreeable', 'welcoming')",1.2722552,1.2780533,-0.16147295,-0.2966233,-0.6228641,-0.7400477,-0.1125467,-0.2082247,0.095678
69,0.90785176,0.7830742,"('lazy', 'industrious')",2.2753298,2.332069,2.43334,2.3558612,0.05809905,0.018702304,1.4186553,1.3724267,0.0462286
