,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.6495632,-1.5811483,"('unimaginative', 'imaginative')",-0.15813151,-0.048741862,-2.82371,-2.883434,-1.5438016,-1.5044414,-0.0393602
69,1.5640432,1.5323944,"('lazy', 'industrious')",1.2383711,1.0155655,0.06381393,-0.11436297,0.9554094,0.8111989,0.1442105
86,-1.4871924,-1.7066536,"('uninfluential', 'influential')",0.3316455,0.4078072,-0.42538106,-0.39411563,-0.526976,-0.5643206,0.0373446
53,-1.3596896,-1.5650246,"('uncreative', 'creative')",0.8296646,0.79779184,1.0433083,0.940148,0.1710944,0.0576384,0.113456
83,-1.3552741,-1.1398301,"('powerless', 'powerful')",-0.12656367,-0.05151654,-1.2738743,-1.3121214,-0.9185707,-0.8344893,-0.0840814
1,-1.306806,-1.6559073,"('unfriendly', 'friendly')",0.4733804,0.4778737,1.923798,1.9125639,0.3634574,0.2448434,0.118614
8,-1.198412,-1.1470319,"('unaffectionate', 'affectionate')",-0.14321932,0.03205978,0.40155256,0.41801238,-0.3133596,-0.2323199,-0.0810397
88,-1.1950748,-1.2955024,"('low', 'eminent')",-0.41588104,-0.43354473,0.17344122,0.3362538,-0.4791716,-0.4642645,-0.0149071
0,-1.1889589,-1.3896468,"('unsociable', 'sociable')",-0.37423423,-0.20919028,-0.79365873,-0.865576,-0.7856173,-0.8214711,0.0358538
33,1.0708215,0.9030723,"('wrong', 'right')",1.4745845,1.3668181,-0.19360301,-0.27639496,0.7839343,0.6644984,0.1194359
44,1.0704294,1.3342086,"('prejudiced', 'unprejudiced')",-0.9125618,-0.73731786,-1.4705392,-1.3554606,-0.4375572,-0.2528566,-0.1847006
26,-0.95328176,-0.8833716,"('hardhearted', 'benevolent')",0.68897563,0.7866141,1.0422703,1.3207221,0.2593214,0.4079882,-0.1486668
35,0.93905133,1.1457852,"('corrupt', 'incorrupt')",0.01675169,0.013450343,-0.05616783,0.06712374,0.2998784,0.4087865,-0.1089081
9,-0.89485747,-1.1640066,"('unaffectionate', 'caring')",0.6088709,0.6266737,1.2176621,1.0400943,0.3105585,0.1675871,0.1429714
10,-0.86304885,-1.113513,"('unsympathetic', 'sympathetic')",-0.6046484,-0.3037614,-0.6246719,-0.63082594,-0.6974564,-0.6827001,-0.0147563
77,-0.833767,-1.1884606,"('unmotivated', 'motivated')",0.5471406,0.5576056,-0.9534209,-1.0810046,-0.4133491,-0.5706199,0.1572708
48,-0.8152053,-1.2155919,"('unintelligent', 'intelligent')",1.2369392,1.1690385,0.48665,0.30344683,0.3027946,0.0856312,0.2171634
67,0.8073618,1.1313981,"('doubtful', 'determined')",0.681612,1.0240942,-0.32272208,-0.10067321,0.3887506,0.6849397,-0.2961891
28,-0.7930914,-0.9608026,"('disloyal', 'loyal')",0.13513847,0.17000306,0.9533683,0.91489094,0.0984718,0.0413638,0.057108
72,-0.71848935,-0.6770227,"('unambitious', 'ambitious')",0.23322873,0.17641945,-1.0336823,-1.121792,-0.5063143,-0.5407984,0.0344841
78,-0.6668991,-1.1030506,"('nonresilient', 'resilient')",0.49384385,0.19599974,0.7541611,0.41837624,0.193702,-0.1628915,0.3565935
41,0.650827,0.41385892,"('unforgiving', 'forgiving')",-0.2915804,-0.29459414,-0.329366,-0.23498416,0.0099602,-0.0385731,0.0485333
85,-0.6324224,-0.6566484,"('insignificant', 'prestigious')",-0.28557423,-0.1822722,0.72679895,0.7037587,-0.0637326,-0.045054,-0.0186786
61,-0.6146359,-0.70012146,"('illogical', 'logical')",0.42925817,0.50775194,0.013817571,-0.15132217,-0.0571867,-0.1145639,0.0573772
46,-0.60859704,-0.81897205,"('uncompetitive', 'competitive')",0.30691075,0.29705453,-0.7975171,-0.9084913,-0.3664011,-0.4768029,0.1104018
52,-0.60085106,-0.68574303,"('irrational', 'rational')",0.27320018,0.28516436,0.019278001,-0.13938223,-0.102791,-0.179987,0.077196
39,0.59452796,0.776995,"('exploitative', 'cooperative')",1.014439,1.0667354,-0.1271941,-0.08261568,0.4939243,0.5870382,-0.0931139
58,-0.5920131,-0.79517204,"('undiscriminating', 'discriminating')",0.5985563,0.46641582,-0.19006056,-0.39102423,-0.0611725,-0.2399268,0.1787543
73,0.57990265,0.8390986,"('helpless', 'self-reliant')",0.13971914,0.15084702,-3.174185,-3.3160834,-0.8181877,-0.7753793,-0.0428084
65,-0.550744,-0.5683496,"('insecure', 'secure')",-0.11785799,-0.046660077,-0.67161906,-0.78913915,-0.4467403,-0.4680496,0.0213093
11,-0.55045724,-0.6218927,"('unhelpful', 'helpful')",0.7212788,0.9528088,1.7221494,1.7924631,0.6309903,0.7077931,-0.0768028
37,0.5313836,0.64010257,"('fake', 'genuine')",-0.43095046,-0.34099877,0.13895951,0.13656254,0.0797975,0.1452221,-0.0654246
81,-0.5179598,-0.32191306,"('submissive', 'aggressive')",0.122330345,0.2858486,-0.7209093,-0.74464744,-0.3721796,-0.2602373,-0.1119423
2,0.5123383,0.53366184,"('unlikable', 'likable')",0.3093301,0.5146664,0.6616351,0.81601727,0.4944345,0.6214485,-0.127014
20,-0.5052941,-0.5574553,"('rough', 'thoughtful')",0.44729015,0.30241987,0.82595223,0.7267178,0.2559828,0.1572275,0.0987553
4,0.4881167,0.4441237,"('disliked', 'liked')",-0.029768497,-0.13223362,-5.782577,-6.039682,-1.7747429,-1.9092639,0.134521
74,-0.4854927,-0.65221435,"('undedicated', 'dedicated')",0.34130168,0.43738714,-0.3885312,-0.12017613,-0.1775741,-0.1116678,-0.0659063
68,-0.47643,-0.6436856,"('dependent', 'independent')",-0.24710727,-0.63886845,-0.4256026,-0.73745024,-0.3830466,-0.6733348,0.2902882
54,-0.47613168,-0.4330491,"('incapable', 'capable')",0.64218456,0.6873873,1.3051635,1.4268936,0.4904055,0.5604106,-0.0700051
31,-0.4679122,-0.6166957,"('evil', 'good')",-0.30316073,-0.56733495,-0.87290245,-0.96141744,-0.5479918,-0.7151494,0.1671576
87,0.458574,0.597169,"('unsuccessful', 'successful')",0.71905214,0.72706604,0.7869474,0.37536114,0.6548579,0.5665321,0.0883258
50,0.4487777,0.49764946,"('clumsy', 'skillful')",-0.29125717,-0.12912834,0.33024195,0.2965526,0.1625875,0.2216913,-0.0591038
32,-0.435022,-0.49630874,"('unkind', 'kind')",-0.3918667,-0.2007157,0.8186608,0.87190014,-0.0027426,0.0582919,-0.0610345
