,qwest_male,qwest_female,tuple,communications_male,communications_female,intl_male,intl_female,inc_male,inc_female,average_male,average_female,male-female
0,-1.6357104,-1.9233009,"('unsociable', 'sociable')",-0.16365601,-0.22705567,-1.2474523,-1.1689242,-0.46992457,-0.41390553,-0.8791858,-0.9332966,0.0541108
86,-1.5103972,-1.7813427,"('uninfluential', 'influential')",0.8478996,0.7757349,-1.7057917,-1.9034727,-0.14931123,-0.2377465,-0.6294001,-0.7867067,0.1573066
39,1.4635167,1.5641766,"('exploitative', 'cooperative')",0.8836563,1.0203412,0.53189135,0.49739504,0.10239727,0.25270143,0.7453654,0.8336536,-0.0882882
81,-1.4512213,-1.4418755,"('submissive', 'aggressive')",0.40853083,0.98976666,-0.029981993,0.22716808,-1.4296196,-0.93843466,-0.625573,-0.2908438,-0.3347292
10,-1.440711,-1.8971686,"('unsympathetic', 'sympathetic')",0.018154658,0.24228676,-1.6008177,-1.4990625,-0.19139418,-0.19439624,-0.803692,-0.8370852,0.0333932
73,1.3707377,1.3245631,"('helpless', 'self-reliant')",0.6601409,0.30172384,-0.47047764,-0.712236,-3.5882797,-3.565792,-0.5069697,-0.6629353,0.1559656
14,-1.3056593,-1.4330186,"('antisocial', 'social')",0.67839336,0.9993236,-0.031565554,0.1279735,-0.70217067,-0.38371858,-0.3402506,-0.17236,-0.1678906
55,-1.2790637,-1.1822742,"('incompetent', 'clever')",-0.06432222,0.28863782,-1.1343616,-0.8413054,0.055807576,0.35135776,-0.605485,-0.345896,-0.259589
49,-1.2650169,-0.8754736,"('unable', 'able')",-0.9324589,-0.44305694,-0.7486439,-0.30912963,-0.7006442,-0.09068533,-0.911691,-0.4295864,-0.4821046
48,-1.248735,-1.0270522,"('unintelligent', 'intelligent')",-0.07926522,0.22109106,-1.667284,-1.5392823,0.3250925,0.42824838,-0.6675479,-0.4792488,-0.1882991
21,-1.2430208,-1.2383547,"('immoral', 'moral')",0.6681245,0.7794923,-0.5238634,-0.48855415,-0.99245626,-0.7705096,-0.522804,-0.4294815,-0.0933225
77,-1.1223388,-1.1060162,"('unmotivated', 'motivated')",0.4620112,0.623668,-0.70397294,-0.5972507,-1.0028795,-0.827751,-0.591795,-0.4768375,-0.1149575
42,1.1154525,0.9113083,"('unreliable', 'reliable')",0.6999385,0.7726107,0.32302144,0.45992675,-2.6923096,-2.677166,-0.1384743,-0.13333,-0.0051443
57,-1.0445871,-1.2211015,"('unimaginative', 'imaginative')",-0.05333043,0.056485947,-1.0277537,-0.90230507,-2.3468065,-2.5754588,-1.1181195,-1.1605949,0.0424754
60,-1.0433531,-0.77448976,"('inefficient', 'efficient')",1.3073262,2.105381,-0.54782254,-0.16145867,-0.14794639,0.46330816,-0.107949,0.4081852,-0.5161342
78,-1.0214642,-0.72252756,"('nonresilient', 'resilient')",0.17876631,0.91643864,-0.85809493,-0.42289278,-0.02012641,0.14685619,-0.4302298,-0.0205314,-0.4096984
59,1.0152189,1.3264554,"('foolish', 'wise')",0.49439582,-0.00073717535,0.5383871,0.26686734,0.40266734,0.22936681,0.6126673,0.4554881,0.1571792
52,0.99738836,0.7636938,"('irrational', 'rational')",0.043158874,-0.5551696,-1.0253675,-1.2197901,0.1595622,-0.2494913,0.0436855,-0.3151893,0.3588748
20,-0.94007564,-0.94245785,"('rough', 'thoughtful')",-0.06475083,0.03597697,-0.1493903,-0.23637472,1.1119515,1.0349135,-0.0105663,-0.0269855,0.0164192
82,-0.91594774,-0.31207445,"('poor', 'rich')",1.0828177,1.6153514,1.0544473,1.3372782,6.0299177,6.7491093,1.8128088,2.3474162,-0.5346074
69,0.91127765,0.95087534,"('lazy', 'industrious')",0.2585047,-0.048526164,1.640331,1.3289864,-0.37419477,-0.63322014,0.6089796,0.3995289,0.2094507
72,-0.8999738,-1.0082542,"('unambitious', 'ambitious')",-0.6638736,-0.6930188,-1.3429675,-1.3728653,-0.8354979,-0.50282365,-0.9355782,-0.8942404,-0.0413378
53,-0.89704907,-0.65398073,"('uncreative', 'creative')",1.1189867,1.2460548,-0.51406604,-0.40516186,1.7010106,1.5122056,0.3522205,0.4247794,-0.0725589
1,-0.80912226,-1.1031173,"('unfriendly', 'friendly')",0.92072856,0.29074547,-1.4703712,-1.5907593,2.0596554,1.5646145,0.1752226,-0.2096291,0.3848517
47,-0.7468247,-0.35494784,"('stupid', 'smart')",0.63952196,0.9353483,-0.030421086,0.112189166,4.9148874,5.6272554,1.1942909,1.5799613,-0.3856704
51,-0.73608655,-0.7031564,"('uneducated', 'educated')",0.16267794,0.18268335,-0.20474958,-0.2319908,0.24960433,0.23465806,-0.1321385,-0.1294515,-0.002687
68,-0.72424793,-0.71429086,"('dependent', 'independent')",-0.39137048,-0.29542863,-0.221509,-0.1267125,-0.786467,-0.6924106,-0.5308986,-0.4572106,-0.073688
85,0.724238,0.6807983,"('insignificant', 'prestigious')",-0.37073845,-1.0540788,-1.1400614,-1.5701643,0.80055416,0.0874495,0.0034981,-0.4639988,0.4674969
33,0.68550116,0.38147765,"('wrong', 'right')",0.72413385,0.15123217,0.5370352,0.1475547,-0.3318295,-0.7003707,0.4037102,-0.0050265,0.4087367
18,-0.67369616,-0.44390768,"('disagreeable', 'welcoming')",-0.076696984,-0.27533334,-0.4925825,-0.12164445,-0.025250357,-0.09135845,-0.3170565,-0.233061,-0.0839955
40,0.63971484,0.4897492,"('stingy', 'generous')",0.019444328,-0.08230476,-0.6692795,-0.82714075,-1.0185317,-1.5333455,-0.257163,-0.4882604,0.2310974
54,-0.5999219,-0.61800325,"('incapable', 'capable')",-0.9629507,-1.0134736,-0.48071525,-0.44323078,0.6374826,1.0391362,-0.3515263,-0.2588929,-0.0926334
15,0.57747954,0.34000298,"('boring', 'funny')",-0.2931016,-0.71096176,0.6071371,0.5079544,0.08159216,-0.062363483,0.2432768,0.018658,0.2246188
11,-0.56399924,-0.22343253,"('unhelpful', 'helpful')",0.8337389,1.1201699,-1.3185769,-1.1339887,1.4761243,1.6116552,0.1068218,0.343601,-0.2367792
43,-0.561457,-0.52260554,"('irresponsible', 'responsible')",0.6671407,0.83612263,-1.362558,-1.2373372,0.5813281,0.8214885,-0.1688866,-0.0255829,-0.1433037
76,0.5507419,0.5068205,"('anxious', 'daring')",0.5729316,1.0612444,0.37228593,0.6000275,-0.119297616,0.17540449,0.3441654,0.5858743,-0.2417089
36,0.5460144,0.13053796,"('hostile', 'amicable')",-0.7928197,-1.7579978,0.19904673,-0.39458993,0.76641524,0.16538957,0.1796642,-0.464165,0.6438292
79,0.5251343,0.40190035,"('wavering', 'unwavering')",-0.4158374,-0.5675352,-0.13047515,-0.20606346,-0.02707414,-0.2880146,-0.0120631,-0.1649282,0.1528651
83,-0.5245564,-0.7812714,"('powerless', 'powerful')",0.28201562,0.2827198,-1.2022579,-1.3826513,-0.7035056,-0.87647873,-0.5370761,-0.6894204,0.1523443
65,-0.51242995,-0.37668332,"('insecure', 'secure')",0.09369391,0.4758237,0.07453577,0.2645905,-0.32550856,0.14838634,-0.1674272,0.1280293,-0.2954565
71,0.50184536,0.5508088,"('diffident', 'self-confident')",0.790174,0.6436184,-0.7377168,-0.42304245,0.5216381,0.60374427,0.2689852,0.3437823,-0.0747971
46,-0.46067047,-0.36855203,"('uncompetitive', 'competitive')",1.1588534,1.722298,-1.038311,-0.7125609,-0.49146658,-0.42153117,-0.2078987,0.0549135,-0.2628122
41,-0.4462349,-0.44276378,"('unforgiving', 'forgiving')",-0.8532267,-1.0176196,-0.63078636,-0.7608851,0.16693793,-0.094573684,-0.4408275,-0.5789606,0.1381331
4,0.4244066,0.38337654,"('disliked', 'liked')",-0.7664708,-1.1177474,-0.671151,-0.9051358,-6.0879445,-6.884324,-1.7752899,-2.1309576,0.3556677
35,0.41482136,0.13345474,"('corrupt', 'incorrupt')",-1.2138056,-1.8729131,0.60547584,0.37403768,-0.037661538,-0.49902722,-0.0577925,-0.466112,0.4083195
50,0.41304126,0.64874524,"('clumsy', 'skillful')",0.09024465,0.2881798,0.5504714,0.5253798,0.19964585,0.34343922,0.3133508,0.451436,-0.1380852
31,0.39592335,0.24803324,"('evil', 'good')",-0.5577138,-1.2817584,-0.68863636,-1.079957,-0.7175725,-1.116351,-0.3919998,-0.8075083,0.4155085
2,0.38356707,0.42620012,"('unlikable', 'likable')",1.1349902,0.9895623,0.5436527,0.49742025,0.6109861,0.5376783,0.6682991,0.6127152,0.0555839
8,-0.366377,-0.5585932,"('unaffectionate', 'affectionate')",-0.22996612,-0.7422703,-2.123852,-2.2570834,0.6381651,0.50261575,-0.5205075,-0.7638328,0.2433253
84,0.34992647,0.18053928,"('inferior', 'superior')",0.06949859,0.24574426,0.50852406,0.54363096,0.64077705,0.5024476,0.3921815,0.3680905,0.024091
24,0.33621204,-0.097588375,"('dishonest', 'honest')",0.2055953,-0.03072759,-0.63275176,-0.83720225,0.8390306,0.77243316,0.1870216,-0.0482713,0.2352929
61,-0.33470428,-0.6445904,"('illogical', 'logical')",1.0746503,0.930015,-0.006622307,-0.07362113,0.5809831,0.44422305,0.3285767,0.1640067,0.16457
45,-0.32464764,-0.50897425,"('incompetent', 'competent')",0.33457372,0.52075005,-0.5825913,-0.8112459,-0.087750226,-0.10589378,-0.1651039,-0.226341,0.0612371
66,0.3169231,-0.312237,"('inactive', 'active')",-0.34012648,-0.7718082,1.2532164,1.1408929,1.0983698,0.7122209,0.5820957,0.1922671,0.3898286
26,-0.30326247,-0.5964312,"('hardhearted', 'benevolent')",0.24346323,-0.40458208,0.7542743,0.34925228,1.8825718,1.4451497,0.6442617,0.1983472,0.4459145
28,-0.2817421,-0.4801883,"('disloyal', 'loyal')",-0.1112084,-0.1577904,-1.3335958,-1.6025939,1.4036438,1.1761569,-0.0807256,-0.2661039,0.1853783
62,-0.2658507,0.15397604,"('incompetent', 'brilliant')",0.8089138,1.4728812,-0.9553546,-0.5269232,-0.1423097,0.47636026,-0.1386503,0.3940736,-0.5327239
87,0.26568648,0.31546503,"('unsuccessful', 'successful')",0.89904016,1.1060289,0.6121055,0.662826,0.28103957,0.37741807,0.5144679,0.6154345,-0.1009666
30,-0.257309,-0.18813078,"('intolerant', 'tolerant')",1.4091631,1.5042076,-0.4067165,-0.42341834,0.7407627,0.9528058,0.3714751,0.4613661,-0.089891
88,-0.25439557,-0.48449862,"('low', 'eminent')",0.027479503,-0.073695,-0.9404265,-1.2033406,0.0490416,-0.18498415,-0.2795753,-0.4866296,0.2070543
25,-0.25218058,-0.37803546,"('egoistic', 'altruistic')",0.47923496,0.20493552,0.065680854,0.100674875,2.0623355,1.8723143,0.5887677,0.4499723,0.1387954
32,-0.2476029,-0.31267738,"('unkind', 'kind')",0.4281867,0.44446093,-0.116275854,-0.17620087,0.97325426,1.0211838,0.2593906,0.2441916,0.015199
19,-0.24635519,-0.3962776,"('inhospitable', 'hospitable')",-0.07264039,-0.4456546,-0.68455756,-0.8939876,-0.37664443,-0.61014193,-0.3450494,-0.5865154,0.241466
16,-0.24297413,0.19385953,"('unpopular', 'popular')",-0.50583875,-0.34776655,0.10563607,0.16639614,0.67631054,0.71464777,0.0082834,0.1817842,-0.1735008
56,-0.24292415,-0.09050088,"('impractical', 'practical')",1.1319026,1.5474586,0.06667865,0.25374272,-0.5379709,-0.23658489,0.1044215,0.3685289,-0.2641074
13,-0.23579402,-0.3287539,"('impolite', 'polite')",0.33160403,0.5748854,0.35907486,0.587066,-0.22961095,0.10628544,0.0563185,0.2348707,-0.1785522
63,-0.23004183,-0.10335831,"('unperceptive', 'insightful')",1.4151475,1.5768424,-0.66580147,-0.7882351,0.7083441,0.8984257,0.3069121,0.3959187,-0.0890066
7,-0.2227901,-0.31726614,"('insensitive', 'sensitive')",0.31746706,0.65197587,-0.20524344,-0.15349016,0.8850863,0.9901075,0.19363,0.2928318,-0.0992018
6,0.17010748,-0.041178487,"('distant', 'open')",-0.54803765,-1.3391896,-0.6030234,-0.81247264,0.5836442,0.2828502,-0.0993273,-0.4774976,0.3781703
38,-0.16886769,-0.15125665,"('untruthful', 'truthful')",0.11631208,-0.09537172,-1.4720289,-1.613587,-0.19040132,-0.23871455,-0.4287464,-0.5247325,0.0959861
9,-0.16719955,-0.5296654,"('unaffectionate', 'caring')",0.4919748,0.034560427,-2.1467204,-2.3991187,1.2182714,1.200038,-0.1509185,-0.4235464,0.2726279
