,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,male-female
77,-1.7673191,-1.4651285,"('unmotivated', 'motivated')",-0.041143276,0.3082843,-1.2382871,-0.7584746,-1.0155832,-0.6384396,-0.3771436
36,-1.6895245,-2.871368,"('hostile', 'amicable')",-0.7254987,-1.1373972,-0.99850297,-1.5082777,-1.1378421,-1.8390144,0.7011723
49,-1.3814045,-0.8070232,"('unable', 'able')",-0.078420796,0.17640314,-0.43744206,0.2818001,-0.6324224,-0.1162733,-0.5161491
78,-1.2988856,-1.2512105,"('nonresilient', 'resilient')",0.38822192,0.9209275,0.03799816,0.34453478,-0.2908885,0.0047506,-0.2956391
19,-1.2783962,-1.0283494,"('inhospitable', 'hospitable')",-0.849346,-1.0036551,-0.86615324,-0.9138585,-0.9979652,-0.9819543,-0.0160109
5,-1.1660398,-1.2968006,"('distant', 'outgoing')",-0.19835965,-0.38912168,-0.755762,-1.1409128,-0.7067205,-0.9422784,0.2355579
70,1.1533914,1.2947712,"('lethargic', 'energetic')",0.5029208,0.462108,1.0464851,1.140544,0.9009325,0.9658078,-0.0648753
69,-1.1193012,-1.3646085,"('lazy', 'industrious')",0.23616123,0.16129112,-1.6327691,-1.8819885,-0.8386364,-1.0284353,0.1897989
12,1.1129255,1.441822,"('unsupportive', 'supportive')",0.83722216,1.0643655,-1.6263258,-1.759194,0.1079406,0.2489978,-0.1410572
6,-1.0524247,-1.4583825,"('distant', 'open')",-0.13352324,-0.4096593,-0.6645375,-1.1311322,-0.6168284,-0.9997247,0.3828963
40,1.0466067,0.6061141,"('stingy', 'generous')",0.372386,0.42877638,-2.2248878,-2.6831934,-0.2686317,-0.5494343,0.2808026
26,1.0328405,0.65307355,"('hardhearted', 'benevolent')",2.2685,1.8650532,1.901015,0.8395771,1.7341185,1.1192346,0.6148839
72,1.0067611,1.158757,"('unambitious', 'ambitious')",0.9652321,1.0530586,-0.10007505,0.02807093,0.6239727,0.7466288,-0.1226561
71,0.92659616,0.7704867,"('diffident', 'self-confident')",0.907118,0.6943999,0.4269778,0.25196677,0.753564,0.5722845,0.1812795
56,0.89987135,1.9093062,"('impractical', 'practical')",1.494495,1.6839436,0.10663018,0.50449467,0.8336655,1.3659148,-0.5322493
14,0.873469,1.7298734,"('antisocial', 'social')",1.7293767,1.9107678,-0.029571334,0.10621481,0.8577581,1.248952,-0.3911939
50,-0.8652471,-0.8751986,"('clumsy', 'skillful')",-0.38643232,-0.20319583,0.1311943,0.29183477,-0.373495,-0.2621865,-0.1113085
16,-0.8157943,-1.4301159,"('unpopular', 'popular')",-1.0076386,-0.97439414,-0.22273956,-0.17815696,-0.6820575,-0.860889,0.1788315
87,-0.8150295,0.03502679,"('unsuccessful', 'successful')",0.1532315,0.49806273,0.5155804,0.9235965,-0.0487392,0.485562,-0.5343012
54,-0.78593403,-0.7548642,"('incapable', 'capable')",-0.21199816,-0.08506232,0.42502415,0.59283036,-0.1909693,-0.0823654,-0.1086039
46,0.77754617,0.9735816,"('uncompetitive', 'competitive')",0.13532555,0.28925616,-0.23695831,-0.059103854,0.2253045,0.4012446,-0.1759401
4,-0.77590096,-1.5525638,"('disliked', 'liked')",-0.07060625,-0.33814666,-7.5485616,-7.9734645,-2.7983564,-3.2880583,0.4897019
31,-0.7682607,-1.9651212,"('evil', 'good')",-0.7974617,-1.1673261,-1.5011741,-2.0650706,-1.0222988,-1.732506,0.7102072
24,0.75278044,0.85507035,"('dishonest', 'honest')",0.73240346,0.58047444,1.2772552,0.915265,0.9208131,0.7836033,0.1372098
80,0.7472897,1.2924138,"('dominated', 'dominating')",-0.22089513,0.25288025,-0.21276632,0.37639737,0.1045428,0.6405638,-0.536021
65,0.73478305,1.6941037,"('insecure', 'secure')",1.0850855,1.4260678,0.6966127,1.1855123,0.8388271,1.435228,-0.5964009
76,0.7258642,1.4173373,"('anxious', 'daring')",0.6614892,1.0218964,0.5252235,0.88514054,0.6375256,1.1081247,-0.4705991
33,0.71575165,0.5840228,"('wrong', 'right')",0.38501847,0.278597,-1.3306354,-1.2936809,-0.0766218,-0.143687,0.0670652
18,0.6949444,0.90954643,"('disagreeable', 'welcoming')",-0.48665738,-0.28217775,-0.6345886,-0.7960212,-0.1421005,-0.0562175,-0.085883
7,0.66485673,1.0470816,"('insensitive', 'sensitive')",1.0779982,1.105874,1.1129001,0.9336377,0.9519183,1.0288644,-0.0769461
58,0.6547191,0.35713196,"('undiscriminating', 'discriminating')",0.21810669,-0.0009947866,0.3328723,-0.21815646,0.4018994,0.0459936,0.3559058
52,-0.63365215,-0.9993609,"('irrational', 'rational')",-0.7032303,-0.8711992,-0.75030154,-0.88438475,-0.695728,-0.9183149,0.2225869
10,0.6268256,1.2603338,"('unsympathetic', 'sympathetic')",-0.24581432,-0.1928448,0.6843776,0.9087435,0.3551296,0.6587442,-0.3036146
35,-0.6219452,-1.4796963,"('corrupt', 'incorrupt')",-1.1527376,-1.4406697,-1.1352729,-1.5305797,-0.9699852,-1.4836485,0.5136633
55,0.62085897,0.9807286,"('incompetent', 'clever')",-0.46274552,-0.3270303,0.5297939,0.93514496,0.2293024,0.5296144,-0.300312
45,0.5785209,0.32564268,"('incompetent', 'competent')",0.5652507,0.31041002,0.6627014,0.25614294,0.6021577,0.2973986,0.3047591
20,-0.57693696,-0.49098867,"('rough', 'thoughtful')",0.62318623,0.43212095,0.63430095,0.5985664,0.2268501,0.1798996,0.0469505
81,0.553657,1.4592751,"('submissive', 'aggressive')",0.7129521,1.1332356,-0.23577847,0.41738164,0.3436102,1.0032975,-0.6596873
53,-0.5334445,-0.90983665,"('uncreative', 'creative')",-0.7730021,-1.0719184,0.7889228,0.34294248,-0.1725079,-0.5462708,0.3737629
62,0.5134306,1.2348499,"('incompetent', 'brilliant')",0.48624966,0.9574262,0.7226514,1.1649945,0.5741106,1.1190902,-0.5449796
51,-0.5128923,0.26822233,"('uneducated', 'educated')",-0.76902056,-0.32905513,0.026979232,0.4692553,-0.4183112,0.1361408,-0.554452
85,-0.5092623,-1.2742013,"('insignificant', 'prestigious')",-0.61806667,-0.9992673,-1.0910428,-1.8835061,-0.7394573,-1.3856583,0.646201
42,0.4739387,0.87271154,"('unreliable', 'reliable')",1.1547971,1.2646787,-2.489386,-2.2371862,-0.2868834,-0.0332654,-0.253618
88,-0.4655401,-0.3109954,"('low', 'eminent')",-0.97075087,-0.8901224,0.03141253,-0.05059887,-0.4682928,-0.4172389,-0.0510539
64,-0.45467624,0.13839082,"('shy', 'confident')",0.8475208,1.0287088,-6.2651596,-6.139723,-1.9574383,-1.6575411,-0.2998972
28,0.45045024,0.28130886,"('disloyal', 'loyal')",0.06485377,-0.009562584,1.8034925,1.4599078,0.7729322,0.577218,0.1957142
84,0.442142,0.65680116,"('inferior', 'superior')",0.20493129,0.34719267,0.6159244,0.5014308,0.4209992,0.5018082,-0.080809
82,0.42743483,0.64609355,"('poor', 'rich')",0.13246037,0.21924986,7.058465,7.255246,2.5394533,2.7068631,-0.1674098
22,0.396037,0.47322792,"('untrustworthy', 'trustworthy')",0.51394856,0.47071406,-0.70485806,-0.58608735,0.0683758,0.1192849,-0.0509091
