,moodys_male,moodys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
26,1.9681178,1.8573617,"('hardhearted', 'benevolent')",2.086217,2.1000288,2.0271673,1.9786952,0.0484721
44,-1.3605018,-1.2831144,"('prejudiced', 'unprejudiced')",-1.4561574,-1.3344147,-1.4083296,-1.3087646,-0.099565
56,1.3228908,1.1790856,"('impractical', 'practical')",0.050132502,-0.09415167,0.6865116,0.542467,0.1440446
68,-1.2496378,-1.2858537,"('dependent', 'independent')",-0.8794895,-0.8151866,-1.0645636,-1.0505202,-0.0140434
41,1.2316482,1.295919,"('unforgiving', 'forgiving')",0.042692862,-0.022422822,0.6371706,0.6367481,0.0004225
88,-1.1916804,-1.2091594,"('low', 'eminent')",-0.5443518,-0.5550582,-0.8680161,-0.8821088,0.0140927
39,1.1714253,1.1634601,"('exploitative', 'cooperative')",0.5775201,0.60490173,0.8744727,0.8841809,-0.0097082
16,-1.1404431,-0.9770672,"('unpopular', 'popular')",0.09962666,0.10969498,-0.5204082,-0.4336861,-0.0867221
2,1.1283429,1.3277669,"('unlikable', 'likable')",0.3335006,0.49172887,0.7309217,0.9097479,-0.1788262
82,-1.0872743,-1.0061833,"('poor', 'rich')",6.4794474,6.3406744,2.6960864,2.6672456,0.0288408
14,1.0556393,0.90790796,"('antisocial', 'social')",0.19483183,0.069134094,0.6252356,0.488521,0.1367146
63,1.0264044,1.1172286,"('unperceptive', 'insightful')",1.0298744,0.9869115,1.0281394,1.05207,-0.0239306
12,0.9387779,1.1378402,"('unsupportive', 'supportive')",-2.0760274,-1.9939417,-0.5686247,-0.4280508,-0.1405739
42,0.9298453,1.114656,"('unreliable', 'reliable')",-2.6668637,-2.5027394,-0.8685092,-0.6940417,-0.1744675
48,-0.8537509,-0.9146761,"('unintelligent', 'intelligent')",0.7203278,0.5818964,-0.0667115,-0.1663898,0.0996783
29,-0.8049842,-0.99196804,"('unfair', 'fair')",-0.55993617,-0.7106445,-0.6824602,-0.8513063,0.1688461
33,0.7752384,0.84284365,"('wrong', 'right')",-0.68267477,-0.5949492,0.0462818,0.1239472,-0.0776654
49,-0.7129455,-0.715208,"('unable', 'able')",-0.47158214,-0.44823748,-0.5922638,-0.5817227,-0.0105411
18,-0.68861645,-0.29917037,"('disagreeable', 'welcoming')",-0.96714497,-0.76543444,-0.8278807,-0.5323024,-0.2955783
31,-0.67921513,-0.70518094,"('evil', 'good')",-1.2498446,-1.1769565,-0.9645299,-0.9410688,-0.0234611
74,0.6738621,0.74430937,"('undedicated', 'dedicated')",-0.079880685,0.009198973,0.2969907,0.3767542,-0.0797635
43,0.6673646,0.79666376,"('irresponsible', 'responsible')",0.7890287,0.7883993,0.7281966,0.7925315,-0.0643349
73,0.6425729,0.66817015,"('helpless', 'self-reliant')",-3.6431851,-3.5546799,-1.5003061,-1.4432548,-0.0570513
53,-0.6361808,-0.45142663,"('uncreative', 'creative')",0.23619372,0.2186924,-0.1999936,-0.1163671,-0.0836265
9,0.6164085,0.75052553,"('unaffectionate', 'caring')",1.2936429,1.3312932,0.9550257,1.0409094,-0.0858837
23,0.58673555,0.58387655,"('insincere', 'sincere')",6.546468,6.294968,3.5666018,3.4394224,0.1271794
40,0.5671163,0.7125601,"('stingy', 'generous')",-1.839629,-1.821104,-0.6362563,-0.5542719,-0.0819844
30,0.5601592,0.69092864,"('intolerant', 'tolerant')",0.70382553,0.734791,0.6319923,0.7128598,-0.0808675
52,-0.5505983,-0.7171123,"('irrational', 'rational')",-0.69716346,-0.89445436,-0.6238809,-0.8057833,0.1819024
80,0.54578626,0.398665,"('dominated', 'dominating')",-0.20595348,-0.24113977,0.1699164,0.0787626,0.0911538
58,0.52048534,0.46384865,"('undiscriminating', 'discriminating')",0.2233768,0.19197378,0.3719311,0.3279112,0.0440199
81,0.50683415,0.5064028,"('submissive', 'aggressive')",-0.05441419,-0.05986917,0.22621,0.2232668,0.0029432
61,0.50465894,0.49566847,"('illogical', 'logical')",0.7532466,0.7653833,0.6289527,0.6305259,-0.0015732
57,-0.5026862,-0.59277225,"('unimaginative', 'imaginative')",-2.852663,-2.9555497,-1.6776747,-1.774161,0.0964863
36,-0.47222406,-0.38664705,"('hostile', 'amicable')",-0.7432957,-0.7442589,-0.6077599,-0.5654529,-0.042307
45,-0.4609558,-0.60930413,"('incompetent', 'competent')",0.4267749,0.19259216,-0.0170905,-0.208356,0.1912655
75,-0.4365197,-0.6062463,"('meek', 'impulsive')",-0.54151666,-0.59513235,-0.4890182,-0.6006893,0.1116711
20,0.435804,0.398355,"('rough', 'thoughtful')",0.85331106,0.801856,0.6445575,0.6001055,0.044452
10,-0.42968336,-0.27222428,"('unsympathetic', 'sympathetic')",0.25136244,0.2036561,-0.0891605,-0.0342841,-0.0548764
38,0.42897806,0.39269963,"('untruthful', 'truthful')",0.10509713,0.09314779,0.2670376,0.2429237,0.0241139
77,0.42682606,0.6660518,"('unmotivated', 'motivated')",-0.91894484,-0.87369674,-0.2460594,-0.1038225,-0.1422369
51,-0.42156413,-0.4016124,"('uneducated', 'educated')",0.54758567,0.6585947,0.0630108,0.1284912,-0.0654804
70,0.406511,0.5091172,"('lethargic', 'energetic')",0.881149,0.8886572,0.64383,0.6988872,-0.0550572
83,0.39787757,0.40091047,"('powerless', 'powerful')",-0.89028424,-0.90988916,-0.2462033,-0.2544894,0.0082861
86,-0.3776757,-0.29333162,"('uninfluential', 'influential')",0.12131429,0.16210562,-0.1281807,-0.065613,-0.0625677
28,-0.37525976,-0.41356716,"('disloyal', 'loyal')",1.2295316,1.1323111,0.4271359,0.359372,0.0677639
71,0.36668676,0.5833317,"('diffident', 'self-confident')",0.4752836,0.5591243,0.4209852,0.571228,-0.1502428
66,0.36463034,0.45209217,"('inactive', 'active')",0.44966388,0.6142814,0.4071471,0.5331868,-0.1260397
7,0.36042666,0.5684464,"('insensitive', 'sensitive')",0.88866085,0.92054063,0.6245438,0.7444935,-0.1199497
54,0.3600641,0.60699177,"('incapable', 'capable')",0.9359061,1.0168338,0.6479851,0.8119128,-0.1639277
60,0.35402805,0.49418113,"('inefficient', 'efficient')",0.61898106,0.6174333,0.4865046,0.5558072,-0.0693026
35,-0.34880054,-0.37689945,"('corrupt', 'incorrupt')",-0.93895084,-0.8671135,-0.6438757,-0.6220065,-0.0218692
78,0.3452971,0.539895,"('nonresilient', 'resilient')",-0.062551975,0.021257354,0.1413726,0.2805762,-0.1392036
72,0.32307488,0.22570479,"('unambitious', 'ambitious')",-0.21147127,-0.40885463,0.0558018,-0.0915749,0.1473767
62,0.31076264,0.21261372,"('incompetent', 'brilliant')",1.0657892,0.93798375,0.6882759,0.5752987,0.1129772
50,-0.30793148,-0.15668818,"('clumsy', 'skillful')",-0.1338892,-0.15935215,-0.2209103,-0.1580202,-0.0628901
24,-0.30614668,-0.2713455,"('dishonest', 'honest')",0.9931528,0.8958257,0.3435031,0.3122401,0.031263
6,-0.30071327,-0.15833998,"('distant', 'open')",-0.60721284,-0.5249289,-0.453963,-0.3416345,-0.1123285
87,0.28115582,0.109980844,"('unsuccessful', 'successful')",1.0686177,0.94408,0.6748868,0.5270304,0.1478564
85,0.27486077,0.38411608,"('insignificant', 'prestigious')",-0.54220843,-0.34230208,-0.1336738,0.020907,-0.1545808
3,-0.27298865,-0.2053307,"('repellent', 'pleasant')",0.92418146,0.8155931,0.3255964,0.3051312,0.0204652
46,0.26755318,0.3087616,"('uncompetitive', 'competitive')",-0.6715607,-0.7721111,-0.2020038,-0.2316748,0.029671
19,-0.2600484,-0.1282056,"('inhospitable', 'hospitable')",-0.80369145,-0.6432058,-0.5318699,-0.3857057,-0.1461642
4,-0.25991765,-0.371767,"('disliked', 'liked')",-7.1768556,-7.0889773,-3.7183867,-3.7303722,0.0119855
15,-0.23573112,-0.3274682,"('boring', 'funny')",-0.08387717,-0.17063327,-0.1598042,-0.2490507,0.0892465
69,0.2325904,0.30235988,"('lazy', 'industrious')",-1.262138,-1.07695,-0.5147738,-0.387295,-0.1274788
11,-0.22818978,-0.27093548,"('unhelpful', 'helpful')",2.3554893,2.3113651,1.0636498,1.0202148,0.043435
47,0.22093534,0.28324383,"('stupid', 'smart')",5.547345,5.526039,2.8841403,2.9046414,-0.0205011
21,-0.21956548,-0.0048516765,"('immoral', 'moral')",-0.7450672,-0.69597,-0.4823163,-0.3504108,-0.1319055
1,0.20740157,0.21865873,"('unfriendly', 'friendly')",1.3307104,1.2999682,0.769056,0.7593135,0.0097425
76,-0.1952304,-0.09892675,"('anxious', 'daring')",0.06542801,-0.00031258725,-0.0649012,-0.0496197,-0.0152815
32,0.19450948,0.3382756,"('unkind', 'kind')",0.98184633,0.9909825,0.5881779,0.664629,-0.0764511
55,-0.19304892,-0.0675372,"('incompetent', 'clever')",0.6232876,0.6211739,0.2151193,0.2768184,-0.0616991
37,-0.18950756,-0.14214781,"('fake', 'genuine')",0.094204694,0.084051326,-0.0476514,-0.0290482,-0.0186032
27,0.17632508,0.45564607,"('hardhearted', 'softhearted')",1.189451,1.3886636,0.682888,0.9221548,-0.2392668
13,0.159152,0.14817117,"('impolite', 'polite')",-0.26258907,-0.34536737,-0.0517185,-0.0985981,0.0468796
79,-0.14407806,-0.18216905,"('wavering', 'unwavering')",-0.60933334,-0.60691136,-0.3767057,-0.3945402,0.0178345
22,-0.14036399,-0.20920476,"('untrustworthy', 'trustworthy')",-0.8065346,-0.9267216,-0.4734493,-0.5679632,0.0945139
67,0.12702662,0.115546696,"('doubtful', 'determined')",-0.50313795,-0.486909,-0.1880557,-0.1856811,-0.0023746
8,-0.11020631,0.012214109,"('unaffectionate', 'affectionate')",0.42244065,0.45889637,0.1561172,0.2355552,-0.079438
17,-0.09547096,-0.06629722,"('nasty', 'nice')",-0.5006714,-0.47194543,-0.2980712,-0.2691213,-0.0289499
0,-0.09072694,-0.030416548,"('unsociable', 'sociable')",0.040060855,-0.037909586,-0.025333,-0.0341631,0.0088301
5,-0.08152816,0.046118766,"('distant', 'outgoing')",-0.9733021,-0.9377334,-0.5274152,-0.4458073,-0.0816079
65,0.07618177,-0.09868529,"('insecure', 'secure')",0.17784119,0.055938292,0.1270115,-0.0213735,0.148385
59,-0.06412582,-0.05039391,"('foolish', 'wise')",-0.18947817,-0.14297593,-0.126802,-0.0966849,-0.0301171
34,-0.058668643,0.06313623,"('mean', 'honorable')",5.621016,5.581737,2.7811737,2.8224366,-0.0412629
84,-0.04316956,-0.123540685,"('inferior', 'superior')",0.630483,0.56171405,0.2936567,0.2190867,0.07457
64,0.034374427,0.04065066,"('shy', 'confident')",-6.8515363,-6.8093657,-3.408581,-3.3843575,-0.0242235
25,0.029909126,0.24328697,"('egoistic', 'altruistic')",0.62606156,0.7230451,0.3279853,0.483166,-0.1551807
