,applied_male,applied_female,tuple,materials_male,materials_female,inc_male,inc_female,average_male,average_female,male-female
31,-1.9894987,-2.0366287,"('evil', 'good')",-1.3044764,-1.3387321,-0.7094332,-0.74101895,-1.3344695,-1.3721266,0.0376571
29,-1.8067733,-1.8246503,"('unfair', 'fair')",-1.1451694,-1.2126416,-0.57209986,-0.8816294,-1.1746809,-1.3063072,0.1316263
19,-1.7113692,-1.7661706,"('inhospitable', 'hospitable')",-1.9061959,-1.9515948,-0.08238508,0.15547471,-1.2333167,-1.1874302,-0.0458865
22,-1.6704043,-1.5887887,"('untrustworthy', 'trustworthy')",-0.23577864,-0.1986442,-0.78849316,-0.86516416,-0.8982254,-0.884199,-0.0140264
82,-1.5564688,-1.4576782,"('poor', 'rich')",0.068246275,0.23858105,6.636533,6.845554,1.7161034,1.8754856,-0.1593822
67,1.4768485,1.3747526,"('doubtful', 'determined')",0.9496201,0.9232032,-0.5002987,-0.50949645,0.6420566,0.5961531,0.0459035
65,-1.4493465,-1.2330459,"('insecure', 'secure')",0.16290966,0.22995806,-0.41188908,-0.5215758,-0.5661087,-0.5082212,-0.0578875
32,-1.4044093,-1.3415335,"('unkind', 'kind')",0.37016544,0.4416069,1.0255668,0.9153408,-0.0028923,0.005138,-0.0080303
73,1.379369,1.2830098,"('helpless', 'self-reliant')",-0.12906723,-0.12226813,-3.0704353,-2.9526548,-0.6067111,-0.5973044,-0.0094067
69,1.3407147,1.1360475,"('lazy', 'industrious')",0.93243766,0.7503605,-0.45438847,-0.37428135,0.6062546,0.5040422,0.1022124
6,-1.1374042,-1.4334149,"('distant', 'open')",-1.6930928,-1.9330661,0.20768785,0.21159694,-0.8742697,-1.051628,0.1773583
72,1.1315676,0.9353204,"('unambitious', 'ambitious')",0.1656382,-0.031692605,-0.61294615,-0.8687967,0.2280866,0.0116103,0.2164763
5,-1.098061,-1.3475722,"('distant', 'outgoing')",-1.3163189,-1.5776505,-0.28485626,-0.18139248,-0.8997454,-1.0355384,0.135793
64,-1.0597761,-1.0953048,"('shy', 'confident')",0.080974,-0.004705822,-7.007665,-7.127791,-2.6621558,-2.7426004,0.0804446
84,1.0590771,0.91568834,"('inferior', 'superior')",0.38668403,0.19870172,1.1937995,1.0411271,0.8798536,0.7185057,0.1613479
16,-0.9965489,-1.0398853,"('unpopular', 'popular')",-0.98260057,-0.9086394,0.4055179,0.5572763,-0.5245438,-0.4637495,-0.0607943
68,-0.9251689,-0.9219847,"('dependent', 'independent')",-0.8488494,-0.77121896,-0.4024804,-0.42818302,-0.7254996,-0.7071289,-0.0183707
0,-0.92339104,-0.6098317,"('unsociable', 'sociable')",0.41349563,0.48185098,-0.7937619,-0.70897126,-0.4345524,-0.278984,-0.1555684
39,0.84444666,0.82783586,"('exploitative', 'cooperative')",0.384903,0.37247592,0.16381669,0.2384153,0.4643888,0.4795757,-0.0151869
61,-0.7852152,-0.6974605,"('illogical', 'logical')",0.14435503,0.23192057,0.09107044,0.12930772,-0.1832633,-0.1120774,-0.0711859
25,0.7835423,0.42588487,"('egoistic', 'altruistic')",1.482719,1.382634,1.7769864,1.6614076,1.3477491,1.1566421,0.191107
53,-0.7784192,-0.942578,"('uncreative', 'creative')",0.05706378,0.045504596,0.74681956,0.7919565,0.008488,-0.035039,0.043527
18,-0.77215534,-0.72703147,"('disagreeable', 'welcoming')",-0.3828459,-0.40520912,-0.34698066,-0.003234543,-0.5006607,-0.3784917,-0.122169
70,0.75301033,0.96880805,"('lethargic', 'energetic')",0.49377882,0.70059633,0.3524944,0.60590863,0.5330945,0.7584376,-0.2253431
27,-0.7441638,-0.83503455,"('hardhearted', 'softhearted')",-0.22681874,-0.3042448,1.5374026,1.4140433,0.1888067,0.091588,0.0972187
38,-0.7344784,-0.75509083,"('untruthful', 'truthful')",-0.05723688,-0.09639658,0.22127748,0.14379176,-0.1901459,-0.2358985,0.0457526
1,-0.7291094,-0.8396724,"('unfriendly', 'friendly')",0.15532616,0.09572333,1.8523273,1.9011145,0.4261814,0.3857218,0.0404596
79,-0.71255,-0.7858948,"('wavering', 'unwavering')",-1.6530195,-1.5890381,0.13838439,0.30522457,-0.7423951,-0.6899028,-0.0524923
