,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
35,-1.7536234,-1.0185283,"('corrupt', 'incorrupt')",0.28984907,0.77130145,-0.7318872,-0.1236134,-0.6082738
62,1.5030642,1.2430625,"('incompetent', 'brilliant')",-1.3179897,-1.3155462,0.0925372,-0.0362418,0.128779
38,-1.4570159,-1.2828575,"('untruthful', 'truthful')",-1.2686291,-1.1932193,-1.3628225,-1.2380384,-0.1247841
68,-1.427979,-1.3316631,"('dependent', 'independent')",-1.1465393,-1.1076491,-1.2872591,-1.2196561,-0.067603
39,1.3787369,1.2640045,"('exploitative', 'cooperative')",-0.53561056,-0.69649583,0.4215631,0.2837543,0.1378088
2,1.3268179,1.3958546,"('unlikable', 'likable')",1.0771077,1.1941679,1.2019627,1.2950113,-0.0930486
77,1.2779664,1.0398935,"('unmotivated', 'motivated')",-0.17800115,-0.5732749,0.5499826,0.2333093,0.3166733
56,1.2629894,0.8731395,"('impractical', 'practical')",-1.1276206,-1.5234971,0.0676844,-0.3251788,0.3928632
60,1.2498848,0.8960328,"('inefficient', 'efficient')",-1.1588727,-1.4450876,0.0455061,-0.2745274,0.3200335
21,1.2332355,0.6420938,"('immoral', 'moral')",0.090155005,-0.4820365,0.6616952,0.0800286,0.5816666
76,1.2252952,0.5788205,"('anxious', 'daring')",0.98849577,0.37140375,1.1068954,0.4751121,0.6317833
15,1.1841972,1.3846995,"('boring', 'funny')",1.0032464,1.3127583,1.0937219,1.3487289,-0.255007
18,-1.1267097,-1.2282516,"('disagreeable', 'welcoming')",0.31362253,0.29275563,-0.4065436,-0.467748,0.0612044
17,-1.0187281,-0.95577943,"('nasty', 'nice')",-0.8391758,-0.6760116,-0.928952,-0.8158956,-0.1130564
40,-0.9997532,-0.902326,"('stingy', 'generous')",-1.1567041,-0.9221734,-1.0782286,-0.9122497,-0.1659789
28,-0.95020807,-0.65289223,"('disloyal', 'loyal')",-1.6436847,-1.3870507,-1.2969464,-1.0199715,-0.2769749
87,0.9197935,0.5550025,"('unsuccessful', 'successful')",1.1537343,0.89318347,1.0367639,0.724093,0.3126709
14,0.91156644,0.42454445,"('antisocial', 'social')",-0.6487285,-0.96658653,0.131419,-0.271021,0.40244
53,0.9027835,1.2211106,"('uncreative', 'creative')",-0.81873125,-0.5152607,0.0420261,0.3529249,-0.3108988
42,0.88781214,0.7424501,"('unreliable', 'reliable')",1.0410521,1.0670441,0.9644321,0.9047471,0.059685
80,0.8707292,0.4239031,"('dominated', 'dominating')",-0.44462273,-0.92516464,0.2130532,-0.2506308,0.463684
