,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
69,3.6249316,3.7158425,"('lazy', 'industrious')",2.940721,3.161363,2.242054,2.111745,-0.260109,-0.935081,2.1368995,2.0134673,0.1234322
10,-3.3576028,-3.490548,"('unsympathetic', 'sympathetic')",-2.3789,-2.646551,-1.648271,-1.598452,0.0901434,0.47091445,-1.8236576,-1.8161591,-0.0074985
35,2.91545,2.9539843,"('corrupt', 'incorrupt')",1.9793671,2.1058233,1.5183873,1.4027033,-0.2913225,-0.7350886,1.5304705,1.4318557,0.0986148
55,-2.6584759,-2.8585143,"('incompetent', 'clever')",-1.7995076,-2.1017926,-2.28796,-2.3694887,0.31670097,0.68766296,-1.6073107,-1.6605332,0.0532225
45,-2.637149,-2.8412826,"('incompetent', 'competent')",-2.0322845,-2.228973,-1.403736,-1.5769242,-0.3604831,-0.3252292,-1.6084132,-1.7431022,0.134689
86,-2.5889113,-2.6723127,"('uninfluential', 'influential')",-1.1837939,-1.4782536,-0.6589214,-0.80353916,-0.14267191,-0.058800925,-1.1435746,-1.2532265,0.1096519
23,-2.5757828,-2.6236198,"('insincere', 'sincere')",-2.7016566,-2.8184566,-0.6797558,-0.49909195,5.518504,6.1769342,-0.1096727,0.0589414,-0.1686141
60,-2.442084,-2.5526783,"('inefficient', 'efficient')",-2.1109917,-2.411619,-1.307445,-1.395389,-0.23953569,0.41669744,-1.5250142,-1.4857472,-0.039267
46,-2.4171188,-2.2976992,"('uncompetitive', 'competitive')",-0.64745647,-0.8913415,-0.8746275,-0.8174927,-0.61487246,-0.3222815,-1.1385188,-1.0822037,-0.0563151
62,-2.3596077,-2.3970702,"('incompetent', 'brilliant')",-2.144435,-2.252065,-1.1985058,-1.0918716,0.027079988,0.39515463,-1.4188671,-1.3364631,-0.082404
43,-2.307316,-2.4226599,"('irresponsible', 'responsible')",-2.5188427,-2.7749069,-0.38700974,-0.46903116,0.4928698,0.9184409,-1.1800746,-1.1870394,0.0069648
85,2.2896545,2.0979426,"('insignificant', 'prestigious')",2.6536484,2.6174383,3.4087317,3.3147328,-0.19856502,-0.74009764,2.0383673,1.8225039,0.2158634
36,2.265365,2.0682497,"('hostile', 'amicable')",1.841853,1.8148855,3.0125608,2.7998786,0.10752881,-0.40049684,1.8068268,1.5706292,0.2361976
