,dean_male,dean_female,tuple,foods_male,foods_female,co_male,co_female,average_male,average_female,male-female
31,-3.3896055,-2.4845946,"('evil', 'good')",-0.22828719,-0.30216703,-0.953163,-1.2745411,-1.5236853,-1.3537676,-0.1699177
36,-3.305736,-2.2396991,"('hostile', 'amicable')",-0.7238975,-0.58969164,-0.3136041,-0.4194801,-1.4477458,-1.0829569,-0.3647889
46,2.8036954,1.6408225,"('uncompetitive', 'competitive')",0.071024306,0.062399566,-1.0558107,-0.794115,0.6063031,0.3030357,0.3032674
6,-2.3153908,-1.4817795,"('distant', 'open')",0.3952493,0.3424736,-0.26949394,-0.38414925,-0.7298784,-0.5078184,-0.22206
29,-2.2620647,-2.007956,"('unfair', 'fair')",-0.973577,-1.0882663,-0.9202193,-1.1725962,-1.385287,-1.4229396,0.0376526
4,-2.2421875,-1.8100919,"('disliked', 'liked')",0.49116987,0.57773155,-6.4626493,-6.6795735,-2.737889,-2.6373113,-0.1005777
62,2.1904716,1.4250679,"('incompetent', 'brilliant')",0.48977324,0.6095895,-0.1389423,0.19381273,0.8471009,0.7428234,0.1042775
52,-2.1742976,-1.4714097,"('irrational', 'rational')",0.31900498,0.40950006,-0.2825791,-0.4326416,-0.7126239,-0.4981838,-0.2144401
81,2.1564786,1.3766937,"('submissive', 'aggressive')",0.19023137,0.38969517,-1.1104312,-0.79505116,0.4120929,0.3237792,0.0883137
39,2.1519203,1.8931447,"('exploitative', 'cooperative')",0.7158845,0.6744779,0.4083635,0.48546186,1.0920561,1.0176949,0.0743612
23,2.0675185,1.711416,"('insincere', 'sincere')",-0.24670415,-0.07099037,5.3239446,5.7165146,2.3815864,2.4523134,-0.070727
5,-2.0560963,-1.221458,"('distant', 'outgoing')",0.58529884,0.6380942,-0.46656546,-0.54037374,-0.6457877,-0.3745792,-0.2712085
16,-2.0170932,-1.3967514,"('unpopular', 'popular')",-0.587635,-0.3757323,0.1293754,0.27147806,-0.8251176,-0.5003352,-0.3247824
60,1.9871715,0.9758567,"('inefficient', 'efficient')",0.461257,0.51468223,-0.2453466,0.05692752,0.7343607,0.5158222,0.2185385
35,-1.9296536,-1.0541015,"('corrupt', 'incorrupt')",-1.003513,-0.9960847,-0.81863606,-0.87411046,-1.2506008,-0.9747655,-0.2758353
21,1.9285625,1.0926223,"('immoral', 'moral')",0.61298025,0.6831825,-0.8943522,-0.66698855,0.5490635,0.3696054,0.1794581
76,1.9000092,1.2195137,"('anxious', 'daring')",-0.8216623,-0.74691945,-0.343485,-0.09659531,0.244954,0.125333,0.119621
67,1.89973,2.06747,"('doubtful', 'determined')",0.51109767,0.76656795,-0.041979134,0.13416514,0.7896162,0.989401,-0.1997848
56,1.8819647,1.5567023,"('impractical', 'practical')",1.173816,1.4170816,-0.16552123,0.2861188,0.9634198,1.0866342,-0.1232144
85,-1.8144512,-0.98811775,"('insignificant', 'prestigious')",0.72154254,0.69273674,-0.42785227,-0.5106433,-0.5069203,-0.2686748,-0.2382455
74,1.7467403,1.49209,"('undedicated', 'dedicated')",0.46139756,0.5150421,0.015016725,0.0036013704,0.7410516,0.6702445,0.0708071
13,1.7393777,1.2899233,"('impolite', 'polite')",0.7478702,0.7872736,-0.15149628,0.039403018,0.7785839,0.7055333,0.0730506
73,1.7003102,2.079718,"('helpless', 'self-reliant')",0.89503825,0.7141925,-3.0546987,-3.2526088,-0.1531168,-0.1528994,-0.0002174
69,-1.6967379,-1.1067519,"('lazy', 'industrious')",0.9139853,0.89234614,-0.6639001,-0.84986866,-0.4822176,-0.3547581,-0.1274595
44,-1.6669918,-1.2026412,"('prejudiced', 'unprejudiced')",-0.8286391,-0.8496574,-1.1794907,-1.1129173,-1.2250406,-1.055072,-0.1699686
55,1.6315165,0.45866212,"('incompetent', 'clever')",0.04795,-0.020835632,-0.16900438,-0.07183183,0.5034873,0.1219982,0.3814891
10,1.6307386,0.3260101,"('unsympathetic', 'sympathetic')",-0.31689656,-0.5144277,-0.42250234,-0.3766194,0.2971132,-0.1883457,0.4854589
43,1.6246,1.2289246,"('irresponsible', 'responsible')",0.40070197,0.2817393,0.33175275,0.51348716,0.7856849,0.674717,0.1109679
12,1.55786,0.9980906,"('unsupportive', 'supportive')",1.0327187,0.86285794,-2.0607743,-2.256442,0.1766014,-0.1318312,0.3084326
80,1.4649577,0.48790294,"('dominated', 'dominating')",0.017582022,-0.18768167,-0.5364491,-0.72812337,0.3153636,-0.142634,0.4579976
77,1.4181048,0.8140739,"('unmotivated', 'motivated')",-0.43105996,-0.4073103,-1.2452999,-1.2664956,-0.086085,-0.2865773,0.2004923
25,-1.4101019,-1.0223331,"('egoistic', 'altruistic')",0.98097515,0.86232936,1.0731378,0.96181154,0.2146703,0.2672693,-0.052599
