,apollo_male,apollo_female,tuple,education_male,education_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,2.2784505,1.9110861,"('unintelligent', 'intelligent')",0.72419137,0.5682697,0.009701303,-0.14110604,0.6072527,0.47706413,0.904899,0.7038285,0.2010705
72,1.3567388,1.5485636,"('unambitious', 'ambitious')",0.6838955,0.57029206,0.33859557,0.38319445,-0.93473065,-0.85227656,0.3611248,0.4124434,-0.0513186
16,-1.326745,-1.3679689,"('unpopular', 'popular')",-0.11475175,-0.15021437,-0.3227873,-0.15958259,0.28923297,0.36632797,-0.3687628,-0.3278595,-0.0409033
26,1.3262837,1.3544965,"('hardhearted', 'benevolent')",1.0645512,1.0726907,0.87284267,0.9552947,1.2596505,1.6060865,1.130832,1.2471421,-0.1163101
6,-1.2097044,-1.351619,"('distant', 'open')",0.061365616,0.26696625,-2.0228064,-1.7308815,-0.124161944,0.05807755,-0.8238268,-0.6893641,-0.1344627
22,-1.1467543,-0.984682,"('untrustworthy', 'trustworthy')",0.14690483,0.10540721,1.4784104,1.2331384,-0.9091985,-0.993218,-0.1076594,-0.1598386,0.0521792
44,-1.1087788,-1.0760783,"('prejudiced', 'unprejudiced')",-0.32260972,-0.3163001,-0.4795518,-0.47022322,-1.4466966,-1.3883641,-0.8394092,-0.8127414,-0.0266678
73,1.1022199,1.1998363,"('helpless', 'self-reliant')",1.0391011,0.91638273,-0.6145242,-0.52432895,-3.2720406,-3.2747724,-0.4363109,-0.4207206,-0.0155903
19,-1.0968306,-1.110897,"('inhospitable', 'hospitable')",0.40045926,0.4127658,-1.1322746,-0.90720284,-0.28777307,-0.03960455,-0.5291048,-0.4112346,-0.1178702
47,-1.079228,-1.133143,"('stupid', 'smart')",1.3146611,1.3809859,1.2151209,1.0546292,5.024169,4.9635406,1.6186807,1.5665032,0.0521775
45,-1.0601498,-0.86109656,"('incompetent', 'competent')",0.9676379,1.0565805,0.49042967,0.4244764,-0.33059648,-0.38100272,0.0168303,0.0597394,-0.0429091
5,-1.0030375,-1.0879887,"('distant', 'outgoing')",0.23848835,0.41372803,-1.5536494,-1.2444,-0.696611,-0.424667,-0.7537024,-0.5858319,-0.1678705
