,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,male-female
36,-3.337254,-3.0236535,"('hostile', 'amicable')",-3.2871034,-2.9127772,-0.73309755,-0.8667592,-2.4524849,-2.2677301,-0.1847548
56,2.2984354,2.5169039,"('impractical', 'practical')",2.5402913,2.633439,0.0046230555,0.19391114,1.61445,1.781418,-0.166968
39,2.1726754,2.076209,"('exploitative', 'cooperative')",1.5480055,1.5270475,0.32810107,0.2716687,1.349594,1.2916418,0.0579522
12,2.129744,1.9269149,"('unsupportive', 'supportive')",0.90843177,0.8605023,-1.8947247,-1.9059433,0.3811504,0.2938246,0.0873258
35,-2.1038735,-1.7997135,"('corrupt', 'incorrupt')",-2.692738,-2.5582678,-0.9625117,-0.9983108,-1.9197078,-1.7854306,-0.1342772
14,2.0834756,2.0543783,"('antisocial', 'social')",2.8882022,2.7910612,0.1343792,0.048677646,1.7020191,1.6313723,0.0706468
52,-2.0566874,-1.4468116,"('irrational', 'rational')",-1.6527851,-1.4295177,-0.48978326,-0.41017792,-1.3997518,-1.0955025,-0.3042493
62,1.9398966,1.9090769,"('incompetent', 'brilliant')",2.0950422,2.1545298,0.58618766,0.85099965,1.5403756,1.6382022,-0.0978266
43,1.79542,1.6476891,"('irresponsible', 'responsible')",1.730273,1.6004333,0.6874469,0.83984834,1.40438,1.3626569,0.0417231
31,-1.7009273,-1.5143226,"('evil', 'good')",-1.5902652,-1.5994681,-1.0002713,-1.1240455,-1.430488,-1.4126121,-0.0178759
60,1.6471076,1.3378974,"('inefficient', 'efficient')",2.451276,2.2288868,0.5517394,0.594329,1.550041,1.3870378,0.1630032
70,1.6274133,1.297618,"('lethargic', 'energetic')",1.6512719,1.4811114,0.7583372,0.83115077,1.345674,1.2032934,0.1423806
85,-1.6190711,-1.152356,"('insignificant', 'prestigious')",-2.112348,-1.7919502,-1.1290281,-1.1513535,-1.620149,-1.3652199,-0.2549291
80,1.6111374,1.3367176,"('dominated', 'dominating')",1.1661036,1.0624176,-0.5892724,-0.63552773,0.7293229,0.5878691,0.1414538
