,morgan_male,morgan_female,tuple,stanley_male,stanley_female,dean_male,dean_female,witter_male,witter_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
85,3.1847532,3.0617929,"('insignificant', 'prestigious')",2.229883,2.1603327,-3.1896167,-3.2518766,1.288563,1.06391,2.6716166,2.848312,1.359064,1.3729511,1.2573771,1.209237,0.0481401
66,2.5310073,2.2717547,"('inactive', 'active')",1.9657762,2.003641,-0.3453936,-0.39509767,1.5719123,1.203494,2.6102974,2.5936348,2.6035519,2.5043292,1.8228585,1.6969592,0.1258993
9,2.218181,1.9210209,"('unaffectionate', 'caring')",1.6987789,1.4196733,-0.3294341,-0.55883414,-1.2934632,-1.3834512,0.9597227,0.85239303,0.8987893,0.9234193,0.6920958,0.5290369,0.1630589
36,2.1379569,2.011489,"('hostile', 'amicable')",2.3014908,2.1861856,-2.276588,-2.0501516,1.3521057,1.1870766,1.155129,1.3440206,1.1332061,1.1815312,0.9672167,0.9766919,-0.0094752
1,2.036605,1.6314504,"('unfriendly', 'friendly')",1.3365214,0.96236426,-1.1170757,-1.258211,-2.0497513,-2.0617192,0.8677406,0.75617886,1.337351,1.3096315,0.4018985,0.2232825,0.178616
45,-2.0208445,-2.2327385,"('incompetent', 'competent')",-1.6739373,-1.8635058,0.4263879,0.286849,-1.6497643,-1.3140528,-0.54326093,-0.8344207,-1.3603418,-1.3328137,-1.1369602,-1.2151138,0.0781536
81,-1.9982964,-1.7637894,"('submissive', 'aggressive')",-0.6521878,-0.54933614,2.556783,2.7603114,-1.5906184,-1.4396986,-0.7819942,-0.8484842,-2.1478665,-2.0816424,-0.7690301,-0.6537732,-0.1152569
10,-1.9002869,-1.9704931,"('unsympathetic', 'sympathetic')",-0.9561664,-1.0267397,1.593705,1.3462998,-2.71887,-2.569073,-0.6355852,-0.8200783,-0.52777433,-0.6576033,-0.8574963,-0.9496146,0.0921183
71,1.891229,1.7864661,"('diffident', 'self-confident')",2.3369083,2.2152314,-0.09802011,-0.21777521,0.3155757,0.17292035,0.77699256,0.73652613,0.37042323,0.30758476,0.9321849,0.8334923,0.0986926
60,-1.8618046,-1.6933644,"('inefficient', 'efficient')",-1.0329099,-0.9114155,1.9694972,1.9692609,-2.2345629,-1.9102347,-0.94034344,-1.0513858,-1.3851708,-1.2740257,-0.9142157,-0.8118609,-0.1023548
58,1.8556484,1.5975726,"('undiscriminating', 'discriminating')",1.47956,1.2077707,0.7244295,0.46032447,-0.6642686,-0.4134049,0.39347792,0.4030045,0.50626,0.5874648,0.7158512,0.6404553,0.0753959
5,1.8323038,1.8486159,"('distant', 'outgoing')",0.82358086,0.7546598,-2.3742003,-2.2689142,1.4843261,1.5881305,1.0599358,1.158097,0.44246006,0.7027743,0.5447344,0.6305606,-0.0858262
65,-1.8313427,-1.5054431,"('insecure', 'secure')",-1.7267255,-1.4995174,1.2853456,1.3681083,-2.135042,-1.8060619,-0.67650366,-0.752087,-1.519832,-1.4661855,-1.1006834,-0.9435311,-0.1571523
2,1.7950588,1.8707093,"('unlikable', 'likable')",1.3091674,1.4762776,1.0891843,1.1837652,-0.33082289,-0.015339485,1.1797483,1.2244599,0.22253266,0.41741925,0.877478,1.0262154,-0.1487374
33,1.7892036,1.5777673,"('wrong', 'right')",0.79089236,0.7116382,-0.20831817,-0.31715387,0.7939779,0.6985374,0.7839124,0.7019213,-0.50631917,-0.5006171,0.5738915,0.4786822,0.0952093
86,-1.7712336,-2.120673,"('uninfluential', 'influential')",-0.72500706,-1.0336996,0.41761845,0.34030935,-2.8159316,-2.5485034,-0.31402546,-0.46232405,-1.3286551,-1.315485,-1.0895391,-1.1900627,0.1005236
82,-1.7050914,-1.786269,"('poor', 'rich')",-1.1355695,-1.122431,0.1008746,0.4213602,-1.7582221,-1.6944565,-1.240537,-1.2255399,3.4077544,3.6052337,-0.3884652,-0.3003504,-0.0881148
6,1.7047443,1.6039543,"('distant', 'open')",0.94907117,0.7971832,-2.3670225,-2.2667568,1.0799905,1.1322721,1.0092081,1.0568281,0.63734704,0.81217146,0.5022231,0.5226088,-0.0203857
22,-1.6901069,-1.911341,"('untrustworthy', 'trustworthy')",-1.9448856,-2.0387862,1.3278596,1.1633685,-1.3147426,-0.9703587,-0.6719531,-0.8825887,-1.6489202,-1.6871213,-0.9904581,-1.0544713,0.0640132
54,1.6723751,1.4315789,"('incapable', 'capable')",1.4361407,1.2436547,-0.6281563,-0.74099356,-0.2306163,-0.3760622,0.80827695,0.6729001,0.5575166,0.4908921,0.6025894,0.4536617,0.1489277
70,-1.6557256,-1.7738466,"('lethargic', 'energetic')",-0.71364325,-0.80225587,1.5121801,1.3999516,-1.117609,-0.86257255,-0.2313338,-0.36167088,-0.91841894,-0.96107066,-0.5207584,-0.5602442,0.0394858
26,1.6198838,1.5097743,"('hardhearted', 'benevolent')",1.2967341,1.2260752,-0.9489068,-1.0941752,-0.5627042,-0.34297216,2.7797236,2.6214263,1.0240146,1.132316,0.8681242,0.8420741,0.0260501
3,-1.6154878,-1.709094,"('repellent', 'pleasant')",-1.1945478,-1.3119289,1.191012,0.9722591,-2.0874405,-2.1372507,-0.97448444,-1.0148584,0.4942123,0.4057944,-0.6977894,-0.7991796,0.1013902
8,1.6152476,1.3153951,"('unaffectionate', 'affectionate')",1.2304937,0.8536939,-1.528238,-1.7392128,-0.61646867,-0.7459862,1.0713544,1.0079045,0.9357152,0.9317653,0.4513507,0.2705933,0.1807574
14,-1.5858744,-1.3257759,"('antisocial', 'social')",-0.9518616,-0.6557547,1.0145274,0.9708608,-1.7355553,-1.4431444,0.20602082,0.1061523,-1.6624126,-1.6175624,-0.7858593,-0.6608707,-0.1249886
48,-1.4892856,-1.7312775,"('unintelligent', 'intelligent')",-1.2135388,-1.2750193,-0.41868263,-0.5414617,-3.1101384,-2.8535905,-1.0787568,-1.161134,-1.882439,-1.7963512,-1.5321403,-1.5598057,0.0276654
52,1.47285,1.3633802,"('irrational', 'rational')",-0.6222805,-0.9038968,-2.7209861,-2.592886,0.28884584,0.18749624,0.7873362,0.8099917,0.12463939,0.20942622,-0.1115992,-0.1544147,0.0428155
69,1.4382961,1.3917357,"('lazy', 'industrious')",1.4225322,1.556762,-1.5714719,-1.5095885,2.7379205,2.433017,1.3281729,1.4166952,0.4169008,0.5414813,0.9620584,0.9716838,-0.0096254
80,-1.3742257,-1.3238555,"('dominated', 'dominating')",-0.696326,-0.5775614,1.8115295,1.7575009,-0.075565316,0.025926095,-0.24879017,-0.38139182,-0.81025326,-0.85078645,-0.2322719,-0.225028,-0.0072439
76,-1.3596593,-1.1565262,"('anxious', 'daring')",-0.6945297,-0.48507792,2.2076864,2.1910434,-1.127184,-0.9245633,0.5206014,0.49907506,-0.35764086,-0.33807108,-0.135121,-0.0356867,-0.0994343
30,-1.2958512,-1.0845044,"('intolerant', 'tolerant')",-2.0423443,-1.7249888,0.8706887,0.9621506,-1.8053455,-1.3657291,-1.2447956,-1.2962021,-1.4470544,-1.2157694,-1.1607837,-0.9541738,-0.2066099
79,1.2773929,1.0133353,"('wavering', 'unwavering')",1.2312487,1.0149956,-1.5365134,-1.4611373,0.15100442,-0.07646356,1.1928425,1.3015085,0.4693614,0.4163926,0.4642227,0.3681052,0.0961175
35,1.1877757,1.172448,"('corrupt', 'incorrupt')",1.1581511,1.231157,-1.6679955,-1.5010853,2.7334807,2.453215,0.50759983,0.62018204,0.46649426,0.4780354,0.7309177,0.7423253,-0.0114076
0,-1.1684741,-1.0593271,"('unsociable', 'sociable')",-0.63729143,-0.6266674,1.1512872,1.101833,-1.2630773,-1.0271221,-0.098150164,-0.16621426,-0.5992905,-0.48712745,-0.4358327,-0.3774376,-0.0583951
55,-1.1591481,-1.3205242,"('incompetent', 'clever')",-0.9642621,-1.0801716,2.4570343,2.321202,-2.1097238,-1.7810168,-0.9027835,-1.1304802,-1.36004,-1.4066592,-0.6731539,-0.7329416,0.0597877
16,1.1432915,1.0392909,"('unpopular', 'popular')",0.12848507,0.082271114,-1.4021373,-1.5096067,0.68823576,0.37120354,0.61212707,0.74899805,0.65202934,0.6960638,0.3036719,0.2380368,0.0656351
83,1.1143988,1.0174495,"('powerless', 'powerful')",1.2728975,1.1270263,1.2380095,1.0354255,-0.28054962,-0.29464933,0.34122902,0.5288834,-1.1863283,-1.0872858,0.4166094,0.3878083,0.0288011
51,-1.10031,-1.2039315,"('uneducated', 'educated')",-0.3406278,-0.27219322,1.4194592,1.6497048,-1.2026675,-1.019232,-0.33491024,-0.3852882,-0.9346731,-0.949825,-0.4156216,-0.3634609,-0.0521607
49,-1.0016818,-0.9976633,"('unable', 'able')",-0.4670208,-0.43329915,-0.30329174,-0.26754594,-0.6007163,-0.33717757,-0.17223784,-0.20847046,-0.7663955,-0.7148052,-0.5518907,-0.4931602,-0.0587305
12,0.9912517,0.7461617,"('unsupportive', 'supportive')",1.0941697,0.9618742,0.7959376,0.6421898,-1.3617938,-1.1670835,0.9280571,0.8578079,-1.8596364,-1.8368752,0.0979976,0.0340125,0.0639851
57,-0.96885,-1.1712438,"('unimaginative', 'imaginative')",-0.18867536,-0.33067536,0.24901369,0.2061481,-1.7873135,-1.4167461,-0.37215713,-0.4792018,-2.3940794,-2.28026,-0.9103436,-0.9119965,0.0016529
77,-0.8971765,-0.9335552,"('unmotivated', 'motivated')",-0.24144906,-0.18407947,0.26501358,0.2709277,-1.7895766,-1.9089825,-0.19327867,-0.25756237,-0.34394258,-0.45417783,-0.5334016,-0.577905,0.0445034
87,0.89499915,0.86805934,"('unsuccessful', 'successful')",0.82748955,0.9412431,1.2867467,1.4043148,1.3979856,1.3961183,2.6094046,2.5643034,1.1497979,1.2352324,1.3610706,1.4015452,-0.0404746
56,-0.8866692,-0.70778066,"('impractical', 'practical')",-0.8289375,-0.5726621,1.392934,1.4840945,-1.636404,-1.3834401,-0.9823788,-1.0181862,-1.4795849,-1.2823148,-0.7368401,-0.5800482,-0.1567919
59,0.8643121,0.6721308,"('foolish', 'wise')",-0.25937533,-0.36357725,-1.2312294,-1.0708139,1.3784676,1.2645493,1.4501209,1.4721653,-0.09738402,0.11482749,0.3508186,0.3482136,0.002605
75,0.8586375,0.7726932,"('meek', 'impulsive')",0.7271627,0.64534384,-0.6453123,-0.59080255,1.4069407,1.3652477,-0.12453818,-0.019438252,0.8453951,0.8540827,0.5113809,0.5045211,0.0068598
15,0.8320319,0.9190661,"('boring', 'funny')",-0.6207639,-0.47674283,-1.0761201,-0.93748295,0.53377354,0.6479854,0.027292319,0.06592882,-0.1572625,-0.027743272,-0.0768415,0.0318352,-0.1086767
68,-0.83095056,-0.8201367,"('dependent', 'independent')",-1.096018,-1.0828598,0.1295346,0.18010326,-0.27941078,-0.21572976,-0.86745423,-0.9135375,-1.252584,-1.3025929,-0.6994805,-0.6924589,-0.0070216
13,-0.8291507,-0.6241636,"('impolite', 'polite')",-0.3975162,-0.046457924,2.3569126,2.357577,-1.0756685,-0.9550438,-0.73585314,-0.7906072,-0.8387264,-0.7305532,-0.2533337,-0.1315415,-0.1217922
37,-0.8151949,-1.1589097,"('fake', 'genuine')",-1.1684493,-1.3322684,1.0829679,0.8825371,-0.057949606,-0.009294439,-0.4582708,-0.5434964,0.025277637,0.026669616,-0.2319365,-0.3557937,0.1238572
73,0.8090424,0.7421535,"('helpless', 'self-reliant')",-0.5837725,-0.42395663,0.5716506,0.567679,1.6112074,1.8479577,-0.30275458,-0.10274939,-2.4847007,-2.2571852,-0.0632213,0.0623165,-0.1255378
72,-0.7246536,-0.6955259,"('unambitious', 'ambitious')",-0.117854126,-0.159388,0.3308736,0.25931937,-2.1604915,-1.9384154,-0.81440675,-0.7828085,-1.4463791,-1.2875493,-0.8221519,-0.7673946,-0.0547573
31,0.7149,0.4955915,"('evil', 'good')",-0.3077209,-0.46893883,-3.6484647,-3.5128481,0.6192458,0.49132654,0.2077609,0.35766646,-0.17411982,-0.027550219,-0.4313998,-0.4441255,0.0127257
84,0.70651925,0.62367857,"('inferior', 'superior')",0.9589708,0.93645614,0.87438124,0.63956714,0.49240834,0.4008651,1.0711803,1.0750672,0.59413093,0.5883172,0.7829318,0.7106586,0.0722732
38,0.67468804,0.53853387,"('untruthful', 'truthful')",0.6116267,0.44025934,-0.18129376,-0.22290738,-0.27381343,-0.3650715,-0.57148737,-0.5204386,0.2693818,0.34915346,0.0881837,0.0365882,0.0515955
24,-0.6744647,-0.72494376,"('dishonest', 'honest')",-1.1457032,-1.0528432,1.0421513,0.89948756,-2.081702,-1.895497,-0.6970224,-0.79384977,-0.8655034,-0.73362935,-0.7370408,-0.7168792,-0.0201616
28,-0.5797161,-0.6715517,"('disloyal', 'loyal')",-0.48605335,-0.68663436,-0.10899321,-0.23736845,-1.7964321,-1.78181,-0.1382048,-0.2697783,-0.26611245,-0.2923005,-0.5625854,-0.6565739,0.0939885
21,-0.5693879,-0.5665118,"('immoral', 'moral')",-1.1985756,-1.0033088,2.0583644,1.9651823,-1.8996795,-1.5905739,-0.8369767,-0.93347466,-2.218683,-2.1370816,-0.7774897,-0.7109614,-0.0665283
