,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
69,1.8015962,1.7141151,"('lazy', 'industrious')",0.9136925,1.1234888,-0.2657463,-0.53171164,0.8165141,0.7686308,0.0478833
86,-1.7360184,-1.8819133,"('uninfluential', 'influential')",0.5746656,0.38361546,-0.29763892,-0.2574659,-0.4863306,-0.5852546,0.098924
57,-1.7257831,-1.791205,"('unimaginative', 'imaginative')",-0.11264543,-0.43881205,-2.330257,-2.8918347,-1.3895618,-1.707284,0.3177222
0,-1.6001552,-1.5466213,"('unsociable', 'sociable')",-0.28874403,-0.1995342,-0.96109587,-0.5835409,-0.9499984,-0.7765655,-0.1734329
10,-1.5886598,-1.9625615,"('unsympathetic', 'sympathetic')",-0.50765705,-1.0602605,-0.59231365,-0.84359485,-0.8962102,-1.2888056,0.3925954
35,1.4297657,1.3926396,"('corrupt', 'incorrupt')",0.025544098,0.120486595,-0.15223703,-0.2836448,0.4343576,0.4098272,0.0245304
46,-1.3683429,-1.390736,"('uncompetitive', 'competitive')",0.1718913,-0.12506059,-0.73756224,-0.84114397,-0.6446713,-0.7856468,0.1409755
53,-1.3175963,-1.5307634,"('uncreative', 'creative')",0.59467715,0.48560852,0.85422176,0.8016195,0.0437675,-0.0811784,0.1249459
83,-1.3094356,-1.3302567,"('powerless', 'powerful')",-0.25666744,-0.23542868,-1.3187331,-1.2074835,-0.9616121,-0.9243897,-0.0372224
60,-1.246833,-1.1100234,"('inefficient', 'efficient')",0.3761712,0.26658532,-0.40244135,0.09957625,-0.4243677,-0.2479539,-0.1764138
77,-1.2042958,-1.372028,"('unmotivated', 'motivated')",0.30187312,0.30551425,-1.3877923,-1.4914623,-0.763405,-0.8526587,0.0892537
33,1.1828287,0.89043653,"('wrong', 'right')",1.5304255,1.2428277,-0.24878508,-0.4836173,0.8214897,0.5498823,0.2716074
81,-1.1526942,-0.63247806,"('submissive', 'aggressive')",-0.17681628,0.011211701,-1.0440873,-0.7970259,-0.7911992,-0.4727641,-0.3184351
61,-1.1268467,-0.993064,"('illogical', 'logical')",0.37346137,0.3818553,-0.16695964,-0.03916481,-0.3067816,-0.2167912,-0.0899904
28,-1.080427,-1.0862601,"('disloyal', 'loyal')",0.040023964,0.1839307,0.86021036,0.97532284,-0.0600643,0.0243312,-0.0843955
43,-1.0729799,-1.0945445,"('irresponsible', 'responsible')",-0.079082,-0.44999427,0.17675719,0.28326195,-0.3251016,-0.4204256,0.095324
1,-1.0154288,-1.5196105,"('unfriendly', 'friendly')",0.9244544,0.61558914,1.941063,1.8904675,0.6166962,0.3288154,0.2878808
55,-0.9808431,-0.91164744,"('incompetent', 'clever')",0.011755988,-0.09690577,-0.095127374,-0.07120094,-0.3547382,-0.3599181,0.0051799
78,-0.9563459,-1.2806889,"('nonresilient', 'resilient')",0.52550924,0.18931897,0.7064336,0.23829222,0.0918656,-0.2843592,0.3762248
65,-0.8975134,-0.6928765,"('insecure', 'secure')",-0.005476782,-0.023745209,-0.42984444,-0.22422498,-0.4442782,-0.3136156,-0.1306626
44,0.8818701,1.2191017,"('prejudiced', 'unprejudiced')",-1.1292801,-1.1630187,-1.6410893,-1.7787957,-0.6294998,-0.5742376,-0.0552622
88,-0.86737007,-1.1448146,"('low', 'eminent')",-0.3043697,-0.41469422,0.17308876,0.0020460635,-0.3328837,-0.5191542,0.1862705
9,-0.8510501,-1.1377603,"('unaffectionate', 'caring')",0.6141246,0.4524571,1.1764027,1.1883837,0.3131591,0.1676935,0.1454656
48,-0.8330712,-0.9914803,"('unintelligent', 'intelligent')",1.4316015,1.5448058,0.5841878,0.59547955,0.3942394,0.382935,0.0113044
72,-0.8090666,-0.70501655,"('unambitious', 'ambitious')",-0.11179951,-0.20523347,-0.85934156,-0.88003874,-0.5934025,-0.5967629,0.0033604
3,-0.79694957,-0.9670473,"('repellent', 'pleasant')",-0.47232682,-0.43541005,0.21559325,0.09683556,-0.3512277,-0.4352072,0.0839795
67,0.7638524,0.7549339,"('doubtful', 'determined')",0.35417122,0.49764127,-0.82000256,-0.40800697,0.0993404,0.2815227,-0.1821823
73,0.7528465,0.7176916,"('helpless', 'self-reliant')",0.12957902,0.11432341,-2.9202888,-3.2440531,-0.6792878,-0.8040127,0.1247249
21,-0.7413775,-0.7153923,"('immoral', 'moral')",0.46112925,0.37846592,-0.9938358,-0.86566037,-0.4246947,-0.4008623,-0.0238324
75,0.71710706,0.5818089,"('meek', 'impulsive')",-0.1839972,-0.21896073,-0.2176981,-0.48737645,0.1051372,-0.0415094,0.1466466
63,-0.716501,-1.0273656,"('unperceptive', 'insightful')",0.21322769,0.038074557,0.96761376,0.93209386,0.1547801,-0.0190657,0.1738458
62,-0.7083698,-0.49724293,"('incompetent', 'brilliant')",0.44783133,0.43822494,-0.057961226,0.06256273,-0.1061666,0.0011816,-0.1073482
8,-0.70346856,-0.962266,"('unaffectionate', 'affectionate')",0.09747258,0.051551804,0.6229892,0.62629545,0.0056644,-0.0948063,0.1004707
50,0.70175046,0.5043568,"('clumsy', 'skillful')",-0.14575928,-0.15026058,0.67817026,0.19239008,0.4113871,0.1821621,0.229225
11,-0.687227,-0.7260194,"('unhelpful', 'helpful')",0.55421007,0.41255128,1.6866425,1.9395046,0.5178752,0.5420122,-0.024137
14,-0.67329764,-0.16973336,"('antisocial', 'social')",0.32618237,0.57283944,-1.0256563,-0.56034887,-0.4575905,-0.0524143,-0.4051762
58,-0.6430934,-0.8294732,"('undiscriminating', 'discriminating')",0.8994062,0.7257309,0.28076446,0.17089444,0.1790257,0.022384,0.1566417
79,0.6279535,0.26586452,"('wavering', 'unwavering')",-1.3959304,-1.51278,0.19669957,-0.09606864,-0.1904258,-0.4476614,0.2572356
70,-0.6278249,-0.6996516,"('lethargic', 'energetic')",-0.31544283,-0.5729698,0.6706956,0.47256145,-0.0908574,-0.2666866,0.1758292
4,0.5886338,0.62152576,"('disliked', 'liked')",-0.29940945,-0.057752233,-5.815058,-6.1743298,-1.8419447,-1.8701854,0.0282407
68,-0.58059317,-0.5068788,"('dependent', 'independent')",-0.5422863,-0.2514234,-0.44521487,-0.34586632,-0.5226981,-0.3680562,-0.1546419
32,-0.57765085,-0.5993174,"('unkind', 'kind')",-0.34050557,-0.37283614,1.0053412,1.0327983,0.0290616,0.0202149,0.0088467
45,-0.5232742,-0.80422455,"('incompetent', 'competent')",0.05756207,-0.23808064,-0.14032522,-0.6300146,-0.2020124,-0.55744,0.3554276
