,jacobs_male,jacobs_female,tuple,engineering_male,engineering_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
56,2.3953593,2.5557308,"('impractical', 'practical')",1.0132983,1.4725462,0.20040992,0.6725103,0.2268914,0.45544088,0.9589897,1.289057,-0.3300673
39,2.2520056,1.9451754,"('exploitative', 'cooperative')",-0.07131525,0.20447594,1.5024269,1.621925,-0.18380749,-0.03678035,0.8748274,0.933699,-0.0588716
31,-2.12828,-1.6368495,"('evil', 'good')",-0.24346583,-0.53632003,-1.2507145,-1.3961873,-1.7413728,-1.6742016,-1.3409584,-1.3108896,-0.0300688
16,-2.1076822,-1.9143087,"('unpopular', 'popular')",-0.22390366,-0.57837117,-0.0289381,-0.26071042,0.47412264,0.3447365,-0.4716003,-0.6021634,0.1305631
46,1.8367668,1.1655427,"('uncompetitive', 'competitive')",0.18043245,0.2383849,1.5224644,1.3981566,0.15874998,-0.0434755,0.9246035,0.6896522,0.2349513
12,1.8257922,1.972907,"('unsupportive', 'supportive')",0.7216481,0.8295607,0.79225314,0.98225605,-1.3221109,-1.1996301,0.5043957,0.6462734,-0.1418777
74,1.7782756,1.6661868,"('undedicated', 'dedicated')",-0.70127904,-0.57054037,1.4254053,1.4484357,0.6523665,0.5903033,0.7886921,0.7835964,0.0050957
4,-1.6178626,-1.3098626,"('disliked', 'liked')",-0.049773358,-0.07423329,0.11568038,-0.07524626,-6.5459766,-6.1619925,-2.024483,-1.9053336,-0.1191494
60,1.4424405,1.5114752,"('inefficient', 'efficient')",0.019481096,0.5661788,1.2560067,1.5160171,0.27332038,0.5386564,0.7478122,1.0330818,-0.2852696
43,1.3919128,1.4260814,"('irresponsible', 'responsible')",0.19081503,0.57078254,0.28136572,0.70550776,0.92560726,1.0781144,0.6974252,0.9451215,-0.2476963
36,-1.3642648,-1.1271024,"('hostile', 'amicable')",0.0075512193,-0.4213518,-1.4790529,-1.7023543,-0.17634617,-0.34490016,-0.7530282,-0.8989272,0.145899
10,1.354397,1.1208984,"('unsympathetic', 'sympathetic')",-0.9057561,-0.8515203,-0.027335977,-0.12857223,0.38135776,0.18017791,0.2006657,0.0802459,0.1204198
70,1.3241078,1.0130115,"('lethargic', 'energetic')",0.14109893,0.2856151,0.42878658,0.7526938,1.2688344,1.1683264,0.7907069,0.8049117,-0.0142048
23,1.2916325,1.5528314,"('insincere', 'sincere')",-0.2738971,0.12573123,-0.011259779,0.25210518,6.0874434,5.9414234,1.7734797,1.9680228,-0.1945431
84,1.2218783,1.1355286,"('inferior', 'superior')",1.6521769,1.6140412,0.5441625,0.5507131,0.6114072,0.76890403,1.0074062,1.0172968,-0.0098906
55,1.2143732,0.6661861,"('incompetent', 'clever')",-0.63620865,-0.5057505,1.1430558,1.0146875,0.19586754,0.106807604,0.479272,0.3204827,0.1587893
37,1.1809047,1.0243298,"('fake', 'genuine')",0.47951075,0.29809415,0.29429117,0.21415578,0.5651522,0.48994985,0.6299647,0.5066324,0.1233323
88,-1.1383896,-1.1518912,"('low', 'eminent')",-0.49835902,-0.4538874,-1.060791,-0.8957852,0.11969866,0.3111906,-0.6444602,-0.5475934,-0.0968668
44,-1.1317198,-1.0402026,"('prejudiced', 'unprejudiced')",-0.37977192,-0.169401,-0.7411825,-0.44319797,-1.615586,-1.4481938,-0.9670651,-0.7752489,-0.1918162
82,-1.1050277,-1.0989356,"('poor', 'rich')",0.18331838,0.3046457,-0.0658731,0.14554013,6.3017964,6.101898,1.3285536,1.3632871,-0.0347335
5,-1.1025511,-0.70326936,"('distant', 'outgoing')",0.47123244,0.39906636,-1.4266084,-1.3917873,-0.7104752,-0.57213867,-0.6921006,-0.5670322,-0.1250684
30,1.0992162,1.428068,"('intolerant', 'tolerant')",0.50957704,0.78450954,0.13858017,0.32062754,0.69232494,0.9940894,0.6099246,0.8818236,-0.271899
7,1.0928097,1.1861744,"('insensitive', 'sensitive')",0.1748248,0.40872198,-0.08551927,0.03277698,1.0137061,0.937171,0.5489553,0.641211,-0.0922557
35,-1.0728074,-0.63561296,"('corrupt', 'incorrupt')",0.24768361,0.13268353,-1.2883449,-1.2949036,-0.60999316,-0.60837036,-0.6808655,-0.6015509,-0.0793146
73,1.0649836,1.5843693,"('helpless', 'self-reliant')",0.5894552,0.575735,-0.25178483,-0.025793727,-3.680507,-3.424291,-0.5694633,-0.3224951,-0.2469682
21,1.0300851,1.1740863,"('immoral', 'moral')",0.71265095,0.9637867,0.26506954,0.29325023,-0.8978505,-0.9049983,0.2774888,0.3815313,-0.1040425
67,1.0145589,1.0396426,"('doubtful', 'determined')",0.92450595,1.0890231,0.91603035,0.9854302,-0.43729722,-0.26406488,0.6044495,0.7125078,-0.1080583
20,0.993207,0.5854491,"('rough', 'thoughtful')",-0.04522017,0.12556393,1.1693802,1.1758175,1.0794501,1.0155352,0.7992043,0.7255914,0.0736129
65,0.9578225,0.84809476,"('insecure', 'secure')",-0.8748362,-0.7229568,0.81646115,0.77549237,0.10422,0.01054455,0.2509169,0.2277937,0.0231232
76,0.94621843,0.88265926,"('anxious', 'daring')",-0.34446838,-0.05262105,0.6344147,0.905546,0.6007287,0.6351061,0.4592233,0.5926726,-0.1334493
27,0.9454491,0.91254747,"('hardhearted', 'softhearted')",-0.54131854,-0.50901186,-0.20013803,-0.27393037,1.4045537,1.0695885,0.4021366,0.2997984,0.1023382
6,-0.8152812,-0.33276445,"('distant', 'open')",0.2279997,0.041831803,-1.8467768,-1.8574594,-0.12799296,-0.09770909,-0.6405128,-0.5615253,-0.0789875
72,0.8100528,1.0605031,"('unambitious', 'ambitious')",0.050489742,0.039986067,0.43838778,0.70386994,-0.6366106,-0.54751986,0.1655799,0.3142098,-0.1486299
57,0.8002116,0.1474517,"('unimaginative', 'imaginative')",-0.5035006,-0.62120605,-0.21012262,-0.39853537,-2.0537062,-2.2286563,-0.4917794,-0.7752365,0.2834571
81,0.77619064,0.43192756,"('submissive', 'aggressive')",-0.671169,-0.39526778,1.4447868,1.4342247,-0.3434678,-0.34874225,0.3015852,0.2805356,0.0210496
86,0.75472337,0.7170603,"('uninfluential', 'influential')",0.13568537,-0.008019157,0.43600935,0.2105824,0.22529717,0.051982455,0.3879288,0.2429015,0.1450273
19,-0.74877924,-0.54102176,"('inhospitable', 'hospitable')",-0.25386736,-0.06770467,-1.354804,-1.2969658,-0.25424966,-0.16915081,-0.652925,-0.5187108,-0.1342142
85,-0.7421601,-0.37740678,"('insignificant', 'prestigious')",0.79509354,0.37246385,-1.0694788,-1.2265077,-0.41369548,-0.3913288,-0.3575602,-0.4056948,0.0481346
24,0.7344605,0.85263443,"('dishonest', 'honest')",0.29428548,0.47144467,0.036562037,0.28685135,0.73538625,0.98041266,0.4501736,0.6478358,-0.1976622
28,-0.687303,-0.760653,"('disloyal', 'loyal')",-0.19608006,-0.31127158,0.09724213,-0.024947632,1.2961179,1.2506076,0.1274942,0.0384338,0.0890604
9,0.67267334,0.8361896,"('unaffectionate', 'caring')",0.49276558,0.2678348,-0.08038621,-0.082915746,0.99005765,1.0343866,0.5187776,0.5138738,0.0049038
62,0.65219766,0.924085,"('incompetent', 'brilliant')",-0.22769181,0.34239805,0.33598787,0.68691397,0.1535506,0.41968167,0.2285111,0.5932697,-0.3647586
77,0.6509115,0.90616626,"('unmotivated', 'motivated')",-0.17986041,0.062031213,0.36165625,0.20432459,-0.7787755,-0.85458994,0.013483,0.079483,-0.066
8,-0.5521942,-0.65777665,"('unaffectionate', 'affectionate')",0.22734675,-0.15251285,-0.16224715,-0.24692385,0.12675129,0.15821952,-0.0900858,-0.2247484,0.1346626
11,0.546562,0.32193947,"('unhelpful', 'helpful')",-0.17707671,0.10190805,-0.15892868,0.074962124,2.4176722,2.5367284,0.6570572,0.7588845,-0.1018273
18,-0.5191299,-0.10214223,"('disagreeable', 'welcoming')",-0.8192329,-0.69341403,-0.8719684,-0.57840395,-0.55502224,-0.37334,-0.6913383,-0.4368251,-0.2545132
80,0.49891225,0.34531373,"('dominated', 'dominating')",-0.5219636,-0.4109681,1.7927282,1.5880204,-0.7426303,-1.0093743,0.2567616,0.1282479,0.1285137
68,0.49703035,0.27859387,"('dependent', 'independent')",-1.1882867,-1.0649898,-0.24986163,-0.30584416,-0.55169255,-0.6767675,-0.3732026,-0.4422519,0.0690493
52,-0.49565154,-0.3849151,"('irrational', 'rational')",0.5134584,0.2855049,-1.1366647,-1.303958,-0.40785018,-0.4920947,-0.381677,-0.4738657,0.0921887
26,0.4941002,0.34793282,"('hardhearted', 'benevolent')",0.9544842,0.63211536,0.8229407,0.6188276,1.1904327,1.2345057,0.8654895,0.7083454,0.1571441
40,0.41579095,0.00514552,"('stingy', 'generous')",0.66512907,0.26050287,0.5495334,0.3117994,-1.5298884,-1.578648,0.0251412,-0.2503,0.2754412
42,0.4064814,0.8686245,"('unreliable', 'reliable')",-0.6477154,-0.5609659,0.6715174,0.9227326,-2.596381,-2.5576584,-0.5415244,-0.3318168,-0.2097076
45,-0.40600875,-0.42502972,"('incompetent', 'competent')",-0.10959457,0.093389325,0.5568831,0.44380742,-0.21234968,-0.28261703,-0.0427675,-0.0426125,-0.000155
48,0.40523306,0.13098061,"('unintelligent', 'intelligent')",-0.050689843,-0.0030352483,-0.17794721,-0.33318752,0.36580175,0.41585538,0.1355994,0.0526533,0.0829461
