,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.7480276,-1.9683889,"('uncreative', 'creative')",0.63576627,0.510817,-0.5561306,-0.728786,0.1726554
19,-1.7060442,-1.5236033,"('inhospitable', 'hospitable')",-0.47006306,-0.37356883,-1.0880536,-0.9485861,-0.1394675
1,-1.6778833,-2.0370662,"('unfriendly', 'friendly')",1.1769849,1.1199412,-0.2504492,-0.4585625,0.2081133
5,-1.5897468,-1.3874123,"('distant', 'outgoing')",-0.66694766,-0.4298275,-1.1283473,-0.9086199,-0.2197274
6,-1.5457615,-1.3189541,"('distant', 'open')",-0.16191511,0.014755439,-0.8538383,-0.6520993,-0.201739
86,-1.4954067,-1.9283264,"('uninfluential', 'influential')",-0.36973873,-0.6964617,-0.9325727,-1.312394,0.3798213
36,-1.4039402,-1.4401534,"('hostile', 'amicable')",-0.16636467,-0.3589835,-0.7851524,-0.8995684,0.114416
31,-1.3760071,-1.2240692,"('evil', 'good')",-1.40673,-1.387751,-1.3913686,-1.3059101,-0.0854585
9,-1.365642,-1.5556206,"('unaffectionate', 'caring')",0.84177,0.82275724,-0.261936,-0.3664317,0.1044957
8,-1.1904925,-1.5483104,"('unaffectionate', 'affectionate')",0.4593059,0.41542497,-0.3655933,-0.5664427,0.2008494
10,-1.1297178,-1.484962,"('unsympathetic', 'sympathetic')",-0.013569314,-0.35324126,-0.5716436,-0.9191016,0.347458
81,1.1163993,0.8690914,"('submissive', 'aggressive')",-0.34799096,-0.449351,0.3842041,0.2098702,0.1743339
29,-1.0078478,-0.94273394,"('unfair', 'fair')",-0.4738295,-0.4165005,-0.7408386,-0.6796172,-0.0612214
77,-0.93011683,-0.85791266,"('unmotivated', 'motivated')",-1.3337399,-1.3015338,-1.1319283,-1.0797232,-0.0522051
79,-0.929175,-0.892716,"('wavering', 'unwavering')",-0.2840863,-0.27086824,-0.6066307,-0.5817921,-0.0248386
57,-0.92380273,-1.4884273,"('unimaginative', 'imaginative')",-2.3512087,-2.747337,-1.6375058,-2.1178823,0.4803765
18,-0.91165054,-1.2116307,"('disagreeable', 'welcoming')",-0.4770997,-0.5297386,-0.6943751,-0.8706846,0.1763095
58,-0.9039751,-0.97951996,"('undiscriminating', 'discriminating')",0.03592423,-0.06455064,-0.4340254,-0.5220353,0.0880099
0,-0.9021977,-1.3469943,"('unsociable', 'sociable')",-0.39338338,-0.796153,-0.6477906,-1.0715736,0.423783
38,-0.86802375,-0.9314016,"('untruthful', 'truthful')",-0.29170728,-0.1736112,-0.5798655,-0.5525064,-0.0273591
71,-0.86689276,-0.8234807,"('diffident', 'self-confident')",0.31263137,0.37196887,-0.2771307,-0.2257559,-0.0513748
68,-0.8545394,-0.6393179,"('dependent', 'independent')",-0.8040322,-0.6050508,-0.8292858,-0.6221844,-0.2071014
54,-0.85008514,-0.8352585,"('incapable', 'capable')",0.99471927,1.2283808,0.0723171,0.1965612,-0.1242441
66,-0.75807226,-0.85212964,"('inactive', 'active')",0.6548579,0.4494195,-0.0516072,-0.2013551,0.1497479
78,-0.71653265,-0.7319466,"('nonresilient', 'resilient')",0.19721138,0.069410704,-0.2596606,-0.331268,0.0716074
25,-0.71457106,-0.68346465,"('egoistic', 'altruistic')",1.0913267,1.1566024,0.1883778,0.2365689,-0.0481911
23,-0.7087703,-1.1017683,"('insincere', 'sincere')",5.7769165,5.714562,2.5340731,2.306397,0.2276761
3,-0.70687014,-0.8398681,"('repellent', 'pleasant')",0.42122895,0.2757099,-0.1428206,-0.2820791,0.1392585
67,0.696024,0.5097909,"('doubtful', 'determined')",-0.3156738,-0.3584408,0.1901751,0.0756751,0.1145
69,0.69578445,0.86821896,"('lazy', 'industrious')",-0.69721895,-0.7038033,-0.0007173,0.0822078,-0.0829251
41,-0.6897601,-1.1897316,"('unforgiving', 'forgiving')",0.22421868,-0.16444203,-0.2327707,-0.6770868,0.4443161
52,-0.64751047,-0.8133938,"('irrational', 'rational')",-0.20839055,-0.19000933,-0.4279505,-0.5017015,0.073751
63,-0.6275748,-0.8821513,"('unperceptive', 'insightful')",0.8840657,0.91514146,0.1282454,0.0164951,0.1117503
45,-0.6159324,-1.0168885,"('incompetent', 'competent')",0.19265105,-0.24196295,-0.2116407,-0.6294257,0.417785
28,-0.59799105,-0.898483,"('disloyal', 'loyal')",0.8367948,0.5999379,0.1194019,-0.1492725,0.2686744
60,0.5960295,0.44607255,"('inefficient', 'efficient')",0.24813129,0.32919088,0.4220804,0.3876317,0.0344487
83,-0.5535912,-0.44796655,"('powerless', 'powerful')",-0.9396176,-1.0020458,-0.7466044,-0.7250062,-0.0215982
24,-0.52096874,-0.65928465,"('dishonest', 'honest')",0.8411696,0.88847774,0.1601004,0.1145965,0.0455039
62,0.5074301,0.25225827,"('incompetent', 'brilliant')",0.62814814,0.7730744,0.5677891,0.5126663,0.0551228
64,0.5029386,0.45237017,"('shy', 'confident')",-6.4448547,-6.386999,-2.970958,-2.9673145,-0.0036435
43,-0.48341408,-0.6450633,"('irresponsible', 'responsible')",0.81866854,0.7609263,0.1676272,0.0579315,0.1096957
2,0.47775993,0.32544184,"('unlikable', 'likable')",0.51690626,0.6837887,0.4973331,0.5046153,-0.0072822
