,bristol_male,bristol_female,tuple,myers_male,myers_female,squibb_male,squibb_female,co_male,co_female,average_male,average_female,male-female
25,-1.9978759,-1.4271196,"('egoistic', 'altruistic')",0.06958175,0.43192065,-0.021467082,0.061986133,0.8272021,1.0369546,-0.2806398,0.0259355,-0.3065753
35,-1.7266259,-1.1235082,"('corrupt', 'incorrupt')",-0.03798626,0.20661114,1.9748693,1.9866462,-1.519192,-1.4143255,-0.3272337,-0.0861441,-0.2410896
87,1.7142737,1.5934924,"('unsuccessful', 'successful')",0.72583205,0.7027656,0.1353276,0.3171066,0.68136793,0.67950326,0.8142003,0.823217,-0.0090167
36,-1.4896593,-0.98213065,"('hostile', 'amicable')",0.026358522,0.35158065,0.27237466,0.41852003,-0.99077046,-0.9156849,-0.5454242,-0.2819287,-0.2634955
6,-1.4686813,-1.0977263,"('distant', 'open')",0.18709275,0.46835548,0.9116019,1.0182755,-0.7281033,-0.74424917,-0.2745225,-0.0888361,-0.1856864
51,1.4113694,0.93263674,"('uneducated', 'educated')",-0.14748369,-0.18403375,-1.1890876,-1.3154477,0.5584332,0.3535054,0.1583078,-0.0533348,0.2116426
62,1.3939251,0.92869574,"('incompetent', 'brilliant')",-0.19484544,-0.33144495,-1.1416465,-1.1664672,0.82162803,0.70594984,0.2197653,0.0341834,0.1855819
60,1.3926936,0.97596645,"('inefficient', 'efficient')",0.37538835,0.18593305,-1.3741145,-1.4182533,1.0400846,0.96197397,0.358513,0.1764051,0.1821079
56,1.3788991,0.87948895,"('impractical', 'practical')",0.20067526,-0.031442985,-0.48040915,-0.6696229,0.53687906,0.40296367,0.4090111,0.1453467,0.2636644
31,-1.3630126,-0.94045717,"('evil', 'good')",0.0039518345,0.23703457,0.3887138,0.51180583,-1.447147,-1.5693822,-0.6043735,-0.4402497,-0.1641238
5,-1.350079,-1.1342969,"('distant', 'outgoing')",0.33361927,0.4758482,1.2855566,1.3034757,-0.6509186,-0.85124624,-0.0954555,-0.0515548,-0.0439007
79,-1.343943,-1.0463692,"('wavering', 'unwavering')",-0.11182229,-0.025965458,0.5712278,0.5705455,-0.49578586,-0.6716162,-0.3450808,-0.2933514,-0.0517294
