,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.7938838,-1.9199399,"('distant', 'open')",-1.7974002,-1.8553785,0.5184176,0.68987316,-1.0242888,-1.0284817,0.0041929
5,-1.6816447,-1.7570922,"('distant', 'outgoing')",-1.7423067,-1.7159756,-0.052574284,0.07029323,-1.1588419,-1.1342582,-0.0245837
10,-1.5147061,-1.6599911,"('unsympathetic', 'sympathetic')",-0.0019923002,-0.27196163,-0.9120916,-0.9155636,-0.8095967,-0.9491721,0.1395754
66,-1.4441793,-1.218295,"('inactive', 'active')",-1.1122029,-1.192798,1.1086404,1.0666338,-0.4825806,-0.4481531,-0.0344275
73,1.3762689,1.4155018,"('helpless', 'self-reliant')",0.84905815,0.7782214,-2.4904416,-2.4797814,-0.0883715,-0.0953527,0.0069812
24,-1.3556604,-1.4682088,"('dishonest', 'honest')",-1.4354534,-1.5585077,0.35980773,0.5082028,-0.8104354,-0.8395046,0.0290692
86,-1.3181299,-2.1507292,"('uninfluential', 'influential')",0.32198197,-0.28215694,-0.24668643,-0.41321048,-0.4142781,-0.9486988,0.5344207
53,-1.288846,-1.7450997,"('uncreative', 'creative')",0.4336248,0.11606736,1.1405765,1.0298346,0.0951184,-0.1997325,0.2948509
19,-1.2538037,-1.3642977,"('inhospitable', 'hospitable')",-1.1612443,-1.2886342,0.47084787,0.42635888,-0.6480668,-0.742191,0.0941242
38,-1.2064378,-1.0982751,"('untruthful', 'truthful')",-0.92908764,-0.8144159,-0.4299198,-0.3732149,-0.8551484,-0.7619686,-0.0931798
63,-1.2008842,-1.115797,"('unperceptive', 'insightful')",0.1213624,0.16337734,0.695912,0.6788937,-0.1278699,-0.0911753,-0.0366946
0,-1.1476984,-1.7522225,"('unsociable', 'sociable')",-0.13924757,-0.41507265,-0.94005555,-1.1079594,-0.7423338,-1.0917516,0.3494178
82,-1.1080732,-0.9229975,"('poor', 'rich')",0.26896673,0.27258524,5.653866,6.0691195,1.6049198,1.8062358,-0.201316
46,-1.0652041,-1.1784678,"('uncompetitive', 'competitive')",0.12606663,0.018706724,-0.89751875,-1.2079889,-0.6122188,-0.78925,0.1770312
68,-1.0335318,-0.8585933,"('dependent', 'independent')",-0.56157124,-0.6970896,-0.6160028,-0.7661553,-0.7370353,-0.773946,0.0369107
43,-1.0322665,-0.880032,"('irresponsible', 'responsible')",-0.42008075,-0.3491791,-0.15392521,-0.026680276,-0.5354242,-0.4186304,-0.1167938
79,-1.0133594,-1.143179,"('wavering', 'unwavering')",-1.6306769,-1.8609077,0.12661305,0.13438529,-0.8391411,-0.9565671,0.117426
23,-0.9453082,-0.97913885,"('insincere', 'sincere')",-0.27066687,-0.285418,4.920331,5.3409476,1.2347853,1.3587969,-0.1240116
39,0.9316449,0.67037785,"('exploitative', 'cooperative')",0.3968261,0.3546841,0.253442,0.19051863,0.5273043,0.4051935,0.1221108
34,-0.91010016,-0.62569,"('mean', 'honorable')",-0.5616231,-0.24674204,5.79087,6.0835953,1.4397157,1.7370545,-0.2973388
1,-0.8618558,-1.6021144,"('unfriendly', 'friendly')",-0.031342775,-0.6364126,2.1909325,2.0732605,0.432578,-0.0550888,0.4876668
70,-0.8432085,-0.46385223,"('lethargic', 'energetic')",-0.12155185,0.014360914,0.47626996,0.71755433,-0.1628301,0.0893543,-0.2521844
69,0.831948,0.6366801,"('lazy', 'industrious')",0.11148496,0.14871764,-0.122724675,-0.333985,0.2735694,0.1504709,0.1230985
45,-0.80343056,-0.99581367,"('incompetent', 'competent')",-0.10161842,-0.24609405,-0.6807254,-0.715749,-0.5285915,-0.6525522,0.1239607
57,-0.7933723,-1.0923573,"('unimaginative', 'imaginative')",0.6703111,0.56914276,-2.044357,-2.3581648,-0.7224727,-0.9604598,0.2379871
54,-0.7714405,-0.7953386,"('incapable', 'capable')",0.09603607,-0.038697798,1.2533879,1.4639004,0.1926612,0.2099547,-0.0172935
58,-0.71521795,-0.79990625,"('undiscriminating', 'discriminating')",0.5514111,0.4486431,0.084878005,0.10287233,-0.0263096,-0.0827969,0.0564873
21,-0.67743707,-1.0093226,"('immoral', 'moral')",0.978501,0.7591761,-1.1689825,-1.2858946,-0.2893062,-0.5120138,0.2227076
81,-0.6581465,-0.36581162,"('submissive', 'aggressive')",1.2911642,1.4747401,-1.2517315,-1.0442923,-0.206238,0.0215454,-0.2277834
77,-0.6365154,-1.1081563,"('unmotivated', 'motivated')",0.84836006,0.77840966,-1.3310716,-1.5877599,-0.3730756,-0.6391688,0.2660932
61,-0.6312272,-0.9787078,"('illogical', 'logical')",0.7299232,0.4964175,-0.16060603,-0.11554486,-0.0206367,-0.1992784,0.1786417
20,0.60960674,0.66172034,"('rough', 'thoughtful')",1.6271816,1.625787,0.9884236,0.7298767,1.0750706,1.0057947,0.0692759
26,0.6016546,0.03632972,"('hardhearted', 'benevolent')",1.1407133,0.75659823,2.14617,1.9549503,1.2961793,0.9159594,0.3802199
32,-0.5806107,-0.8194257,"('unkind', 'kind')",0.36041543,0.15587531,0.72058874,0.82435715,0.1667978,0.0536023,0.1131955
88,-0.5697294,-0.89305377,"('low', 'eminent')",0.4715383,0.20720653,0.21589158,0.20550388,0.0392335,-0.1601144,0.1993479
83,-0.5387312,-0.5984982,"('powerless', 'powerful')",0.12667772,0.19735616,-1.2005272,-1.2283772,-0.5375269,-0.5431731,0.0056462
51,-0.5377891,-0.7787764,"('uneducated', 'educated')",0.9142787,0.61863554,0.5099134,0.370442,0.2954677,0.0701004,0.2253673
48,0.5278697,0.12542357,"('unintelligent', 'intelligent')",2.0098884,1.7430797,0.52975506,0.35199374,1.0225044,0.7401656,0.2823388
