,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.9754547,-2.4671562,"('distant', 'open')",0.26489434,0.19006643,-0.8552802,-1.1385449,0.2832647
79,-1.749868,-1.8512836,"('wavering', 'unwavering')",0.15730001,-0.06611061,-0.796284,-0.9586971,0.1624131
66,-1.4768621,-1.7599105,"('inactive', 'active')",0.9489596,0.36061049,-0.2639512,-0.69965,0.4356988
5,-1.3545831,-1.7589958,"('distant', 'outgoing')",-0.1697361,-0.22723421,-0.7621596,-0.993115,0.2309554
36,-1.2105004,-1.8222764,"('hostile', 'amicable')",1.049624,0.50969124,-0.0804382,-0.6562926,0.5758544
8,-1.1859566,-1.4458927,"('unaffectionate', 'affectionate')",1.1111745,1.1309501,-0.0373911,-0.1574713,0.1200802
19,-1.1181629,-1.3132876,"('inhospitable', 'hospitable')",0.4371573,0.20989124,-0.3405028,-0.5516982,0.2111954
9,-1.1149619,-1.4225061,"('unaffectionate', 'caring')",1.1855162,1.1868047,0.0352772,-0.1178507,0.1531279
4,-1.0854073,-1.327079,"('disliked', 'liked')",-5.960207,-6.21501,-3.5228071,-3.7710447,0.2482376
60,1.0746922,1.8593798,"('inefficient', 'efficient')",-0.7722003,0.026262939,0.151246,0.9428214,-0.7915754
31,-1.0712658,-1.842109,"('evil', 'good')",-0.10690199,-0.6157634,-0.5890839,-1.2289362,0.6398523
16,-1.0699205,-1.1276548,"('unpopular', 'popular')",0.5210508,0.39048272,-0.2744349,-0.368586,0.0941511
53,-1.0238382,-1.1161767,"('uncreative', 'creative')",0.96033466,0.92094225,-0.0317518,-0.0976172,0.0658654
38,-1.0230987,-0.7313885,"('untruthful', 'truthful')",-0.77219254,-0.3499486,-0.8976456,-0.5406685,-0.3569771
54,-0.9939833,-0.9764298,"('incapable', 'capable')",1.1067034,1.3412158,0.05636,0.182393,-0.126033
48,0.96848506,0.83499014,"('unintelligent', 'intelligent')",0.686203,0.7655371,0.8273441,0.8002636,0.0270805
21,0.9581539,1.0109584,"('immoral', 'moral')",-0.81783605,-0.56574714,0.0701589,0.2226056,-0.1524467
61,0.9341154,0.66187984,"('illogical', 'logical')",0.23009601,0.15483925,0.5821057,0.4083595,0.1737462
20,0.922624,0.71886134,"('rough', 'thoughtful')",1.0596298,1.0559336,0.9911269,0.8873975,0.1037294
14,0.8840404,0.8691155,"('antisocial', 'social')",-0.6789053,-0.53204083,0.1025676,0.1685373,-0.0659697
52,-0.84462595,-1.5424236,"('irrational', 'rational')",0.32546464,0.10909875,-0.2595807,-0.7166624,0.4570817
18,-0.8342096,-1.1464049,"('disagreeable', 'welcoming')",-0.18599792,-0.21906018,-0.5101038,-0.6827325,0.1726287
59,-0.8118025,-1.1472391,"('foolish', 'wise')",0.24022485,0.27273422,-0.2857888,-0.4372524,0.1514636
24,-0.80376273,-0.60192776,"('dishonest', 'honest')",0.032753643,0.33895612,-0.3855045,-0.1314858,-0.2540187
84,0.7849377,0.40113062,"('inferior', 'superior')",1.1119899,0.9760978,0.9484638,0.6886142,0.2598496
85,-0.76619506,-1.5064144,"('insignificant', 'prestigious')",1.1413317,0.7137167,0.1875683,-0.3963489,0.5839172
43,-0.7576434,-0.12638912,"('irresponsible', 'responsible')",-0.16808663,0.27480978,-0.462865,0.0742103,-0.5370753
58,0.7528111,0.4159603,"('undiscriminating', 'discriminating')",0.5427216,0.49754217,0.6477664,0.4567512,0.1910152
50,-0.7315063,-0.41244105,"('clumsy', 'skillful')",0.20591456,0.3607484,-0.2627959,-0.0258463,-0.2369496
82,-0.7163867,-0.220177,"('poor', 'rich')",5.5170746,6.041701,2.4003439,2.9107618,-0.5104179
1,-0.71030754,-1.2248816,"('unfriendly', 'friendly')",1.8935274,1.8999091,0.59161,0.3375137,0.2540963
35,-0.7036632,-1.0706282,"('corrupt', 'incorrupt')",0.38451147,0.035444863,-0.1595758,-0.5175917,0.3580159
72,-0.7009846,-0.28787565,"('unambitious', 'ambitious')",-1.0641899,-0.60129106,-0.8825873,-0.4445834,-0.4380039
42,-0.63507426,-0.45735407,"('unreliable', 'reliable')",-3.4070225,-3.283855,-2.0210483,-1.8706045,-0.1504438
75,-0.61796355,-0.4401901,"('meek', 'impulsive')",-0.078844726,-0.1784097,-0.3484041,-0.3092999,-0.0391042
17,-0.6023702,-0.69500333,"('nasty', 'nice')",-0.5344888,-0.7101393,-0.5684295,-0.7025713,0.1341418
29,-0.5969511,-0.7640383,"('unfair', 'fair')",-0.27802375,-0.4929682,-0.4374874,-0.6285033,0.1910159
80,0.5814131,0.53183043,"('dominated', 'dominating')",-1.5597043,-1.5843849,-0.4891456,-0.5262772,0.0371316
81,0.5358395,0.99362266,"('submissive', 'aggressive')",-1.1586144,-0.840738,-0.3113874,0.0764423,-0.3878297
15,-0.5317878,-0.5070115,"('boring', 'funny')",0.42462036,0.3537798,-0.0535837,-0.0766158,0.0230321
28,-0.52657425,-0.47928858,"('disloyal', 'loyal')",0.4927541,0.6609925,-0.0169101,0.090852,-0.1077621
45,-0.5185575,-0.43370163,"('incompetent', 'competent')",-0.30983257,-0.2935783,-0.414195,-0.36364,-0.050555
67,0.509947,0.76699245,"('doubtful', 'determined')",-0.89102846,-0.74849707,-0.1905407,0.0092477,-0.1997884
12,-0.45002627,-0.36915717,"('unsupportive', 'supportive')",-1.6758764,-1.6745532,-1.0629513,-1.0218551,-0.0410962
73,0.44459128,0.48164558,"('helpless', 'self-reliant')",-2.7213995,-2.494668,-1.1384041,-1.0065112,-0.1318929
83,0.43120772,0.21103366,"('powerless', 'powerful')",-1.0006826,-1.117546,-0.2847374,-0.4532562,0.1685188
26,0.4177312,-0.37823534,"('hardhearted', 'benevolent')",2.0254252,1.8325273,1.2215782,0.727146,0.4944322
39,0.41636354,0.052602597,"('exploitative', 'cooperative')",-0.14795746,-0.037944086,0.134203,0.0073293,0.1268737
23,-0.36681983,0.15506877,"('insincere', 'sincere')",4.635372,5.2977076,2.1342762,2.7263882,-0.592112
2,-0.3505667,-0.03658787,"('unlikable', 'likable')",0.41690287,0.6848278,0.0331681,0.32412,-0.2909519
49,-0.34353977,-0.32409382,"('unable', 'able')",-0.14382482,-0.12639266,-0.2436823,-0.2252432,-0.0184391
55,0.33235574,0.64838344,"('incompetent', 'clever')",-0.23810565,0.018757232,0.047125,0.3335703,-0.2864453
25,-0.328955,-0.5557796,"('egoistic', 'altruistic')",1.9649279,1.92155,0.8179865,0.6828852,0.1351013
74,-0.3246891,-0.090544544,"('undedicated', 'dedicated')",0.1006165,0.21888404,-0.1120363,0.0641697,-0.176206
37,-0.3102994,-0.18142362,"('fake', 'genuine')",0.13667603,0.352951,-0.0868117,0.0857637,-0.1725754
3,0.28872418,0.24955776,"('repellent', 'pleasant')",0.1858706,0.26295516,0.2372974,0.2562565,-0.0189591
