,sunedison_male,sunedison_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.4614651,-2.5484314,"('unfriendly', 'friendly')",1.5877815,1.5218583,-0.4368418,-0.5132865,0.0764447
6,-2.110267,-2.1537023,"('distant', 'open')",-0.28428048,-0.26477507,-1.1972737,-1.2092386,0.0119649
9,-1.9952863,-2.032462,"('unaffectionate', 'caring')",0.8200337,0.7979422,-0.5876263,-0.6172599,0.0296336
53,-1.9079175,-1.9578675,"('uncreative', 'creative')",0.6707867,0.6228151,-0.6185654,-0.6675262,0.0489608
8,-1.872994,-1.8454062,"('unaffectionate', 'affectionate')",0.6326293,0.6986017,-0.6201823,-0.5734022,-0.0467801
36,-1.8319682,-1.9875957,"('hostile', 'amicable')",0.03387755,0.01946462,-0.8990453,-0.9840655,0.0850202
86,-1.7120271,-1.7067671,"('uninfluential', 'influential')",-0.36834157,-0.3951038,-1.0401843,-1.0509355,0.0107512
5,-1.6405333,-1.6763985,"('distant', 'outgoing')",-0.67987263,-0.69736016,-1.160203,-1.1868794,0.0266764
31,-1.4814861,-1.5773998,"('evil', 'good')",-1.0401876,-1.0237776,-1.2608368,-1.3005887,0.0397519
66,-1.4374013,-1.4015276,"('inactive', 'active')",0.53777134,0.47673124,-0.449815,-0.4623982,0.0125832
19,-1.3376837,-1.3332725,"('inhospitable', 'hospitable')",-0.31904206,-0.29304844,-0.8283629,-0.8131604,-0.0152025
57,-1.2420164,-1.1360085,"('unimaginative', 'imaginative')",-1.9621989,-1.9477855,-1.6021076,-1.5418971,-0.0602105
78,-1.218512,-1.2202504,"('nonresilient', 'resilient')",0.31817183,0.3150585,-0.4501701,-0.4525959,0.0024258
12,-1.1908622,-1.0605042,"('unsupportive', 'supportive')",-1.6110193,-1.5539114,-1.4009407,-1.3072078,-0.0937329
58,-1.1792419,-1.1460093,"('undiscriminating', 'discriminating')",0.29126182,0.3273296,-0.4439901,-0.4093398,-0.0346503
10,-1.1303566,-1.0109683,"('unsympathetic', 'sympathetic')",-0.35412768,-0.35786507,-0.7422421,-0.6844167,-0.0578254
38,-1.0927521,-0.95127577,"('untruthful', 'truthful')",-0.38612723,-0.34695938,-0.7394397,-0.6491176,-0.0903221
82,-1.0461438,-0.9738401,"('poor', 'rich')",5.156262,5.1022644,2.055059,2.0642121,-0.0091531
