,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.184854,-2.4505675,"('intolerant', 'tolerant')",-1.0891005,-1.2347796,-1.6369772,-1.8426735,0.2056963
65,-2.073632,-2.4220257,"('insecure', 'secure')",-1.4142848,-1.7252966,-1.7439585,-2.0736611,0.3297026
0,-2.0261495,-2.1594224,"('unsociable', 'sociable')",-2.267966,-2.325391,-2.1470578,-2.2424068,0.095349
8,-1.7497749,-1.3513439,"('unaffectionate', 'affectionate')",0.1253663,0.27999422,-0.8122043,-0.5356748,-0.2765295
1,-1.70574,-1.0179214,"('unfriendly', 'friendly')",-0.29539678,0.08356527,-1.0005684,-0.4671781,-0.5333903
75,1.5570571,1.8597397,"('meek', 'impulsive')",0.2391713,0.28191066,0.8981142,1.0708251,-0.1727109
23,-1.5507176,-1.6196289,"('insincere', 'sincere')",-1.8401076,-1.797656,-1.6954126,-1.7086425,0.0132299
56,-1.499563,-1.7421529,"('impractical', 'practical')",-2.2155168,-2.2884579,-1.8575399,-2.0153055,0.1577656
28,-1.4976183,-1.3483073,"('disloyal', 'loyal')",-1.1719223,-1.1895311,-1.3347703,-1.2689192,-0.0658511
80,1.4325552,1.0978523,"('dominated', 'dominating')",-0.63163173,-0.8253248,0.4004617,0.1362638,0.2641979
57,-1.4230412,-1.4388309,"('unimaginative', 'imaginative')",-1.7039617,-1.7481842,-1.5635015,-1.5935075,0.030006
37,1.4175804,1.1489599,"('fake', 'genuine')",-0.5571037,-0.617124,0.4302383,0.2659179,0.1643204
43,-1.3220778,-1.6829304,"('irresponsible', 'responsible')",-2.1910956,-2.0084395,-1.7565867,-1.845685,0.0890983
86,-1.251371,-1.2235638,"('uninfluential', 'influential')",-1.9435275,-2.1012568,-1.5974493,-1.6624103,0.064961
10,-1.1828673,-1.730722,"('unsympathetic', 'sympathetic')",-1.912123,-1.9211679,-1.5474951,-1.8259449,0.2784498
18,-1.1569523,-0.73113483,"('disagreeable', 'welcoming')",0.3725383,0.6160183,-0.392207,-0.0575583,-0.3346487
82,-1.1320969,-1.2884226,"('poor', 'rich')",-0.807379,-0.99084723,-0.9697379,-1.1396348,0.1698969
77,-1.1162399,-0.63799256,"('unmotivated', 'motivated')",-0.642995,-0.3698066,-0.8796175,-0.5038996,-0.3757179
47,-1.0625911,-1.1385614,"('stupid', 'smart')",-1.1097137,-1.12278,-1.0861523,-1.1306707,0.0445184
11,-1.0563642,-1.4010321,"('unhelpful', 'helpful')",-2.338053,-2.3041017,-1.6972086,-1.852567,0.1553584
