,time_male,time_female,tuple,warner_male,warner_female,inc_male,inc_female,average_male,average_female,male-female
85,2.2962813,1.7733089,"('insignificant', 'prestigious')",2.3586023,1.9451398,0.7744331,0.39992735,1.8097722,1.3727919,0.4369803
46,-2.0991538,-1.8443211,"('uncompetitive', 'competitive')",-2.264793,-2.152095,-0.4451204,-0.23726748,-1.6030224,-1.4112279,-0.1917945
36,2.0360124,1.4461489,"('hostile', 'amicable')",2.3803358,1.9657049,0.38976166,-0.16667554,1.6020366,1.0817261,0.5203105
45,-2.0273206,-1.7319279,"('incompetent', 'competent')",-2.5774808,-2.243585,-0.8312228,-0.42921057,-1.8120079,-1.4682412,-0.3437667
70,-1.8496135,-1.4521273,"('lethargic', 'energetic')",-2.2530441,-1.8811427,0.3489478,0.80748594,-1.2512367,-0.841928,-0.4093087
10,-1.673115,-1.3393384,"('unsympathetic', 'sympathetic')",-2.2667763,-2.1389635,-0.50569135,-0.1185607,-1.481861,-1.1989543,-0.2829067
83,1.670888,1.5126965,"('powerless', 'powerful')",-0.26018736,-0.29393038,-0.81732136,-0.73382837,0.1977931,0.1616459,0.0361472
71,1.5975922,1.4224223,"('diffident', 'self-confident')",1.2554456,1.372007,0.17607024,0.32739216,1.0097027,1.0406071,-0.0309044
59,1.5299861,1.2132134,"('foolish', 'wise')",1.6773825,1.4995066,0.52379614,0.34438956,1.2437216,1.0190365,0.2246851
3,-1.4074398,-1.245744,"('repellent', 'pleasant')",-1.4021113,-1.3111721,0.24163781,0.22673985,-0.8559712,-0.7767255,-0.0792457
15,1.4007185,1.237865,"('boring', 'funny')",1.8173008,1.7934107,0.4668725,0.4137803,1.2282972,1.148352,0.0799452
73,1.340036,1.2129805,"('helpless', 'self-reliant')",0.36753398,0.40477997,-3.0889177,-2.8958118,-0.4604492,-0.4260171,-0.0344321
43,-1.3219566,-1.2024126,"('irresponsible', 'responsible')",-1.7473419,-1.6399734,0.62460977,0.91694784,-0.8148963,-0.6418127,-0.1730836
60,-1.3203695,-1.0589828,"('inefficient', 'efficient')",-1.6323502,-1.5885245,0.15274706,0.40904745,-0.9333242,-0.7461533,-0.1871709
57,-1.3147017,-1.2651509,"('unimaginative', 'imaginative')",-1.353575,-1.4842336,-2.4258094,-2.3722908,-1.6980287,-1.7072252,0.0091965
64,-1.2990311,-1.2187438,"('shy', 'confident')",-1.7583362,-1.7491181,-6.0620255,-6.024161,-3.0397975,-2.9973408,-0.0424567
55,-1.2538304,-1.0205492,"('incompetent', 'clever')",-1.7486188,-1.5694294,-0.17321616,0.10720087,-1.0585551,-0.8275926,-0.2309625
22,-1.2409599,-1.1963199,"('untrustworthy', 'trustworthy')",-1.3692497,-1.4639788,-0.8487983,-0.67261505,-1.1530026,-1.1109713,-0.0420313
35,1.2177472,0.8468239,"('corrupt', 'incorrupt')",1.7262911,1.5261879,-0.04064167,-0.2944306,0.9677989,0.6928604,0.2749385
69,1.1788524,0.7753317,"('lazy', 'industrious')",2.4486623,2.35086,-0.4399921,-0.7837422,1.0625075,0.7808166,0.2816909
9,1.1585776,1.037997,"('unaffectionate', 'caring')",1.4448583,1.2833865,1.0192918,1.1784581,1.207576,1.1666139,0.0409621
81,-1.1108549,-0.84924966,"('submissive', 'aggressive')",-2.452752,-2.3447556,-0.8656201,-0.76679915,-1.476409,-1.3202682,-0.1561408
88,1.1075201,1.1445757,"('low', 'eminent')",-0.5534178,-0.5240961,0.539929,0.5475623,0.3646771,0.3893473,-0.0246702
0,-1.1019465,-1.1021932,"('unsociable', 'sociable')",-1.1967009,-1.1779838,-0.6069362,-0.49478874,-0.9685279,-0.9249886,-0.0435393
49,-1.0624259,-1.1611642,"('unable', 'able')",-0.0937427,-0.117158815,-0.0098511055,0.005558364,-0.3886732,-0.4242549,0.0355817
86,-1.0488745,-0.78707767,"('uninfluential', 'influential')",-0.4870249,-0.384371,-0.046709828,0.20440286,-0.5275364,-0.3223486,-0.2051878
33,1.0360246,0.86044997,"('wrong', 'right')",0.95950085,0.9524516,-0.65098655,-0.62893164,0.4481796,0.3946566,0.053523
25,1.0302364,0.7400578,"('egoistic', 'altruistic')",1.5320456,1.3703535,1.7417189,1.4949865,1.434667,1.2017992,0.2328678
65,-1.0180401,-1.0313437,"('insecure', 'secure')",-1.1289577,-1.3101921,-0.053579967,-0.13821809,-0.733526,-0.8265847,0.0930587
26,0.9725829,0.8031234,"('hardhearted', 'benevolent')",1.9492539,1.6699641,1.6147498,1.4443684,1.5121956,1.3058186,0.206377
68,-0.9308298,-0.9379727,"('dependent', 'independent')",-0.74657077,-0.8555963,0.11689226,0.011952747,-0.5201695,-0.5938721,0.0737026
41,-0.89213127,-0.68754214,"('unforgiving', 'forgiving')",0.05862605,-0.0015760493,0.05969122,0.111431256,-0.257938,-0.1925623,-0.0653757
