,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
12,1.8985521,2.2072825,"('unsupportive', 'supportive')",1.155194,1.1008074,1.3093634,1.2091304,-1.3862244,-1.4694965,0.7442213,0.761931,-0.0177097
36,-1.774386,-1.9645671,"('hostile', 'amicable')",0.35168326,0.17059727,-0.73811233,-0.8412805,0.30129647,0.33579248,-0.4648797,-0.5748644,0.1099847
75,-1.617434,-1.2881274,"('meek', 'impulsive')",-0.11621896,-0.21784966,-0.9369464,-1.0398282,-0.4942721,-0.39309618,-0.7912179,-0.7347254,-0.0564925
16,-1.603652,-1.4565954,"('unpopular', 'popular')",-0.65791017,-0.6015535,-0.2902381,-0.097200915,0.34239596,0.48767215,-0.5523511,-0.4169194,-0.1354317
30,1.5393668,1.7648196,"('intolerant', 'tolerant')",0.6317832,0.8277629,0.25245616,0.40721744,0.9707701,1.0023248,0.8485941,1.0005312,-0.1519371
39,1.5273358,1.5147605,"('exploitative', 'cooperative')",-0.13149033,-0.18047044,1.0871592,0.94913995,0.070850424,0.04454712,0.6384637,0.5819943,0.0564694
69,-1.3944416,-1.9197556,"('lazy', 'industrious')",1.082089,0.9932271,0.3903033,0.30630594,-0.7456056,-0.685423,-0.1669137,-0.3264114,0.1594977
56,1.3075616,1.6886039,"('impractical', 'practical')",-0.15677813,0.24655455,-0.09827061,0.27901274,-0.6320284,-0.46310908,0.1051211,0.4377655,-0.3326444
14,1.2943261,1.7409549,"('antisocial', 'social')",0.7892604,1.22914,0.948067,1.5484668,-0.7228386,-0.53411084,0.5772037,0.9961128,-0.4189091
9,1.2933624,1.4951497,"('unaffectionate', 'caring')",0.82314354,0.909886,0.33861023,0.4197743,1.441522,1.6112452,0.9741595,1.1090138,-0.1348543
31,-1.2294585,-1.3302145,"('evil', 'good')",-1.0030675,-1.2209901,-1.1854568,-1.3297329,-0.83089286,-0.77771664,-1.0622189,-1.1646636,0.1024447
67,1.1558427,0.64737856,"('doubtful', 'determined')",0.5934924,0.31420612,0.80671275,0.49888572,-0.7349612,-0.91773903,0.4552717,0.1356829,0.3195888
62,1.1554319,1.9649649,"('incompetent', 'brilliant')",-0.823241,-0.31869465,0.03483382,0.6334421,-0.09468338,0.1109447,0.0680853,0.5976643,-0.529579
35,-1.1065811,-1.4641252,"('corrupt', 'incorrupt')",-0.5058977,-0.6500393,-1.1718512,-1.2924868,-0.09927054,-0.08236532,-0.7209001,-0.8722541,0.151354
78,-1.0399107,-0.9786288,"('nonresilient', 'resilient')",0.7230243,0.84608227,1.4327817,1.5466151,0.4115188,0.40926856,0.3818535,0.4558343,-0.0739808
7,1.0296443,1.4745923,"('insensitive', 'sensitive')",0.5031428,0.64617276,0.32225117,0.43263122,1.2259384,1.3749532,0.7702442,0.9820874,-0.2118432
43,1.015891,1.4892464,"('irresponsible', 'responsible')",0.16077752,0.5296363,0.36222416,0.57797575,0.6022151,0.65275145,0.5352769,0.8124025,-0.2771256
82,-0.94872063,-0.37231797,"('poor', 'rich')",-0.11966121,0.22171235,-0.26509026,0.12513983,6.1610594,6.549566,1.2068968,1.631025,-0.4241282
