,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
85,3.6958923,3.5396914,"('insignificant', 'prestigious')",1.1818846,1.2541785,0.30732164,0.4284715,1.7283662,1.7407805,-0.0124143
6,3.097069,3.167767,"('distant', 'open')",-0.03266077,0.096179865,-0.045436084,-0.011057325,1.0063241,1.0842965,-0.0779724
1,2.982751,3.12367,"('unfriendly', 'friendly')",0.67334795,0.75717247,1.1390531,1.2353718,1.5983839,1.7054049,-0.107021
71,2.9486833,2.8617964,"('diffident', 'self-confident')",0.74501866,0.76439095,0.59422493,0.6936257,1.4293089,1.4399376,-0.0106287
70,-2.8282475,-2.5624413,"('lethargic', 'energetic')",-1.5898257,-1.6102071,0.23736444,0.31708452,-1.3935696,-1.285188,-0.1083816
36,2.7977722,2.5231037,"('hostile', 'amicable')",0.3520914,0.27307752,0.49304497,0.31737038,1.2143029,1.0378505,0.1764524
59,2.666576,2.387686,"('foolish', 'wise')",0.29260302,0.259065,-0.228436,-0.2306283,0.9102476,0.8053742,0.1048734
5,2.5693727,2.5867527,"('distant', 'outgoing')",-0.23190618,-0.14247638,-0.7506389,-0.71010166,0.5289425,0.5780582,-0.0491157
10,-2.5447366,-2.356867,"('unsympathetic', 'sympathetic')",-1.3360521,-1.4547956,-0.41522467,-0.2914019,-1.4320045,-1.3676882,-0.0643163
3,-2.489419,-2.3730297,"('repellent', 'pleasant')",0.2500953,0.2604994,0.2864484,0.2100074,-0.6509584,-0.6341743,-0.0167841
33,2.3648145,2.2361648,"('wrong', 'right')",0.6179958,0.700385,-0.664325,-0.55747545,0.7728284,0.7930247,-0.0201963
26,2.2859018,2.4224198,"('hardhearted', 'benevolent')",-0.39561346,-0.28910172,1.0371872,1.0888193,0.9758252,1.0740457,-0.0982205
52,2.1969163,1.9941642,"('irrational', 'rational')",0.33469552,0.26005983,-0.4000087,-0.54616845,0.7105344,0.5693519,0.1411825
